,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",15.01,15.01,14.61,14.8,2615604,162792283
1,"Mar 18, 2019",14.79,15.41,14.6,14.99,5046732,164864106
2,"Mar 17, 2019",14.01,14.85,13.85,14.79,2002428,162644577
3,"Mar 16, 2019",14.65,14.92,13.86,13.98,2717289,153794196
4,"Mar 15, 2019",14.34,15.12,13.94,14.63,6181198,160882154
5,"Mar 14, 2019",14.05,14.4,13.75,14.34,7304766,157714483
6,"Mar 13, 2019",13.97,14.37,13.66,14.05,4628884,154500934
7,"Mar 12, 2019",14.65,14.82,13.46,13.98,4564034,153807044
8,"Mar 11, 2019",13.64,15.31,13.62,14.57,11217766,160231167
9,"Mar 10, 2019",13.17,13.78,13.13,13.62,3867538,149849247
10,"Mar 09, 2019",12.75,13.57,12.71,13.14,4369766,144592915
11,"Mar 08, 2019",12.94,13.27,12.7,12.76,3714109,140343726
12,"Mar 07, 2019",12.67,13.19,12.6,12.93,3459717,142206615
13,"Mar 06, 2019",12.76,12.84,12.53,12.68,2500229,139450641
14,"Mar 05, 2019",12.28,12.81,12.24,12.76,3197996,140399208
15,"Mar 04, 2019",12.86,12.88,12.02,12.29,2491384,135192438
16,"Mar 03, 2019",12.68,13.66,12.65,12.87,3638249,141623613
17,"Mar 02, 2019",12.76,12.84,12.5,12.7,2091569,139688071
18,"Mar 01, 2019",12.6,12.93,12.58,12.78,2321389,140606278
19,"Feb 28, 2019",12.82,12.89,12.55,12.6,2805205,138621770
20,"Feb 27, 2019",13.03,13.09,12.72,12.82,2881651,141050248
21,"Feb 26, 2019",13.15,13.17,12.82,13.02,2891414,143192300
22,"Feb 25, 2019",12.65,13.31,12.65,13.19,2767870,145130639
23,"Feb 24, 2019",14.15,14.4,12.69,12.69,3879587,139637683
24,"Feb 23, 2019",13.94,14.21,13.79,14.14,2793803,155557201
25,"Feb 22, 2019",13.75,14.01,13.67,13.95,2759728,153478964
26,"Feb 21, 2019",14.12,14.12,13.66,13.76,2771967,151390289
27,"Feb 20, 2019",14.1,14.17,13.83,14.17,2255007,155857711
28,"Feb 19, 2019",14.23,14.58,14.04,14.06,4388359,154703302
29,"Feb 18, 2019",13.72,14.35,13.62,14.2,7277431,156189839
30,"Feb 17, 2019",13.52,13.76,13.42,13.73,3859828,151056805
31,"Feb 16, 2019",13.51,13.62,13.46,13.49,3004478,148408354
32,"Feb 15, 2019",13.51,13.67,13.42,13.51,3332507,148617012
33,"Feb 14, 2019",13.47,13.77,13.38,13.5,5332898,148544001
