,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",15.68,16.01,15.41,15.69,216950178,2215550960
1,"Mar 18, 2019",15.75,15.94,15.4,15.68,132882167,2213915702
2,"Mar 17, 2019",16.09,16.1,15.68,15.76,131687083,2225087469
3,"Mar 16, 2019",15.05,16.16,15.02,16.12,143423670,2275609084
4,"Mar 15, 2019",15.03,15.3,15.01,15.08,124146334,2128517331
5,"Mar 14, 2019",15.12,15.23,14.75,15.05,137039682,2124846987
6,"Mar 13, 2019",15.43,15.45,15.1,15.12,145402739,2133885107
7,"Mar 12, 2019",14.5,15.51,14.32,15.41,169525508,2174968137
8,"Mar 11, 2019",14.5,14.97,14.22,14.51,152327295,2049079581
9,"Mar 10, 2019",14.57,14.6,14.07,14.49,140866074,2046259504
10,"Mar 09, 2019",14.28,14.95,14.11,14.57,160640089,2056345113
11,"Mar 08, 2019",15.23,15.32,13.76,14.37,227303083,2028259194
12,"Mar 07, 2019",14.53,15.65,14.44,15.15,236520320,2138227830
13,"Mar 06, 2019",13.75,14.56,13.11,14.52,191016822,2049578132
14,"Mar 05, 2019",11.52,13.84,11.52,13.81,237026335,1949911246
15,"Mar 04, 2019",11.54,11.6,11.07,11.55,89421231,1630004462
16,"Mar 03, 2019",11.85,11.96,11.35,11.54,89868246,1628869047
17,"Mar 02, 2019",11.38,11.92,10.96,11.87,120807894,1675716941
18,"Mar 01, 2019",10.36,11.61,10.33,11.39,117838677,1608442973
19,"Feb 28, 2019",9.91,10.55,9.89,10.37,100626963,1463309043
20,"Feb 27, 2019",9.52,10.12,9.44,9.9,93800328,1397514790
21,"Feb 26, 2019",9.82,9.87,9.45,9.52,88437694,1344215777
22,"Feb 25, 2019",10.07,10.29,9.54,9.84,146043498,1389450859
23,"Feb 24, 2019",10.8,11.09,9.62,10.11,113588899,1427720907
24,"Feb 23, 2019",10.82,10.87,10.46,10.78,81628102,1522126090
25,"Feb 22, 2019",10.45,10.99,10.43,10.84,82256314,1529935070
26,"Feb 21, 2019",10.99,10.99,10.23,10.49,85754656,1481339199
27,"Feb 20, 2019",10.52,11.32,10.52,10.97,118033473,1548138352
28,"Feb 19, 2019",9.65,11.11,9.58,10.56,128091178,1491247773
29,"Feb 18, 2019",9.22,9.74,9.18,9.63,79003060,1360146167
30,"Feb 17, 2019",9.13,9.22,8.92,9.22,66977126,1301079823
31,"Feb 16, 2019",9.32,9.34,9.08,9.13,65705040,1288826514
32,"Feb 15, 2019",8.82,9.51,8.78,9.27,83961438,1309237748
33,"Feb 14, 2019",8.93,9.07,8.46,8.78,72389547,1239809925
34,"Feb 13, 2019",9.33,9.33,8.79,8.94,95068052,1262260337
35,"Feb 12, 2019",9.53,9.75,8.98,9.34,123194872,1318830505
36,"Feb 11, 2019",9.19,9.82,9.15,9.55,136029624,1348481387
37,"Feb 10, 2019",8.86,9.34,8.86,9.21,125419865,1300443647
38,"Feb 09, 2019",8.6,8.93,8.47,8.87,106420119,1252418196
39,"Feb 08, 2019",7.78,8.83,7.65,8.58,103694036,1210659827
40,"Feb 07, 2019",8.1,8.43,7.7,7.73,86056681,1091332443
41,"Feb 06, 2019",7.86,8.47,7.41,8.09,118867601,1141569622
42,"Feb 05, 2019",7.06,7.91,6.96,7.82,96588397,1010127808
43,"Feb 04, 2019",6.77,7.17,6.7,7.1,71959989,917210595
44,"Feb 03, 2019",6.89,6.92,6.62,6.74,59942158,870405723
45,"Feb 02, 2019",6.55,6.89,6.53,6.89,56627089,890238048
46,"Feb 01, 2019",6.26,6.65,6.17,6.56,56050947,847729319
47,"Jan 31, 2019",6.17,6.33,6.03,6.27,52240451,809728264
48,"Jan 30, 2019",6.17,6.22,6.06,6.17,41310644,797597771
49,"Jan 29, 2019",6.22,6.31,6.06,6.18,49291811,798520266
50,"Jan 28, 2019",7.09,7.19,6.11,6.21,82427200,801686639
51,"Jan 27, 2019",7.0,7.25,6.86,7.09,52872347,915621569
52,"Jan 26, 2019",6.75,7.04,6.69,7.01,48498979,905076469
53,"Jan 25, 2019",6.51,6.8,6.51,6.74,43731936,870297268
54,"Jan 24, 2019",6.53,6.54,6.47,6.51,26614401,840388816
55,"Jan 23, 2019",6.53,6.57,6.44,6.54,33083575,844988795
56,"Jan 22, 2019",6.54,6.57,6.38,6.52,31986617,842637433
57,"Jan 21, 2019",6.51,6.58,6.42,6.55,36321046,846490209
58,"Jan 20, 2019",6.65,6.73,6.38,6.49,49479090,838848751
59,"Jan 19, 2019",6.57,6.73,6.36,6.64,46981638,857137442
60,"Jan 18, 2019",6.41,6.69,6.34,6.56,43105423,847783881
61,"Jan 17, 2019",6.17,6.42,6.08,6.42,36306127,829026635
62,"Jan 16, 2019",5.92,6.25,5.9,6.19,35059223,799081409
63,"Jan 15, 2019",6.16,6.16,5.82,5.92,25427436,774207426
64,"Jan 14, 2019",5.58,6.16,5.57,6.16,43109288,805629865
65,"Jan 13, 2019",5.97,6.0,5.49,5.57,26590183,728389539
66,"Jan 12, 2019",6.09,6.09,5.93,5.98,32654874,781782829
67,"Jan 11, 2019",5.97,6.24,5.84,6.08,50239804,794650511
68,"Jan 10, 2019",6.61,6.68,5.8,5.92,75844882,773798122
69,"Jan 09, 2019",6.66,6.97,6.47,6.64,74676974,868710100
70,"Jan 08, 2019",6.3,6.91,6.24,6.64,65660517,868514466
71,"Jan 07, 2019",6.43,6.43,6.23,6.29,37914513,822912212
72,"Jan 06, 2019",6.07,6.5,6.03,6.4,41574183,836589632
73,"Jan 05, 2019",6.06,6.2,6.03,6.07,30340637,793368779
74,"Jan 04, 2019",5.9,6.07,5.86,6.07,29311136,793315820
75,"Jan 03, 2019",6.17,6.18,5.9,5.9,22821639,772178241
76,"Jan 02, 2019",6.09,6.21,5.95,6.19,30308610,809466354
77,"Jan 01, 2019",6.19,6.19,5.89,6.08,23891162,794641454
78,"Dec 31, 2018",6.0,6.33,5.97,6.16,38216014,806342664
79,"Dec 30, 2018",5.84,6.01,5.77,6.0,21109984,784234812
80,"Dec 29, 2018",6.03,6.1,5.83,5.83,20325768,762866028
81,"Dec 28, 2018",5.29,6.02,5.25,6.01,23929897,786342938
82,"Dec 27, 2018",5.72,5.75,5.25,5.28,16073455,690025211
83,"Dec 26, 2018",5.55,5.77,5.53,5.71,19526927,747270233
84,"Dec 25, 2018",6.19,6.19,5.46,5.55,19913983,725618989
85,"Dec 24, 2018",6.06,6.58,6.06,6.14,30471526,803751864
86,"Dec 23, 2018",5.93,6.21,5.9,6.06,29722800,792514008
87,"Dec 22, 2018",5.56,5.95,5.5,5.93,28188479,775715534
88,"Dec 21, 2018",5.79,5.87,5.45,5.57,24440098,728178645
89,"Dec 20, 2018",5.47,5.92,5.37,5.79,27976597,757623268
90,"Dec 19, 2018",5.61,5.89,5.4,5.49,25173916,718336896
91,"Dec 18, 2018",5.11,5.6,4.98,5.6,26195539,732511504
92,"Dec 17, 2018",4.65,5.16,4.64,5.11,17799305,668386725
93,"Dec 16, 2018",4.57,4.73,4.54,4.65,14565932,607596554
94,"Dec 15, 2018",4.53,4.64,4.48,4.56,12572161,596838783
95,"Dec 14, 2018",4.65,4.75,4.46,4.53,13544913,592960009
96,"Dec 13, 2018",5.03,5.03,4.59,4.65,14503435,608308845
97,"Dec 12, 2018",4.94,5.18,4.83,5.02,17783397,657022817
98,"Dec 11, 2018",4.71,4.97,4.59,4.94,19625570,646239850
99,"Dec 10, 2018",4.85,5.0,4.59,4.71,13851408,616360814
100,"Dec 09, 2018",4.71,5.05,4.62,4.86,17862646,635567539
101,"Dec 08, 2018",4.53,4.81,4.38,4.7,16534323,614811505
102,"Dec 07, 2018",4.92,4.96,4.19,4.53,24895395,592344303
103,"Dec 06, 2018",6.01,6.06,4.95,4.95,38404207,647677223
104,"Dec 05, 2018",5.92,6.59,5.78,5.98,61589926,782739422
105,"Dec 04, 2018",5.11,6.29,5.11,5.88,39059359,769203427
106,"Dec 03, 2018",5.25,5.28,5.0,5.11,12193045,668286590
107,"Dec 02, 2018",5.27,5.43,5.2,5.25,11848313,686750930
108,"Dec 01, 2018",5.09,5.42,5.01,5.29,12291155,691761389
109,"Nov 30, 2018",5.37,5.43,4.95,5.08,10699024,664273799
110,"Nov 29, 2018",5.35,5.6,5.15,5.35,13027940,699335928
111,"Nov 28, 2018",4.9,5.47,4.9,5.34,15392800,698070712
112,"Nov 27, 2018",4.91,4.95,4.68,4.91,9050190,642623575
113,"Nov 26, 2018",5.18,5.26,4.67,4.93,10132300,644376285
114,"Nov 25, 2018",5.09,5.28,4.44,5.18,12236300,677616315
115,"Nov 24, 2018",5.56,5.67,4.72,5.12,11938900,669075120
116,"Nov 23, 2018",5.74,5.77,5.42,5.56,9943370,726908037
