,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",162.6,163.19,157.81,162.43,430154285,2871986995
1,"Mar 18, 2019",156.26,166.67,156.09,162.49,635931669,2872870544
2,"Mar 17, 2019",157.44,158.67,148.71,156.08,437535869,2759201463
3,"Mar 16, 2019",143.98,160.69,143.98,157.58,648403250,2785421758
4,"Mar 15, 2019",133.79,146.74,132.94,143.99,363130165,2544991930
5,"Mar 14, 2019",128.82,135.74,128.82,133.9,388641464,2366317917
6,"Mar 13, 2019",129.19,129.72,127.92,128.93,217915164,2278360791
7,"Mar 12, 2019",130.35,130.66,128.1,128.95,232279797,2278392927
8,"Mar 11, 2019",132.86,133.4,128.23,130.2,268403469,2300366575
9,"Mar 10, 2019",134.04,134.16,131.19,132.84,274459921,2346643092
10,"Mar 09, 2019",129.42,136.38,128.36,133.82,317778034,2363674682
11,"Mar 08, 2019",132.21,133.57,128.28,129.47,301191835,2286681068
12,"Mar 07, 2019",133.29,135.03,131.26,132.16,281220759,2333871541
13,"Mar 06, 2019",133.41,134.02,131.08,133.27,281163956,2353268980
14,"Mar 05, 2019",124.96,134.16,124.52,132.51,297746808,2339621253
15,"Mar 04, 2019",131.42,132.32,123.25,125.12,307511335,2208988908
16,"Mar 03, 2019",132.57,133.28,131.07,131.56,202483597,2322338739
17,"Mar 02, 2019",132.92,133.46,130.75,132.54,234304188,2339431979
18,"Mar 01, 2019",132.08,134.83,131.93,132.96,240782300,2346655915
19,"Feb 28, 2019",132.9,134.51,131.18,132.19,281575851,2332748075
20,"Feb 27, 2019",134.33,135.52,130.19,132.79,291088410,2343107844
21,"Feb 26, 2019",135.84,139.05,133.34,134.26,327672295,2368915181
22,"Feb 25, 2019",130.02,139.38,130.02,135.87,475080131,2397004768
23,"Feb 24, 2019",154.2,157.65,130.18,130.27,556592899,2297963405
24,"Feb 23, 2019",144.88,153.26,142.36,153.26,391092331,2703206926
25,"Feb 22, 2019",142.82,145.71,141.82,145.11,321600349,2559341440
26,"Feb 21, 2019",147.92,147.92,141.22,142.93,351951657,2520520395
27,"Feb 20, 2019",142.97,148.58,140.85,148.05,402662737,2610658250
28,"Feb 19, 2019",144.31,150.86,142.87,143.3,557033470,2526640652
29,"Feb 18, 2019",124.97,147.24,124.97,144.41,685321231,2545790168
30,"Feb 17, 2019",122.23,125.04,121.15,124.69,230868433,2197907885
31,"Feb 16, 2019",122.01,123.33,121.97,122.36,191430981,2156696757
32,"Feb 15, 2019",122.18,123.41,121.59,121.96,197273460,2149451478
33,"Feb 14, 2019",123.12,124.67,121.56,121.65,242536735,2143745070
34,"Feb 13, 2019",123.38,126.94,121.81,123.15,228141043,2170002268
35,"Feb 12, 2019",122.52,123.58,119.55,123.45,236077048,2174933530
36,"Feb 11, 2019",127.69,127.69,121.84,122.51,282031883,2158268752
37,"Feb 10, 2019",128.63,129.02,122.23,127.59,285347998,2247451285
38,"Feb 09, 2019",129.93,130.48,126.06,128.64,233478378,2265803863
39,"Feb 08, 2019",115.78,131.22,115.18,130.86,392818315,2304674878
40,"Feb 07, 2019",115.18,117.57,114.18,115.15,192007562,2027740445
41,"Feb 06, 2019",117.98,120.01,111.84,115.33,289253747,2030777404
42,"Feb 05, 2019",119.03,119.91,117.2,117.71,205839408,2072438278
43,"Feb 04, 2019",119.3,120.56,118.35,119.12,207822688,2097108276
44,"Feb 03, 2019",121.79,121.97,117.48,118.83,218977856,2091663603
45,"Feb 02, 2019",116.55,122.0,116.22,121.79,251181380,2143595618
46,"Feb 01, 2019",114.8,118.15,112.07,116.56,246917441,2051265822
47,"Jan 31, 2019",118.16,120.44,114.06,114.81,277744299,2020317794
48,"Jan 30, 2019",110.96,119.75,109.63,118.38,278213607,2082944610
49,"Jan 29, 2019",112.25,113.54,108.11,111.09,263554927,1954462937
50,"Jan 28, 2019",123.04,123.04,108.09,112.5,322496467,1978985766
51,"Jan 27, 2019",127.16,127.54,120.7,122.9,201627687,2161816591
52,"Jan 26, 2019",128.44,129.66,126.97,127.14,178570796,2236142032
53,"Jan 25, 2019",129.52,129.84,126.37,128.37,205641444,2257551746
54,"Jan 24, 2019",132.21,132.29,127.47,129.4,264182477,2275366585
55,"Jan 23, 2019",128.44,134.7,127.83,132.32,293056048,2326546174
56,"Jan 22, 2019",122.71,131.5,118.81,128.44,264996480,2258084781
57,"Jan 21, 2019",123.92,124.35,121.86,122.83,187814581,2159253905
58,"Jan 20, 2019",130.14,131.0,122.72,123.89,269797874,2177598900
59,"Jan 19, 2019",128.55,131.69,127.6,130.2,198967556,2288428149
60,"Jan 18, 2019",131.09,131.09,126.93,128.46,208629422,2257476672
61,"Jan 17, 2019",129.2,131.89,127.16,131.05,178365450,2302882084
62,"Jan 16, 2019",128.69,131.18,128.18,129.17,161105128,2269508449
63,"Jan 15, 2019",133.97,134.68,127.0,128.48,182316505,2257176864
64,"Jan 14, 2019",126.48,136.96,124.89,133.98,214446102,2353563604
65,"Jan 13, 2019",134.5,135.8,123.87,126.35,182166624,2219291825
66,"Jan 12, 2019",131.5,138.55,131.5,134.38,212095966,2360139637
67,"Jan 11, 2019",133.91,134.79,129.43,131.67,221067019,2312246613
68,"Jan 10, 2019",160.28,164.4,133.34,134.97,349267379,2369927478
69,"Jan 09, 2019",162.12,162.54,158.44,160.08,163008542,2810697903
70,"Jan 08, 2019",161.4,164.86,158.66,161.91,167967145,2842511735
71,"Jan 07, 2019",166.85,168.33,160.8,161.24,204578538,2830470728
72,"Jan 06, 2019",160.19,170.75,159.15,166.84,226834845,2928444441
73,"Jan 05, 2019",161.14,166.36,158.33,160.4,230320255,2815113500
74,"Jan 04, 2019",161.71,165.37,155.61,161.4,207663255,2832257307
75,"Jan 03, 2019",173.27,175.46,160.33,162.05,231676176,2843455670
76,"Jan 02, 2019",165.62,174.23,162.25,171.83,270357561,3014732747
77,"Jan 01, 2019",150.9,168.77,150.24,164.85,267838686,2892087608
78,"Dec 31, 2018",163.52,163.52,148.96,151.05,184371700,2649556711
79,"Dec 30, 2018",165.15,165.35,159.64,163.62,254982420,2869903438
80,"Dec 29, 2018",174.47,175.28,164.48,165.06,308440732,2894826363
81,"Dec 28, 2018",150.56,176.19,144.17,174.0,466524537,3051295976
82,"Dec 27, 2018",175.41,177.19,147.84,150.13,339080968,2632368862
83,"Dec 26, 2018",172.06,186.34,165.54,175.51,537284643,3077145391
84,"Dec 25, 2018",183.03,183.03,155.4,170.91,621674076,2996171177
85,"Dec 24, 2018",200.03,213.72,179.09,182.26,611323718,3194811505
86,"Dec 23, 2018",197.89,209.86,189.16,197.66,578345903,3464468332
87,"Dec 22, 2018",196.3,206.45,184.08,196.67,716022686,3446690555
88,"Dec 21, 2018",190.48,229.01,177.33,194.3,1520475211,3404763308
89,"Dec 20, 2018",126.28,200.08,125.21,194.23,1558759484,3403293234
90,"Dec 19, 2018",105.44,144.1,103.06,128.45,532417073,2250407550
91,"Dec 18, 2018",90.31,105.78,87.59,105.2,188289946,1842897809
92,"Dec 17, 2018",81.53,92.94,81.4,90.35,109893213,1582485422
93,"Dec 16, 2018",77.37,83.48,77.37,81.64,80118715,1429835840
94,"Dec 15, 2018",80.33,83.04,75.08,77.37,68901780,1354857549
95,"Dec 14, 2018",90.24,91.98,77.72,80.37,104537195,1407338099
96,"Dec 13, 2018",102.43,102.43,88.58,90.3,74837340,1581083402
97,"Dec 12, 2018",101.71,105.8,99.43,102.59,59280514,1796083515
98,"Dec 11, 2018",107.05,107.05,97.57,102.07,71529997,1786818888
99,"Dec 10, 2018",109.6,110.96,103.38,107.31,73938617,1878384641
100,"Dec 09, 2018",103.73,112.18,103.0,109.62,120406818,1918499081
101,"Dec 08, 2018",106.24,109.96,99.84,104.05,112407720,1820816062
102,"Dec 07, 2018",107.49,116.57,97.62,106.85,211041228,1869734341
103,"Dec 06, 2018",130.52,131.79,107.44,107.59,123685568,1882490958
104,"Dec 05, 2018",149.85,149.85,130.54,130.54,95942782,2283779814
105,"Dec 04, 2018",159.64,160.33,149.05,149.66,73451486,2617978806
