,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",13.35,13.42,13.23,13.4,10223740,233341430
1,"Mar 18, 2019",13.38,13.69,13.29,13.34,10984172,232225500
2,"Mar 17, 2019",13.68,13.68,13.27,13.38,10178125,232927182
3,"Mar 16, 2019",13.5,14.17,13.49,13.69,12234846,238370748
4,"Mar 15, 2019",13.3,13.63,13.16,13.48,11659584,234732947
5,"Mar 14, 2019",12.71,13.43,12.63,13.32,12895853,231995380
6,"Mar 13, 2019",12.65,13.01,12.46,12.71,11933339,221305604
7,"Mar 12, 2019",12.28,12.71,12.02,12.65,9850243,220284162
8,"Mar 11, 2019",12.65,12.67,12.18,12.28,9976105,213812203
9,"Mar 10, 2019",12.76,12.78,12.56,12.63,9942581,219874140
10,"Mar 09, 2019",12.64,12.98,12.58,12.74,9608119,221908965
11,"Mar 08, 2019",12.53,13.15,12.45,12.6,11210696,219335516
12,"Mar 07, 2019",12.69,12.75,12.38,12.51,9825845,217916097
13,"Mar 06, 2019",12.54,12.78,12.46,12.69,10345426,220902210
14,"Mar 05, 2019",11.12,12.54,10.24,12.54,10495385,218298727
15,"Mar 04, 2019",12.34,12.37,10.34,11.09,151790933,193180019
16,"Mar 03, 2019",12.56,12.58,12.26,12.31,9378264,214421600
17,"Mar 02, 2019",12.64,12.77,12.5,12.53,9743591,218273346
18,"Mar 01, 2019",12.64,12.81,12.48,12.68,9957816,220775803
19,"Feb 28, 2019",12.7,12.83,12.63,12.64,8831461,220051741
20,"Feb 27, 2019",12.93,13.01,12.37,12.7,9488595,221084526
21,"Feb 26, 2019",12.78,12.93,12.68,12.92,9863593,224977851
22,"Feb 25, 2019",12.18,12.93,12.18,12.78,9696754,222505753
23,"Feb 24, 2019",13.48,14.1,12.25,12.25,10336104,213347757
24,"Feb 23, 2019",12.7,13.54,12.38,13.53,10779689,235640462
25,"Feb 22, 2019",12.68,12.81,12.35,12.69,9997697,221059129
26,"Feb 21, 2019",12.79,13.36,12.27,12.56,11760161,218664300
27,"Feb 20, 2019",12.62,12.8,12.27,12.8,10351830,222835350
28,"Feb 19, 2019",12.12,12.98,11.88,12.62,12737262,219840610
29,"Feb 18, 2019",10.98,12.77,10.95,12.11,19715464,210921473
30,"Feb 17, 2019",10.29,10.48,10.03,10.45,8087721,181963327
31,"Feb 16, 2019",10.56,10.73,10.13,10.29,7167174,179255583
32,"Feb 15, 2019",10.52,10.68,10.35,10.56,7313990,183884380
33,"Feb 14, 2019",10.58,10.68,10.49,10.52,7529814,183127873
34,"Feb 13, 2019",10.63,10.76,10.51,10.59,7843193,184350027
35,"Feb 12, 2019",10.53,10.68,10.38,10.62,7321147,184976885
36,"Feb 11, 2019",10.81,10.81,10.46,10.52,8151122,183260279
37,"Feb 10, 2019",10.58,10.81,10.35,10.8,8009796,188141229
38,"Feb 09, 2019",10.58,10.64,10.44,10.58,8181230,184220881
39,"Feb 08, 2019",9.43,10.63,9.41,10.58,8504899,184238069
40,"Feb 07, 2019",9.32,9.53,9.31,9.43,7165713,164287967
41,"Feb 06, 2019",9.64,9.64,9.23,9.33,7054453,162399623
42,"Feb 05, 2019",9.86,9.86,9.57,9.62,6751474,167483742
43,"Feb 04, 2019",9.86,9.99,9.77,9.87,7411295,171953020
44,"Feb 03, 2019",10.07,10.12,9.81,9.85,7115300,171542882
45,"Feb 02, 2019",10.1,10.18,9.93,10.09,5329992,175676609
46,"Feb 01, 2019",10.03,10.2,9.77,10.12,7412432,176150058
47,"Jan 31, 2019",10.42,10.48,10.02,10.02,7398912,174477166
48,"Jan 30, 2019",9.92,10.7,9.78,10.35,10558330,180218735
49,"Jan 29, 2019",9.67,10.09,9.54,9.93,7090912,172871250
50,"Jan 28, 2019",10.96,10.96,9.06,9.7,7640025,168980347
51,"Jan 27, 2019",11.18,11.22,10.92,10.96,3745258,190887666
52,"Jan 26, 2019",11.23,11.44,11.11,11.16,3891173,194419041
53,"Jan 25, 2019",11.26,11.44,11.13,11.23,3809956,195526996
54,"Jan 24, 2019",11.21,11.42,11.12,11.25,3838532,195832544
55,"Jan 23, 2019",11.26,11.49,11.1,11.22,4100959,195310733
56,"Jan 22, 2019",11.19,11.45,11.04,11.26,3812309,196151261
57,"Jan 21, 2019",11.26,11.35,11.11,11.19,3854170,194860400
58,"Jan 20, 2019",11.53,11.68,11.09,11.25,3935657,195852059
59,"Jan 19, 2019",11.21,12.02,11.16,11.55,4730861,201142852
60,"Jan 18, 2019",11.83,11.87,11.08,11.21,7095896,195229870
61,"Jan 17, 2019",12.07,12.14,11.65,11.79,4430216,205230866
62,"Jan 16, 2019",11.98,12.21,11.87,12.06,5601385,210092653
63,"Jan 15, 2019",12.34,12.47,11.95,12.0,4688887,208907673
64,"Jan 14, 2019",11.91,12.64,11.8,12.33,5338455,214777653
65,"Jan 13, 2019",12.29,12.37,11.62,11.9,4711392,207228484
66,"Jan 12, 2019",12.49,12.54,12.15,12.31,3724453,214358890
67,"Jan 11, 2019",12.25,12.49,11.78,12.49,4044972,217448460
68,"Jan 10, 2019",13.44,13.64,12.06,12.26,5336642,213422929
69,"Jan 09, 2019",13.52,13.64,13.2,13.44,3611284,234088017
70,"Jan 08, 2019",13.48,13.61,12.97,13.51,4164238,235316853
71,"Jan 07, 2019",13.84,14.0,13.3,13.41,3619763,233569353
72,"Jan 06, 2019",13.04,14.08,12.9,13.85,4697238,241259441
73,"Jan 05, 2019",12.97,13.25,12.96,13.03,3632815,226876862
74,"Jan 04, 2019",13.04,13.23,12.68,13.05,3673905,227317791
75,"Jan 03, 2019",13.54,13.72,12.91,13.04,3910322,227023505
76,"Jan 02, 2019",13.33,13.67,13.15,13.54,4741130,235776178
77,"Jan 01, 2019",12.65,13.55,12.62,13.55,4299222,235896245
78,"Dec 31, 2018",13.72,13.95,12.53,12.64,5475673,220157481
79,"Dec 30, 2018",14.11,14.31,13.65,13.7,4583155,238520472
80,"Dec 29, 2018",14.64,14.85,14.1,14.1,5020978,245563215
81,"Dec 28, 2018",13.6,14.83,13.22,14.61,5169572,254386205
82,"Dec 27, 2018",14.66,14.77,13.39,13.6,4337193,236793329
83,"Dec 26, 2018",14.34,14.96,14.21,14.66,4924776,255300777
84,"Dec 25, 2018",15.37,15.37,13.71,14.36,5307511,250102945
85,"Dec 24, 2018",15.39,16.48,15.37,15.37,6545538,267604841
86,"Dec 23, 2018",15.01,15.86,14.96,15.4,5468070,268088707
87,"Dec 22, 2018",14.56,15.07,14.18,15.03,5650106,261381134
88,"Dec 21, 2018",15.03,16.67,13.98,14.52,9588976,252604951
89,"Dec 20, 2018",12.99,15.36,12.89,15.06,7929058,261880462
90,"Dec 19, 2018",12.85,13.83,12.8,13.0,5665312,226217588
91,"Dec 18, 2018",12.48,12.82,12.09,12.82,4943906,222997888
92,"Dec 17, 2018",11.16,12.81,11.08,12.46,4711965,216822075
93,"Dec 16, 2018",11.78,11.92,10.78,11.16,4993962,194169106
94,"Dec 15, 2018",10.91,12.05,10.36,12.05,4732178,209675205
95,"Dec 14, 2018",11.36,11.53,10.81,10.9,3421374,189670161
96,"Dec 13, 2018",11.97,11.97,11.23,11.35,3981560,197434193
97,"Dec 12, 2018",11.49,12.02,11.46,11.96,4139824,208105350
98,"Dec 11, 2018",11.99,12.16,11.35,11.5,4543543,199956019
99,"Dec 10, 2018",12.48,12.66,11.78,11.97,3497361,208164742
100,"Dec 09, 2018",11.94,12.89,11.87,12.53,3892685,217903487
101,"Dec 08, 2018",12.42,13.01,11.46,12.0,4462446,208616061
102,"Dec 07, 2018",13.92,13.95,11.46,12.42,6439140,215937097
103,"Dec 06, 2018",15.28,15.51,13.96,13.96,4570284,242723259
104,"Dec 05, 2018",16.38,16.42,15.18,15.29,4685135,265775214
105,"Dec 04, 2018",17.12,17.22,16.14,16.37,5252659,284424013
106,"Dec 03, 2018",18.21,18.21,16.87,17.06,5235459,296475630
107,"Dec 02, 2018",18.75,18.96,17.95,18.14,4915591,315179691
108,"Dec 01, 2018",18.52,19.0,17.79,18.75,4850908,325829633
109,"Nov 30, 2018",18.89,19.32,17.61,18.46,5704301,320770204
110,"Nov 29, 2018",19.67,19.67,18.44,18.87,6052456,327692256
111,"Nov 28, 2018",17.96,20.83,17.89,19.64,6152310,341077365
112,"Nov 27, 2018",17.71,18.54,17.34,17.93,5190540,311343394
113,"Nov 26, 2018",19.37,20.23,16.63,17.78,9295260,308742243
114,"Nov 25, 2018",18.84,20.33,17.04,19.42,8291530,337152242
115,"Nov 24, 2018",19.6,22.2,17.69,18.78,7052430,326000611
116,"Nov 23, 2018",19.52,19.69,18.59,19.54,3672810,339226437
117,"Nov 22, 2018",21.32,21.37,19.6,19.75,3824530,342867121
118,"Nov 21, 2018",20.66,21.87,19.71,21.34,4023180,370391165
119,"Nov 20, 2018",25.73,25.99,18.39,20.56,12102200,356751739
120,"Nov 19, 2018",27.02,27.05,25.8,25.8,8638000,447733974
121,"Nov 18, 2018",26.83,27.48,26.79,27.03,5169530,468902092
122,"Nov 17, 2018",26.43,26.88,26.3,26.77,4831470,464433001
123,"Nov 16, 2018",26.46,26.68,25.83,26.39,5614390,457724599
124,"Nov 15, 2018",26.19,26.52,25.44,26.38,6706830,457637625
125,"Nov 14, 2018",28.12,29.01,25.28,26.12,7741790,452930118
126,"Nov 13, 2018",28.6,28.83,28.03,28.14,3741760,488045991
127,"Nov 12, 2018",29.69,29.75,28.36,28.64,4613950,496631509
128,"Nov 11, 2018",29.96,30.28,29.52,29.6,4407010,513179745
129,"Nov 10, 2018",29.34,30.09,29.32,29.97,3711740,519647212
130,"Nov 09, 2018",29.91,30.02,29.25,29.3,4208790,507936649
131,"Nov 08, 2018",31.48,31.65,29.92,29.93,4379330,518015998
132,"Nov 07, 2018",31.94,32.1,30.99,31.51,5898310,545351053
133,"Nov 06, 2018",29.89,31.97,29.44,31.97,7622240,541378790
134,"Nov 05, 2018",29.36,30.14,28.85,29.82,5361620,516151891
135,"Nov 04, 2018",26.87,30.52,26.74,29.41,9898720,509076243
136,"Nov 03, 2018",27.32,27.39,26.81,26.85,2121550,464804981
137,"Nov 02, 2018",26.45,27.4,26.4,27.29,2867460,472382570
138,"Nov 01, 2018",26.18,26.56,26.07,26.44,2502860,457698178
139,"Oct 31, 2018",25.94,26.79,25.63,26.19,3195840,453258590
140,"Oct 30, 2018",26.4,26.44,25.85,25.89,3316340,448102436
141,"Oct 29, 2018",26.95,27.07,26.21,26.38,2932610,456651024
142,"Oct 28, 2018",27.07,27.59,26.93,27.05,2297690,468209530
143,"Oct 27, 2018",26.8,27.15,26.66,27.05,1989720,468128181
144,"Oct 26, 2018",27.05,27.12,26.62,26.83,2684070,464443236
145,"Oct 25, 2018",27.4,27.4,26.8,27.07,2223660,468554132
146,"Oct 24, 2018",26.72,28.12,26.59,27.43,4598640,474614318
147,"Oct 23, 2018",26.12,26.91,25.76,26.82,2872480,464091955
148,"Oct 22, 2018",26.2,26.42,25.88,26.13,2475360,452034857
149,"Oct 21, 2018",26.52,26.59,25.96,26.16,1792550,452588807
150,"Oct 20, 2018",26.03,26.77,25.83,26.53,2200410,458855303
151,"Oct 19, 2018",26.04,26.17,25.64,26.03,2009750,450224210
152,"Oct 18, 2018",26.29,26.52,25.76,26.05,2239220,450571257
153,"Oct 17, 2018",26.66,26.79,25.32,26.24,2126010,453718431
154,"Oct 16, 2018",26.55,26.79,26.24,26.59,2413200,459842532
155,"Oct 15, 2018",24.6,27.36,24.33,26.55,4511260,459005853
156,"Oct 14, 2018",24.51,24.8,24.38,24.52,2510870,423840604
157,"Oct 13, 2018",24.88,25.1,24.36,24.5,2209480,423506571
158,"Oct 12, 2018",23.85,25.41,23.71,24.88,3357860,430003792
159,"Oct 11, 2018",26.04,26.07,23.88,23.88,4303110,412685453
160,"Oct 10, 2018",26.36,26.62,25.89,26.01,3269950,449421301
161,"Oct 09, 2018",27.47,27.5,26.16,26.41,3371410,456301989
162,"Oct 08, 2018",26.93,27.72,26.58,27.41,3969260,473607722
163,"Oct 07, 2018",28.23,28.23,26.62,26.86,18243000,463956357
164,"Oct 06, 2018",27.37,29.5,27.37,28.15,24700500,486214534
165,"Oct 05, 2018",25.17,27.32,24.9,27.32,22447600,471915265
166,"Oct 04, 2018",26.03,26.49,25.03,25.1,17749000,433513387
167,"Oct 03, 2018",25.46,26.03,24.93,26.0,15435200,449001991
168,"Oct 02, 2018",24.65,25.59,24.55,25.47,15433100,439824841
169,"Oct 01, 2018",25.89,26.09,24.41,24.7,15219000,426424861
170,"Sep 30, 2018",26.2,26.41,25.73,25.96,9520360,448141187
171,"Sep 29, 2018",26.9,26.9,25.68,26.25,8490320,453090928
172,"Sep 28, 2018",26.64,28.2,25.42,26.94,15959500,465016861
173,"Sep 27, 2018",23.45,28.12,23.19,26.61,25868400,459160908
174,"Sep 26, 2018",21.85,24.19,21.59,23.48,15907500,405108913
175,"Sep 25, 2018",21.95,22.04,21.32,21.86,6090960,377148441
176,"Sep 24, 2018",22.53,22.6,21.92,21.97,5333100,379054055
177,"Sep 23, 2018",22.2,22.76,22.09,22.53,7067970,388573255
178,"Sep 22, 2018",22.68,22.82,21.72,22.18,7693250,382558670
179,"Sep 21, 2018",21.62,22.77,21.61,22.65,6649240,390621892
180,"Sep 20, 2018",21.03,21.64,20.7,21.64,5329380,373222887
181,"Sep 19, 2018",21.04,21.22,20.43,21.05,4896810,363030208
182,"Sep 18, 2018",20.35,21.59,20.14,21.05,7099100,362933428
183,"Sep 17, 2018",21.34,21.39,19.98,20.37,6673440,351154089
184,"Sep 16, 2018",20.22,21.33,19.83,21.33,5369990,367752919
185,"Sep 15, 2018",20.25,20.57,20.12,20.2,5524300,348200469
