,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",67.25,67.48,66.22,67.12,94744734,1185981264
1,"Mar 18, 2019",68.55,70.25,66.4,67.27,116157796,1188639613
2,"Mar 17, 2019",68.98,69.33,67.34,68.47,88594646,1209844855
3,"Mar 16, 2019",67.68,71.89,67.6,68.98,247381332,1218972280
4,"Mar 15, 2019",66.21,68.35,65.74,67.69,107343633,1196129480
5,"Mar 14, 2019",64.99,67.55,64.99,66.27,93890837,1171084828
6,"Mar 13, 2019",65.92,66.0,64.62,64.98,54907880,1148222963
7,"Mar 12, 2019",65.25,66.06,64.2,65.84,57798152,1163233723
8,"Mar 11, 2019",66.81,67.12,65.16,65.29,126738128,891834274
9,"Mar 10, 2019",66.87,68.06,66.11,66.81,73421603,1180167566
10,"Mar 09, 2019",65.63,68.45,65.47,66.77,81346906,1179297014
11,"Mar 08, 2019",66.9,70.14,65.38,65.57,103991079,1158030765
12,"Mar 07, 2019",66.97,67.31,66.28,66.86,80228565,1180585637
13,"Mar 06, 2019",67.17,67.65,66.29,66.91,83949274,1181435453
14,"Mar 05, 2019",63.42,67.89,63.42,67.28,108532649,1187893430
15,"Mar 04, 2019",65.33,65.54,62.98,63.46,83033489,1120285319
16,"Mar 03, 2019",66.91,67.24,65.22,65.41,77359163,1154648588
17,"Mar 02, 2019",66.86,67.41,66.34,66.91,70341089,1180999352
18,"Mar 01, 2019",67.25,68.62,66.59,67.0,79611503,1182343364
19,"Feb 28, 2019",67.82,69.47,66.55,67.32,94004768,1187857982
20,"Feb 27, 2019",74.47,74.47,66.63,67.86,122067413,1197314925
21,"Feb 26, 2019",68.32,75.9,68.32,74.58,224567303,1315784967
22,"Feb 25, 2019",61.23,71.71,61.17,68.39,189035735,1206403703
23,"Feb 24, 2019",69.12,69.86,60.72,61.2,132163469,1079526122
24,"Feb 23, 2019",65.84,68.74,65.17,68.74,93440728,1212312853
25,"Feb 22, 2019",65.32,66.33,64.8,65.96,73661306,1163153366
26,"Feb 21, 2019",67.51,67.96,64.93,65.39,84290326,1153050213
27,"Feb 20, 2019",67.07,67.97,65.65,67.5,102500845,1190212544
28,"Feb 19, 2019",67.7,70.69,67.09,67.09,137410469,1182805563
29,"Feb 18, 2019",63.45,69.96,63.2,67.65,172847783,1192478125
30,"Feb 17, 2019",62.3,63.49,61.77,62.87,83425628,1108140608
31,"Feb 16, 2019",62.35,63.14,62.07,62.29,71658497,1097820653
32,"Feb 15, 2019",62.71,63.55,62.03,62.4,69091467,1099721478
33,"Feb 14, 2019",64.54,64.76,62.69,62.7,59115294,1104780030
34,"Feb 13, 2019",65.6,66.05,64.44,64.55,59144580,1137354133
35,"Feb 12, 2019",64.93,66.28,64.3,65.5,64185736,1153968802
36,"Feb 11, 2019",66.76,66.89,64.97,64.98,71458349,1144580691
37,"Feb 10, 2019",66.01,66.61,63.8,66.61,80275617,1173301757
38,"Feb 09, 2019",67.41,67.52,65.43,66.09,72906743,1163931503
39,"Feb 08, 2019",62.48,68.17,61.5,67.34,94084306,1185898034
40,"Feb 07, 2019",62.51,65.87,61.1,62.5,92434471,1100601291
41,"Feb 06, 2019",61.26,67.71,57.51,62.89,146371619,1107231481
42,"Feb 05, 2019",62.86,62.99,60.57,60.94,48771767,1072808005
43,"Feb 04, 2019",63.87,64.22,62.85,63.0,49250475,1109053713
44,"Feb 03, 2019",65.65,65.67,63.52,63.72,58052365,1121559772
45,"Feb 02, 2019",64.23,66.02,64.14,65.75,67771998,1157197654
46,"Feb 01, 2019",64.06,65.03,63.38,64.35,66405205,1132412159
47,"Jan 31, 2019",66.29,67.3,62.99,63.98,76607875,1125734365
48,"Jan 30, 2019",63.52,68.07,63.07,66.38,90454423,1167863935
49,"Jan 29, 2019",65.0,65.82,61.98,63.54,86525991,1117891185
50,"Jan 28, 2019",71.88,71.88,62.66,64.99,88068769,1143281253
51,"Jan 27, 2019",74.05,74.14,71.64,71.83,56898464,1263392931
52,"Jan 26, 2019",74.83,75.44,73.74,73.97,48715609,1300987710
53,"Jan 25, 2019",74.69,76.26,73.99,74.74,62356147,1314264147
54,"Jan 24, 2019",75.58,75.68,74.1,74.52,57765740,1310384265
55,"Jan 23, 2019",75.92,76.54,75.15,75.54,57199065,1328070050
56,"Jan 22, 2019",75.02,76.76,73.34,75.93,60200752,1334760515
57,"Jan 21, 2019",75.44,76.99,74.44,75.01,54569897,1318537239
58,"Jan 20, 2019",77.42,77.42,74.65,75.34,57177839,1324247115
59,"Jan 19, 2019",76.13,77.87,75.78,77.53,57607818,1362577707
60,"Jan 18, 2019",77.9,77.9,75.43,75.96,59556650,1334911206
61,"Jan 17, 2019",78.12,78.29,76.5,78.05,62380870,1371508266
62,"Jan 16, 2019",77.43,79.37,76.87,78.2,66358792,1373822193
63,"Jan 15, 2019",80.44,81.62,76.72,77.44,61102447,1360428517
64,"Jan 14, 2019",79.0,81.48,76.41,80.37,87682393,1411712392
65,"Jan 13, 2019",82.81,87.89,75.21,77.44,134938585,1360198445
66,"Jan 12, 2019",75.05,84.98,75.05,82.8,176584499,1454135673
67,"Jan 11, 2019",75.6,76.03,73.43,75.03,73534881,1317511207
68,"Jan 10, 2019",87.1,89.79,75.1,75.92,100285980,1333024139
69,"Jan 09, 2019",87.68,88.1,86.7,87.04,44904722,1528138561
70,"Jan 08, 2019",88.95,89.52,86.85,87.58,54825087,1537424564
71,"Jan 07, 2019",90.17,90.54,88.02,88.78,44587533,1558437547
72,"Jan 06, 2019",88.43,91.67,87.23,90.38,57596543,1586212000
73,"Jan 05, 2019",87.48,91.81,86.98,88.52,66121035,1553493902
74,"Jan 04, 2019",88.27,90.07,85.74,87.65,66629980,1537922018
75,"Jan 03, 2019",95.24,96.28,87.35,88.64,75308623,1555333447
76,"Jan 02, 2019",92.54,95.79,90.32,94.88,94042085,1664647783
77,"Jan 01, 2019",84.79,95.24,84.69,92.14,108083721,1616381095
78,"Dec 31, 2018",88.75,88.75,84.9,84.96,52690384,1490162204
79,"Dec 30, 2018",89.57,90.21,87.8,88.56,57931119,1553228295
80,"Dec 29, 2018",94.1,94.1,89.43,89.43,75204687,1568298809
81,"Dec 28, 2018",85.28,94.5,82.7,93.64,113487961,1641882041
82,"Dec 27, 2018",94.8,98.45,84.59,84.87,92318856,1488076181
83,"Dec 26, 2018",93.37,98.89,91.47,94.51,118701099,1656919625
84,"Dec 25, 2018",102.55,102.55,90.29,93.45,146914405,1638246086
85,"Dec 24, 2018",107.4,113.25,101.48,102.46,168359714,1795953737
86,"Dec 23, 2018",108.98,113.85,105.31,106.97,168248047,1874808177
87,"Dec 22, 2018",109.33,114.73,102.49,109.09,207087564,1911738033
88,"Dec 21, 2018",110.22,134.59,103.09,108.42,492080721,1899793934
89,"Dec 20, 2018",85.5,119.52,85.12,112.03,424270497,1962852761
90,"Dec 19, 2018",84.41,96.97,82.74,86.51,188633838,1515620025
91,"Dec 18, 2018",81.75,85.11,77.32,84.61,112996794,1482162325
92,"Dec 17, 2018",78.52,82.41,75.27,81.7,106775615,1431003874
93,"Dec 16, 2018",67.92,79.28,67.62,77.34,95335466,1354525811
94,"Dec 15, 2018",69.98,73.15,64.52,68.14,61398931,1193239758
95,"Dec 14, 2018",78.37,81.28,69.94,70.27,66921657,1230477651
96,"Dec 13, 2018",88.73,88.88,77.53,78.37,58473172,1372187886
97,"Dec 12, 2018",90.02,92.58,88.04,88.84,42144081,1555368511
98,"Dec 11, 2018",95.34,95.34,87.26,90.24,63771772,1579730163
99,"Dec 10, 2018",97.37,101.5,95.23,95.32,63688727,1668422467
100,"Dec 09, 2018",98.42,99.71,93.23,97.42,72826742,1702607764
101,"Dec 08, 2018",103.79,104.08,96.35,98.68,76137934,1724720837
102,"Dec 07, 2018",103.52,113.67,94.82,103.88,217760983,1815577191
103,"Dec 06, 2018",86.16,110.14,86.16,103.69,194059088,1812321980
104,"Dec 05, 2018",90.22,93.65,84.58,86.31,75407123,1508531943
105,"Dec 04, 2018",94.32,94.75,89.92,90.18,56754945,1576176080
106,"Dec 03, 2018",99.88,100.19,91.23,94.46,79018303,1650988749
107,"Dec 02, 2018",93.0,103.36,92.6,100.37,108434556,1754285184
108,"Dec 01, 2018",95.11,96.63,87.85,93.54,75286999,1634820282
109,"Nov 30, 2018",97.29,106.35,92.84,95.28,166060949,1665338348
110,"Nov 29, 2018",97.93,100.3,91.84,98.07,130600465,1714035178
111,"Nov 28, 2018",90.62,103.89,80.95,97.94,308722000,1711710041
112,"Nov 27, 2018",113.42,121.87,84.95,91.94,296211000,1606993185
113,"Nov 26, 2018",88.74,125.53,87.92,111.7,589274000,1952224634
114,"Nov 25, 2018",60.28,91.54,57.32,87.38,379158000,-
115,"Nov 24, 2018",52.82,68.25,50.7,58.5,172732000,-
116,"Nov 23, 2018",42.5,59.47,36.87,54.03,118574000,-
117,"Nov 22, 2018",50.72,51.55,42.75,42.75,32667900,-
118,"Nov 21, 2018",51.12,54.24,48.69,50.75,56414700,-
119,"Nov 20, 2018",71.65,72.97,48.38,50.66,124675000,-
120,"Nov 19, 2018",105.84,107.71,69.66,72.11,97310700,-
121,"Nov 18, 2018",130.29,130.75,105.29,106.22,83486800,-
122,"Nov 17, 2018",123.29,143.03,122.14,130.48,200816000,-
123,"Nov 16, 2018",94.47,134.29,76.79,122.97,180605000,-
124,"Nov 15, 2018",176.28,179.51,70.97,93.7,40105900,-
125,"Nov 14, 2018",205.76,243.78,155.38,174.81,36795500,-
126,"Nov 13, 2018",109.9,208.4,109.3,208.4,20708000,-
127,"Nov 12, 2018",116.45,123.56,104.45,112.06,10779600,-
128,"Nov 11, 2018",87.7,125.11,83.15,113.47,8902820,-
129,"Nov 10, 2018",70.27,98.51,61.19,87.06,4748070,-
130,"Nov 09, 2018",88.3,89.57,50.68,68.75,2585660,-
