,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",0.102133,0.103376,0.098669,0.101552,2913841,101805799
1,"Mar 18, 2019",0.10261500000000001,0.10464100000000001,0.10008500000000001,0.102126,2925853,102381559
2,"Mar 17, 2019",0.10253699999999999,0.10572100000000001,0.09878200000000001,0.10243800000000002,3514575,102693983
3,"Mar 16, 2019",0.10206799999999999,0.10408699999999999,0.10132000000000001,0.102459,3229382,102715266
4,"Mar 15, 2019",0.10019199999999999,0.104147,0.099729,0.101977,3834182,102231586
5,"Mar 14, 2019",0.093698,0.10103999999999999,0.093614,0.100257,7931032,100507075
6,"Mar 13, 2019",0.094104,0.09548200000000001,0.092667,0.094001,2912575,94235927
7,"Mar 12, 2019",0.093364,0.09617,0.090767,0.09400800000000001,3368807,94242976
8,"Mar 11, 2019",0.09752100000000001,0.09752100000000001,0.091933,0.09328,4128819,93513604
9,"Mar 10, 2019",0.096029,0.098852,0.092464,0.09765800000000001,3720312,97902026
10,"Mar 09, 2019",0.09458,0.09932300000000001,0.092689,0.09578500000000001,5532361,96024182
11,"Mar 08, 2019",0.08909700000000001,0.102967,0.08723,0.094877,6816744,95114072
12,"Mar 07, 2019",0.086828,0.08994400000000001,0.086387,0.089133,2750177,89355542
13,"Mar 06, 2019",0.088041,0.088918,0.085854,0.087121,2211478,87338760
14,"Mar 05, 2019",0.082088,0.08820499999999999,0.081631,0.08799,2293526,88209583
15,"Mar 04, 2019",0.087039,0.087996,0.08076799999999999,0.08228099999999999,2574884,82487122
16,"Mar 03, 2019",0.08692899999999999,0.08845,0.086274,0.087714,1642860,87933472
17,"Mar 02, 2019",0.08872999999999999,0.08907000000000001,0.08623600000000001,0.087146,1840634,87363829
18,"Mar 01, 2019",0.089764,0.090404,0.088614,0.088614,2274058,88835062
19,"Feb 28, 2019",0.089581,0.09119400000000001,0.088853,0.089752,2304426,89976501
20,"Feb 27, 2019",0.08921799999999999,0.090267,0.087493,0.08957999999999999,2332731,89804152
21,"Feb 26, 2019",0.091425,0.09211799999999999,0.087865,0.08896699999999999,2710243,89189795
22,"Feb 25, 2019",0.08782100000000001,0.092339,0.087292,0.09184400000000001,3423502,92073637
23,"Feb 24, 2019",0.105176,0.10803900000000001,0.086813,0.087818,9821229,88037383
24,"Feb 23, 2019",0.093329,0.10726199999999998,0.09274600000000001,0.104628,12619035,104889307
25,"Feb 22, 2019",0.085799,0.095075,0.08519199999999999,0.09327300000000001,5342873,93506291
26,"Feb 21, 2019",0.08869400000000001,0.08869400000000001,0.08414400000000001,0.085747,3005416,85960815
27,"Feb 20, 2019",0.084957,0.08867,0.082951,0.08867,3360964,88891228
28,"Feb 19, 2019",0.085765,0.08971,0.085016,0.085114,4144435,85326322
29,"Feb 18, 2019",0.081023,0.086504,0.080946,0.085293,3285477,85506427
30,"Feb 17, 2019",0.079888,0.081945,0.078676,0.080967,2171892,81168960
31,"Feb 16, 2019",0.078698,0.081036,0.078624,0.079968,2316885,80168189
32,"Feb 15, 2019",0.078342,0.08012999999999999,0.077548,0.078734,1804192,78930997
33,"Feb 14, 2019",0.078729,0.080033,0.076562,0.078238,1923239,78433548
34,"Feb 13, 2019",0.08025700000000001,0.082152,0.078411,0.078731,2004810,78927886
35,"Feb 12, 2019",0.07941799999999999,0.081085,0.077665,0.080073,1800632,80273038
36,"Feb 11, 2019",0.081353,0.081353,0.078858,0.079635,1673945,79834323
37,"Feb 10, 2019",0.07971,0.081495,0.078691,0.081495,2210522,81698349
38,"Feb 09, 2019",0.079111,0.082354,0.07883,0.079701,2797989,79900510
39,"Feb 08, 2019",0.07459500000000001,0.080997,0.074439,0.079128,2229598,79325606
40,"Feb 07, 2019",0.075502,0.076475,0.07435,0.074821,1276957,75007928
41,"Feb 06, 2019",0.076725,0.076725,0.073644,0.07545199999999999,1504229,75640365
42,"Feb 05, 2019",0.076541,0.077316,0.076112,0.076458,1246997,76648879
43,"Feb 04, 2019",0.076343,0.07713400000000001,0.075632,0.076683,1551077,76874583
44,"Feb 03, 2019",0.07674600000000001,0.07739700000000001,0.07548099999999999,0.076428,1479241,76619285
45,"Feb 02, 2019",0.07650499999999999,0.077089,0.07449800000000001,0.077089,1842862,77282023
46,"Feb 01, 2019",0.07826799999999999,0.078515,0.075924,0.076579,1871280,76769943
47,"Jan 31, 2019",0.074528,0.082361,0.074492,0.078409,5383581,78604668
48,"Jan 30, 2019",0.074571,0.075748,0.073738,0.07509,1424088,75277646
49,"Jan 29, 2019",0.074741,0.075198,0.0721,0.07437,1765481,74555669
50,"Jan 28, 2019",0.079436,0.079737,0.07193,0.074476,2451316,74661778
51,"Jan 27, 2019",0.080123,0.080514,0.077218,0.079525,1882972,79723281
52,"Jan 26, 2019",0.079821,0.082086,0.07944,0.07990900000000001,1761560,80109167
53,"Jan 25, 2019",0.081575,0.082508,0.079075,0.079912,2408404,80111871
54,"Jan 24, 2019",0.083259,0.084297,0.080249,0.08104299999999999,2868861,81245545
55,"Jan 23, 2019",0.08373,0.091193,0.082366,0.083284,9157216,83492112
56,"Jan 22, 2019",0.07710499999999999,0.083687,0.075833,0.083687,3920646,83896303
57,"Jan 21, 2019",0.07713300000000001,0.07767,0.075792,0.07713300000000001,2394176,77325374
58,"Jan 20, 2019",0.07943099999999999,0.07952200000000001,0.07554,0.076981,2590690,77172922
59,"Jan 19, 2019",0.078842,0.0816,0.077837,0.07948200000000001,3056846,79680376
60,"Jan 18, 2019",0.07987000000000001,0.08023999999999999,0.077475,0.079,2812586,79197784
61,"Jan 17, 2019",0.082906,0.083656,0.07918700000000001,0.079919,5356439,80118825
62,"Jan 16, 2019",0.074619,0.086299,0.073591,0.08324,6572773,83447598
63,"Jan 15, 2019",0.077102,0.077128,0.073732,0.074521,2046332,74707569
64,"Jan 14, 2019",0.072732,0.07810399999999999,0.072179,0.07661799999999999,1722772,76809687
65,"Jan 13, 2019",0.07572899999999999,0.07674199999999999,0.072167,0.07231900000000001,1666468,72499904
66,"Jan 12, 2019",0.07671900000000001,0.07727,0.074584,0.076292,1668296,76482792
67,"Jan 11, 2019",0.075363,0.07726799999999999,0.074685,0.076908,1897473,77100372
68,"Jan 10, 2019",0.08351900000000001,0.09006499999999999,0.07477400000000001,0.075556,5519694,75744415
69,"Jan 09, 2019",0.08237,0.08431699999999999,0.081919,0.082981,2140286,83188301
70,"Jan 08, 2019",0.080955,0.08383,0.079536,0.082254,2134677,82459741
71,"Jan 07, 2019",0.08257300000000001,0.08438,0.080445,0.080696,2295510,80898098
72,"Jan 06, 2019",0.079613,0.083099,0.078695,0.082331,2365919,82536772
73,"Jan 05, 2019",0.078889,0.08129199999999999,0.078372,0.079825,2182806,80024496
74,"Jan 04, 2019",0.07768,0.079485,0.077075,0.079448,1676310,79646551
75,"Jan 03, 2019",0.081809,0.08249,0.07689700000000001,0.07798300000000001,2485930,78177894
76,"Jan 02, 2019",0.079653,0.083174,0.078474,0.082401,2468862,82606471
77,"Jan 01, 2019",0.07801799999999999,0.080058,0.07700900000000001,0.07940900000000001,1677044,79607855
78,"Dec 31, 2018",0.080916,0.0812,0.077487,0.07800900000000001,1661439,78204051
79,"Dec 30, 2018",0.080182,0.081717,0.078182,0.08062000000000001,1926842,80821949
80,"Dec 29, 2018",0.084017,0.084364,0.080207,0.080207,2277722,80407294
81,"Dec 28, 2018",0.07700900000000001,0.083677,0.075235,0.083551,2585061,83759676
82,"Dec 27, 2018",0.082933,0.083378,0.076547,0.07747000000000001,2434824,77663827
83,"Dec 26, 2018",0.0825,0.086159,0.078976,0.082734,2834786,82941059
84,"Dec 25, 2018",0.094144,0.094144,0.077825,0.082028,4215868,82232539
85,"Dec 24, 2018",0.096032,0.104899,0.094311,0.094311,6044796,94546348
86,"Dec 23, 2018",0.093664,0.100428,0.093182,0.095749,4295500,95988578
87,"Dec 22, 2018",0.089107,0.095283,0.086896,0.093601,3997626,93834650
88,"Dec 21, 2018",0.08430800000000001,0.095844,0.081552,0.089408,7503243,89631547
89,"Dec 20, 2018",0.07972699999999999,0.085623,0.076892,0.08426900000000001,4452132,84480074
90,"Dec 19, 2018",0.080492,0.08616900000000001,0.079526,0.079738,4518556,79937706
91,"Dec 18, 2018",0.07862000000000001,0.08032,0.07521699999999999,0.08032,3425710,80520823
92,"Dec 17, 2018",0.07096000000000001,0.079967,0.07021799999999999,0.078365,2879473,78560905
93,"Dec 16, 2018",0.069049,0.072417,0.068885,0.070935,1364793,71112674
94,"Dec 15, 2018",0.06848,0.070265,0.06766,0.069211,1318077,69383530
95,"Dec 14, 2018",0.071135,0.072099,0.068374,0.06842899999999999,1731302,68599767
96,"Dec 13, 2018",0.072297,0.076026,0.069732,0.070677,2247673,70853824
97,"Dec 12, 2018",0.070219,0.07353,0.069252,0.072147,1653455,72327560
98,"Dec 11, 2018",0.072371,0.072685,0.068355,0.070112,1571108,70287151
99,"Dec 10, 2018",0.073296,0.07518899999999999,0.070053,0.071703,2101070,71882445
100,"Dec 09, 2018",0.06865299999999999,0.077653,0.068039,0.07347999999999999,2492759,73663546
101,"Dec 08, 2018",0.06952799999999999,0.074889,0.06449400000000001,0.06895599999999999,6695548,69128735
102,"Dec 07, 2018",0.07072300000000001,0.071123,0.063532,0.069885,13059765,70059381
103,"Dec 06, 2018",0.08729500000000001,0.089247,0.07051,0.07051,10094529,70685971
104,"Dec 05, 2018",0.095769,0.096315,0.087962,0.087962,11356752,88181358
105,"Dec 04, 2018",0.095182,0.108052,0.09188099999999999,0.095958,21462798,96197942
106,"Dec 03, 2018",0.100531,0.101283,0.093275,0.09539299999999999,8005968,95631495
107,"Dec 02, 2018",0.10127799999999999,0.104098,0.09931799999999999,0.100877,9131380,101128771
108,"Dec 01, 2018",0.099622,0.106482,0.09698,0.10216499999999999,20212987,102420216
109,"Nov 30, 2018",0.104125,0.106428,0.096707,0.099313,33311488,99561595
110,"Nov 29, 2018",0.105983,0.11119100000000001,0.099261,0.103966,29884643,104226054
111,"Nov 28, 2018",0.095578,0.10925599999999999,0.095578,0.104878,24688100,105140119
112,"Nov 27, 2018",0.09324299999999999,0.096972,0.090759,0.09472,5505810,94957132
113,"Nov 26, 2018",0.10002899999999999,0.10259800000000001,0.090377,0.093226,4757510,93459298
114,"Nov 25, 2018",0.103101,0.103432,0.08777,0.100743,8453130,100994784
115,"Nov 24, 2018",0.109927,0.114031,0.100477,0.103348,3437530,103606295
116,"Nov 23, 2018",0.11324300000000001,0.11427799999999999,0.10568599999999999,0.110035,4062410,110310008
117,"Nov 22, 2018",0.124118,0.125276,0.113202,0.11383499999999999,3679500,114119505
118,"Nov 21, 2018",0.116529,0.125088,0.11166300000000001,0.124922,7220900,125234214
119,"Nov 20, 2018",0.130457,0.134621,0.104777,0.115798,10584000,116087411
120,"Nov 19, 2018",0.158414,0.15850799999999998,0.128328,0.131422,10495300,131750460
121,"Nov 18, 2018",0.156381,0.16042,0.156381,0.157896,5257190,158290626
122,"Nov 17, 2018",0.154166,0.15715,0.151087,0.156335,4311050,156725724
123,"Nov 16, 2018",0.160307,0.160448,0.14971900000000002,0.15423699999999999,32178200,154622481
124,"Nov 15, 2018",0.15731900000000001,0.161237,0.142927,0.158993,53671700,159390367
125,"Nov 14, 2018",0.179422,0.18015899999999999,0.147057,0.15749100000000002,49289900,157884613
126,"Nov 13, 2018",0.181988,0.182677,0.17911,0.17965599999999998,56421400,180105010
127,"Nov 12, 2018",0.184896,0.186683,0.18143099999999998,0.181832,43933700,182286448
128,"Nov 11, 2018",0.18829500000000002,0.188751,0.183723,0.184977,36334200,185439308
129,"Nov 10, 2018",0.189066,0.1897,0.184508,0.18845,16480800,188920988
130,"Nov 09, 2018",0.191115,0.192623,0.187977,0.189224,54839500,189696923
131,"Nov 08, 2018",0.200606,0.201227,0.191135,0.191135,38057900,191612699
132,"Nov 07, 2018",0.195247,0.2067,0.194275,0.200704,54115800,201205614
133,"Nov 06, 2018",0.190527,0.195715,0.18859700000000001,0.194469,16201200,193302913
134,"Nov 05, 2018",0.189976,0.192865,0.189503,0.190518,32371400,190994157
135,"Nov 04, 2018",0.191356,0.193424,0.183027,0.190105,55347100,190580125
136,"Nov 03, 2018",0.193908,0.194295,0.19045299999999998,0.191246,43678900,191723976
137,"Nov 02, 2018",0.193168,0.196528,0.19161,0.193225,6358010,193707922
138,"Nov 01, 2018",0.189709,0.20556300000000002,0.188478,0.193669,4664820,194153032
