,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",3.28,3.47,3.27,3.37,7008067,53243841
1,"Mar 18, 2019",3.39,3.64,3.24,3.28,5411997,51800383
2,"Mar 17, 2019",3.28,3.51,3.23,3.4,3025095,53651659
3,"Mar 16, 2019",3.37,3.37,3.23,3.28,3791634,51791581
4,"Mar 15, 2019",3.0,3.92,2.97,3.37,31110240,53267103
5,"Mar 14, 2019",2.98,3.03,2.91,3.01,3482785,47515031
6,"Mar 13, 2019",2.94,3.11,2.92,2.97,2940196,46924171
7,"Mar 12, 2019",2.85,3.16,2.73,2.94,7121685,46503918
8,"Mar 11, 2019",2.8,3.38,2.76,2.86,11649300,45103429
9,"Mar 10, 2019",2.81,2.83,2.75,2.8,1732462,44193960
10,"Mar 09, 2019",2.63,2.88,2.63,2.81,2792170,44414628
11,"Mar 08, 2019",2.61,2.7,2.61,2.64,1574827,41624601
12,"Mar 07, 2019",2.63,2.66,2.57,2.61,1398056,41195912
13,"Mar 06, 2019",2.67,2.71,2.62,2.63,1342976,41473930
14,"Mar 05, 2019",2.48,2.69,2.47,2.67,1766290,42098831
15,"Mar 04, 2019",2.57,2.6,2.42,2.47,1111477,39052307
16,"Mar 03, 2019",2.58,2.6,2.57,2.58,764868,40763774
17,"Mar 02, 2019",2.63,2.64,2.55,2.58,1040635,40734522
18,"Mar 01, 2019",2.64,2.67,2.63,2.63,905095,41515998
19,"Feb 28, 2019",2.74,2.76,2.6,2.64,1776005,41686750
20,"Feb 27, 2019",2.81,2.86,2.69,2.74,2342800,43270090
21,"Feb 26, 2019",2.73,2.83,2.68,2.81,2504513,44445717
22,"Feb 25, 2019",2.74,2.78,2.71,2.74,1749850,43275153
23,"Feb 24, 2019",3.03,3.07,2.64,2.75,8969729,43498787
24,"Feb 23, 2019",3.03,3.06,2.91,3.02,3687793,47742580
25,"Feb 22, 2019",3.1,3.13,2.97,3.03,4372751,47907763
26,"Feb 21, 2019",3.2,3.54,3.04,3.1,12262692,48992264
27,"Feb 20, 2019",2.79,3.31,2.75,3.19,8791092,50389658
28,"Feb 19, 2019",2.85,2.91,2.71,2.79,4365167,44057827
29,"Feb 18, 2019",2.62,3.28,2.61,2.86,37607814,45110230
30,"Feb 17, 2019",2.65,2.65,2.53,2.62,12234693,41387291
31,"Feb 16, 2019",2.78,3.01,2.54,2.64,70973150,41693731
32,"Feb 15, 2019",2.08,2.78,2.08,2.6,130879527,41114832
33,"Feb 14, 2019",2.06,2.1,2.05,2.08,3493668,32843695
34,"Feb 13, 2019",2.11,2.12,2.05,2.07,4092555,32628283
35,"Feb 12, 2019",2.12,2.13,2.09,2.11,3162454,33394694
36,"Feb 11, 2019",2.15,2.16,2.07,2.12,6603567,33433215
37,"Feb 10, 2019",2.13,2.16,2.08,2.15,6129877,33889888
38,"Feb 09, 2019",2.1,2.3,2.09,2.13,21706331,33703743
39,"Feb 08, 2019",1.96,2.16,1.95,2.1,9717641,33150383
40,"Feb 07, 2019",1.88,2.07,1.88,1.95,15582782,30846188
41,"Feb 06, 2019",1.99,1.99,1.88,1.88,4754763,29723237
42,"Feb 05, 2019",1.99,2.01,1.98,1.99,2978913,31353995
43,"Feb 04, 2019",1.96,2.05,1.95,2.0,7525481,31511347
44,"Feb 03, 2019",2.0,2.0,1.94,1.95,1992986,30871207
45,"Feb 02, 2019",1.98,2.01,1.95,2.0,2716865,31563028
46,"Feb 01, 2019",1.98,2.0,1.94,1.98,2296555,31219270
47,"Jan 31, 2019",2.06,2.07,1.97,1.98,4223319,31201685
48,"Jan 30, 2019",1.99,2.06,1.97,2.06,3339726,32465837
49,"Jan 29, 2019",2.02,2.02,1.94,1.99,5131047,31389118
50,"Jan 28, 2019",2.18,2.19,1.95,2.02,10954513,31873020
51,"Jan 27, 2019",2.24,2.26,2.16,2.18,3855595,34397192
52,"Jan 26, 2019",2.23,2.3,2.23,2.24,4809904,35442135
53,"Jan 25, 2019",2.23,2.25,2.21,2.23,4206915,35217023
54,"Jan 24, 2019",2.24,2.26,2.19,2.23,4605853,35178864
55,"Jan 23, 2019",2.22,2.29,2.21,2.24,8748119,35428459
