,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",1.16,1.18,1.13,1.15,7865285,63829356
1,"Mar 18, 2019",1.15,1.17,1.12,1.15,6089571,63946408
2,"Mar 17, 2019",1.16,1.18,1.12,1.14,5912073,63480538
3,"Mar 16, 2019",1.14,1.18,1.11,1.15,6185445,64172255
4,"Mar 15, 2019",1.12,1.16,1.09,1.13,5978071,62834243
5,"Mar 14, 2019",1.11,1.14,1.09,1.12,5986728,62535098
6,"Mar 13, 2019",1.13,1.14,1.09,1.11,6037653,61805447
7,"Mar 12, 2019",1.11,1.14,1.08,1.12,6158236,62288194
8,"Mar 11, 2019",1.13,1.15,1.09,1.11,5969904,61919042
9,"Mar 10, 2019",1.13,1.15,1.1,1.12,6155035,62397991
10,"Mar 09, 2019",1.11,1.15,1.1,1.13,5951255,62912096
11,"Mar 08, 2019",1.11,1.15,1.09,1.11,5788092,61674463
12,"Mar 07, 2019",1.11,1.14,1.09,1.12,5960884,62100238
13,"Mar 06, 2019",1.13,1.14,1.08,1.12,6035637,62603680
14,"Mar 05, 2019",1.06,1.13,1.05,1.12,6051467,62324860
15,"Mar 04, 2019",1.1,1.12,1.05,1.09,5952068,60651604
16,"Mar 03, 2019",1.11,1.13,1.08,1.1,5901280,61088726
17,"Mar 02, 2019",1.1,1.13,1.08,1.11,5942590,61797152
18,"Mar 01, 2019",1.1,1.13,1.08,1.11,6040232,61822134
19,"Feb 28, 2019",1.09,1.13,1.08,1.09,5849332,60578425
20,"Feb 27, 2019",1.09,1.13,1.06,1.11,6050898,61590648
21,"Feb 26, 2019",1.11,1.13,1.08,1.1,5929125,61408652
22,"Feb 25, 2019",1.1,1.13,1.07,1.12,6047657,62131391
23,"Feb 24, 2019",1.19,1.22,1.07,1.09,5796745,60646730
24,"Feb 23, 2019",1.15,1.2,1.12,1.19,6349496,66408171
25,"Feb 22, 2019",1.14,1.16,1.11,1.15,6083614,63841334
26,"Feb 21, 2019",1.13,1.16,1.11,1.13,6059877,62742518
27,"Feb 20, 2019",1.12,1.16,1.11,1.16,6277718,64488290
28,"Feb 19, 2019",1.14,1.17,1.1,1.13,6056354,63016364
29,"Feb 18, 2019",1.05,1.15,1.04,1.13,5994384,62698834
30,"Feb 17, 2019",1.04,1.07,1.02,1.06,5717336,59277192
31,"Feb 16, 2019",1.05,1.07,1.02,1.05,5565913,58358906
32,"Feb 15, 2019",1.03,1.06,1.02,1.05,5666777,58255043
33,"Feb 14, 2019",1.03,1.06,1.02,1.04,5434183,57786888
34,"Feb 13, 2019",1.04,1.07,1.02,1.04,5582633,57635371
35,"Feb 12, 2019",1.05,1.07,1.02,1.05,5615350,58226453
36,"Feb 11, 2019",1.05,1.07,1.03,1.05,5529280,58529317
37,"Feb 10, 2019",1.04,1.07,1.03,1.07,5726228,59345563
38,"Feb 09, 2019",1.05,1.08,1.03,1.05,5550636,58567360
39,"Feb 08, 2019",0.97545,1.07,0.9559770000000001,1.06,5549258,59243737
40,"Feb 07, 2019",0.975941,0.996748,0.957909,0.975132,5166847,54301528
41,"Feb 06, 2019",1.0,1.0,0.9559860000000001,0.97508,5195603,54298616
42,"Feb 05, 2019",0.983035,1.01,0.971339,0.98921,5344392,55085495
43,"Feb 04, 2019",1.0,1.03,0.9726459999999999,0.994886,5289925,55401561
44,"Feb 03, 2019",1.01,1.02,0.9746809999999999,0.995917,5207570,55458981
45,"Feb 02, 2019",1.01,1.03,0.9816239999999999,1.01,5311353,56037064
46,"Feb 01, 2019",0.9852,1.02,0.9692700000000001,1.0,5273522,55820075
47,"Jan 31, 2019",0.9974729999999999,1.02,0.970873,1.0,5310922,55785880
48,"Jan 30, 2019",0.972783,1.02,0.9720059999999999,0.9928370000000001,5270885,55287430
49,"Jan 29, 2019",1.03,1.04,0.9633940000000001,0.9799040000000001,5204658,54567241
50,"Jan 28, 2019",1.04,1.08,1.0,1.03,5498330,57603075
