,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",92.46,93.63,92.21,92.38,279417894,803479141
1,"Mar 18, 2019",93.65,95.72,92.21,92.64,253632816,805601753
2,"Mar 17, 2019",93.03,94.0,91.09,93.56,228317131,813463650
3,"Mar 16, 2019",90.87,93.24,90.84,93.04,244470262,808777009
4,"Mar 15, 2019",89.96,91.85,89.91,90.7,261122554,788189556
5,"Mar 14, 2019",91.29,91.29,88.67,89.96,279643710,781640856
6,"Mar 13, 2019",92.24,93.83,90.62,91.45,286758977,794438027
7,"Mar 12, 2019",84.28,92.55,82.84,92.04,290981988,799329753
8,"Mar 11, 2019",83.88,84.26,81.57,83.55,238933542,725454942
9,"Mar 10, 2019",84.33,84.39,82.37,83.73,242454512,726887779
10,"Mar 09, 2019",81.56,84.68,81.25,84.13,260715166,730236104
11,"Mar 08, 2019",83.69,84.02,81.0,81.59,245870485,708009683
12,"Mar 07, 2019",84.15,84.64,83.18,83.6,249706447,725265429
13,"Mar 06, 2019",83.88,84.51,81.92,84.12,234883905,729645561
14,"Mar 05, 2019",79.9,84.33,79.81,83.94,267697097,727959459
15,"Mar 04, 2019",82.32,82.42,79.14,79.8,246707029,691855858
16,"Mar 03, 2019",83.21,84.63,81.33,81.95,234980698,710428400
17,"Mar 02, 2019",83.32,84.65,82.9,83.26,217459848,721571991
18,"Mar 01, 2019",83.41,85.33,83.07,83.4,214590927,722159553
19,"Feb 28, 2019",82.46,84.96,82.36,83.4,268500969,722011351
20,"Feb 27, 2019",83.18,83.18,80.41,82.47,258637442,713794772
21,"Feb 26, 2019",83.97,84.06,81.9,83.13,263760475,719334227
22,"Feb 25, 2019",81.44,84.8,81.17,84.12,228964736,727766422
23,"Feb 24, 2019",90.13,92.97,79.74,81.52,279762301,705066679
24,"Feb 23, 2019",86.67,90.37,85.48,90.08,250962022,778987549
25,"Feb 22, 2019",85.6,87.24,85.19,86.76,245055088,750148022
26,"Feb 21, 2019",87.97,88.94,84.49,85.61,236314511,739973582
27,"Feb 20, 2019",88.22,88.39,85.1,87.91,260540777,759738059
28,"Feb 19, 2019",86.64,90.22,86.17,88.16,285735176,761705059
29,"Feb 18, 2019",79.74,87.03,79.67,86.56,289853373,747764090
30,"Feb 17, 2019",79.67,80.52,78.51,79.75,206403616,688790081
31,"Feb 16, 2019",79.12,80.86,79.1,79.6,193025119,687304075
32,"Feb 15, 2019",78.58,80.34,77.83,79.15,215175325,683308137
33,"Feb 14, 2019",80.58,81.21,78.09,78.52,196698077,677708050
34,"Feb 13, 2019",82.72,83.17,80.17,80.53,215409826,694937603
35,"Feb 12, 2019",80.21,83.33,78.64,82.68,236892784,713282004
36,"Feb 11, 2019",75.52,81.78,74.73,80.16,227879067,691438368
37,"Feb 10, 2019",74.24,75.5,73.0,75.5,177539073,651066069
38,"Feb 09, 2019",73.86,75.3,73.1,74.23,169940905,640025451
