,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",19.49,19.55,19.16,19.22,1710183,182438915
1,"Mar 18, 2019",19.74,19.95,19.11,19.48,1683777,184780802
2,"Mar 17, 2019",19.44,19.83,19.22,19.71,1589879,186837700
3,"Mar 16, 2019",19.75,19.91,19.23,19.45,1959709,184272633
4,"Mar 15, 2019",19.44,19.92,19.08,19.8,3106581,187474886
5,"Mar 14, 2019",18.57,22.32,18.37,19.46,7195775,184157984
6,"Mar 13, 2019",18.7,19.51,17.98,18.59,3932665,175899600
7,"Mar 12, 2019",16.89,23.59,16.59,18.69,14455264,176751745
8,"Mar 11, 2019",16.95,17.11,16.28,16.85,1820227,159221641
9,"Mar 10, 2019",16.66,16.95,16.58,16.93,1469928,159877403
10,"Mar 09, 2019",16.22,16.78,16.18,16.65,1478191,157129949
11,"Mar 08, 2019",16.39,16.59,16.13,16.23,1462539,153106776
12,"Mar 07, 2019",16.81,17.02,16.16,16.38,1731629,154463967
13,"Mar 06, 2019",16.96,16.98,16.72,16.77,1521296,158050785
14,"Mar 05, 2019",16.17,16.97,16.02,16.96,1756291,159764046
15,"Mar 04, 2019",16.65,16.68,15.92,16.16,1682502,152125777
16,"Mar 03, 2019",16.97,17.06,16.61,16.66,1636068,156714589
17,"Mar 02, 2019",16.61,17.03,16.61,17.01,1364076,159956680
18,"Mar 01, 2019",16.7,16.92,16.59,16.64,1396642,156408220
19,"Feb 28, 2019",16.7,16.93,16.62,16.7,1238367,156792056
20,"Feb 27, 2019",16.85,16.96,16.35,16.72,1338471,156902726
21,"Feb 26, 2019",16.43,17.09,16.34,16.85,1571916,158061906
22,"Feb 25, 2019",16.14,16.61,16.11,16.48,1474651,154476061
23,"Feb 24, 2019",17.94,18.38,16.09,16.18,1580194,151572566
24,"Feb 23, 2019",17.32,17.99,17.22,17.92,1379839,167855523
25,"Feb 22, 2019",16.75,17.35,16.75,17.34,1452426,162317208
26,"Feb 21, 2019",17.38,17.41,16.61,16.78,1752731,156943060
27,"Feb 20, 2019",17.56,17.66,17.15,17.27,1864979,161488479
28,"Feb 19, 2019",18.24,18.24,17.22,17.55,3235549,163951294
29,"Feb 18, 2019",17.08,17.97,16.88,17.81,2593851,166341227
30,"Feb 17, 2019",16.68,17.09,16.54,17.03,1729811,158942557
31,"Feb 16, 2019",16.72,16.91,16.62,16.71,1456073,155842342
32,"Feb 15, 2019",16.69,16.83,16.63,16.71,1402629,155832483
33,"Feb 14, 2019",16.76,16.84,16.63,16.68,1311259,155437181
34,"Feb 13, 2019",16.82,17.03,16.64,16.77,1560393,156184889
35,"Feb 12, 2019",16.71,16.9,16.54,16.82,1723153,156555384
36,"Feb 11, 2019",17.07,17.07,16.61,16.69,1398587,155225539
37,"Feb 10, 2019",16.61,17.08,16.4,17.08,1873124,158748871
38,"Feb 09, 2019",16.54,16.74,16.4,16.58,1115167,154063911
39,"Feb 08, 2019",15.19,16.8,15.14,16.58,1468462,153911490
40,"Feb 07, 2019",14.97,15.53,14.93,15.19,1461236,140938460
41,"Feb 06, 2019",15.95,15.95,14.86,14.96,2061132,138737400
42,"Feb 05, 2019",15.73,16.04,15.73,15.91,1081837,147434393
43,"Feb 04, 2019",16.01,16.08,15.69,15.78,1148826,146181366
44,"Feb 03, 2019",15.91,16.16,15.63,15.95,1438369,147666667
45,"Feb 02, 2019",15.86,15.98,15.75,15.87,977642,146812462
46,"Feb 01, 2019",15.76,16.1,15.54,15.89,1191214,146964098
47,"Jan 31, 2019",16.32,16.44,15.68,15.77,1159543,145748480
48,"Jan 30, 2019",16.08,16.4,15.86,16.33,1458878,150864309
49,"Jan 29, 2019",16.55,16.57,15.74,16.13,1387620,148898303
50,"Jan 28, 2019",17.07,17.12,15.67,16.53,1476352,152543614
51,"Jan 27, 2019",17.2,17.44,16.82,17.07,922610,157377240
52,"Jan 26, 2019",17.1,17.3,16.88,17.21,919684,158621897
53,"Jan 25, 2019",17.47,17.62,16.93,17.09,1493143,157399067
54,"Jan 24, 2019",17.29,17.46,16.99,17.42,929976,160394524
55,"Jan 23, 2019",17.27,17.47,17.03,17.28,1146188,158978807
56,"Jan 22, 2019",17.07,17.53,16.61,17.27,1335263,158802778
57,"Jan 21, 2019",16.64,17.06,16.53,17.06,957708,156763608
58,"Jan 20, 2019",17.63,17.72,16.57,16.64,1086357,152830888
59,"Jan 19, 2019",17.25,17.79,17.02,17.64,1056530,161901282
60,"Jan 18, 2019",17.34,17.35,16.87,17.22,1110171,157953960
61,"Jan 17, 2019",17.0,17.37,16.69,17.35,1359720,159022498
62,"Jan 16, 2019",16.47,17.02,16.34,16.98,1928936,155594747
63,"Jan 15, 2019",16.64,16.81,16.42,16.51,1145293,151207876
64,"Jan 14, 2019",16.27,16.75,15.55,16.65,1589369,152373325
65,"Jan 13, 2019",17.51,17.51,16.24,16.27,1004161,148791367
66,"Jan 12, 2019",17.06,17.58,16.56,17.51,1331695,160028532
67,"Jan 11, 2019",16.46,17.55,16.41,17.06,1194490,155826082
68,"Jan 10, 2019",19.02,19.33,16.24,16.49,1576944,150532546
69,"Jan 09, 2019",18.4,19.15,18.36,19.0,1307804,173397020
70,"Jan 08, 2019",19.1,19.24,18.32,18.39,1538820,167669521
71,"Jan 07, 2019",19.64,19.71,18.81,19.07,1112148,173745369
72,"Jan 06, 2019",18.49,19.78,18.4,19.63,955766,178777711
73,"Jan 05, 2019",18.52,18.95,18.31,18.49,884930,168302702
74,"Jan 04, 2019",18.25,18.6,17.83,18.56,872722,168857455
75,"Jan 03, 2019",18.41,18.97,18.06,18.24,1123367,165795529
76,"Jan 02, 2019",17.53,18.46,17.4,18.42,1045369,167312119
77,"Jan 01, 2019",16.62,17.57,16.5,17.46,1050857,158586779
78,"Dec 31, 2018",18.67,19.0,16.56,16.58,2275825,150490493
79,"Dec 30, 2018",18.22,19.38,17.97,18.68,1473578,169424789
80,"Dec 29, 2018",19.95,20.76,18.19,18.21,2214030,164992554
81,"Dec 28, 2018",16.36,21.53,16.16,19.94,5886042,180646115
82,"Dec 27, 2018",17.99,18.06,16.34,16.34,909726,147879573
83,"Dec 26, 2018",18.01,18.36,17.48,18.03,778270,163084776
84,"Dec 25, 2018",19.75,19.79,17.21,17.97,1169267,162482268
85,"Dec 24, 2018",19.24,21.38,19.24,19.71,1625651,178112453
86,"Dec 23, 2018",18.84,19.52,18.74,19.24,1191517,173721301
87,"Dec 22, 2018",18.13,18.84,17.95,18.78,854276,169516016
88,"Dec 21, 2018",19.7,19.98,18.04,18.12,1068897,163388018
89,"Dec 20, 2018",18.28,19.9,17.57,19.74,1269525,177925072
90,"Dec 19, 2018",18.48,19.0,18.06,18.31,1118463,164923904
91,"Dec 18, 2018",16.15,18.39,16.05,18.36,1234300,165341423
92,"Dec 17, 2018",15.09,16.25,14.97,16.08,923588,144723896
93,"Dec 16, 2018",14.54,15.45,14.49,15.08,939086,135582656
94,"Dec 15, 2018",15.14,15.23,14.32,14.55,1051781,130716500
95,"Dec 14, 2018",14.53,16.52,14.41,15.04,2206454,135044729
96,"Dec 13, 2018",14.9,14.97,14.21,14.53,760900,130394961
97,"Dec 12, 2018",14.73,15.36,14.46,14.89,802886,133561384
98,"Dec 11, 2018",15.6,15.64,14.59,14.77,1006081,132437837
99,"Dec 10, 2018",17.53,17.71,15.61,15.65,1020289,140195115
100,"Dec 09, 2018",17.07,18.02,16.93,17.6,925906,157602599
101,"Dec 08, 2018",17.2,17.57,16.34,17.11,865350,153164994
102,"Dec 07, 2018",18.23,18.23,15.56,17.23,1534530,154122063
103,"Dec 06, 2018",18.8,19.65,18.21,18.24,1579241,163020061
104,"Dec 05, 2018",19.73,19.88,18.69,18.82,915211,168083507
105,"Dec 04, 2018",19.24,20.41,19.05,19.72,991210,176041997
106,"Dec 03, 2018",20.58,20.58,18.99,19.27,1025663,171871701
107,"Dec 02, 2018",20.67,21.45,20.35,20.6,935573,183643464
108,"Dec 01, 2018",19.96,21.31,19.64,20.67,1171898,184173398
109,"Nov 30, 2018",21.69,21.84,19.4,19.92,1350731,177378661
110,"Nov 29, 2018",21.81,22.32,20.92,21.6,1499264,192220131
111,"Nov 28, 2018",19.83,23.15,19.83,21.73,1753670,193267504
112,"Nov 27, 2018",19.69,20.02,19.04,19.79,1002830,175849848
113,"Nov 26, 2018",21.5,21.94,18.81,19.69,1182670,174938063
114,"Nov 25, 2018",20.42,22.07,18.53,21.37,1468980,189687353
115,"Nov 24, 2018",23.08,23.39,19.99,20.47,1103890,181571766
116,"Nov 23, 2018",24.18,24.35,22.4,23.07,1527210,204557062
117,"Nov 22, 2018",26.12,26.61,24.32,24.32,1153700,215511983
118,"Nov 21, 2018",24.03,26.18,23.45,26.17,1583450,231755268
119,"Nov 20, 2018",25.83,26.84,22.56,23.96,2504570,212037706
120,"Nov 19, 2018",33.54,33.54,25.9,25.91,2990980,229111620
121,"Nov 18, 2018",32.78,33.93,32.48,33.42,1407790,295386275
122,"Nov 17, 2018",33.01,33.18,32.15,32.7,1946570,288784007
123,"Nov 16, 2018",34.46,34.74,32.13,32.95,2318600,290831389
124,"Nov 15, 2018",34.73,35.05,32.18,34.45,2574430,303874005
125,"Nov 14, 2018",38.89,39.29,33.77,34.55,1930050,304554324
126,"Nov 13, 2018",39.8,40.04,38.7,39.02,1097430,343789003
127,"Nov 12, 2018",39.5,40.5,38.73,39.94,1601100,351613810
128,"Nov 11, 2018",40.4,40.56,38.71,39.28,1254290,345597514
129,"Nov 10, 2018",40.62,41.08,39.33,40.38,1539240,355000152
130,"Nov 09, 2018",38.99,40.93,38.93,40.8,1569910,358524948
131,"Nov 08, 2018",40.8,40.94,39.02,39.02,1199560,342732900
132,"Nov 07, 2018",41.03,41.81,40.68,40.92,1212210,359130057
133,"Nov 06, 2018",39.52,41.01,39.36,41.01,1704680,357819126
134,"Nov 05, 2018",40.26,40.57,39.07,39.42,1477140,345536895
135,"Nov 04, 2018",40.34,40.42,38.94,40.3,1631150,353048587
136,"Nov 03, 2018",42.09,42.11,40.23,40.52,1424970,354696853
