,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",2.75,2.87,2.71,2.83,5003801,42684534
1,"Mar 18, 2019",2.7,2.8,2.59,2.74,4304140,41254122
2,"Mar 17, 2019",2.64,2.77,2.62,2.75,1077644,41464220
3,"Mar 16, 2019",2.54,2.67,2.49,2.65,958089,39864300
4,"Mar 15, 2019",2.53,2.57,2.41,2.52,852426,37894941
5,"Mar 14, 2019",2.53,2.58,2.49,2.54,1716630,38297610
6,"Mar 13, 2019",2.46,2.55,2.42,2.54,2626252,38169267
7,"Mar 12, 2019",2.41,2.54,2.41,2.45,3026197,36939273
8,"Mar 11, 2019",2.48,2.56,2.35,2.4,1835395,36121649
9,"Mar 10, 2019",2.67,2.74,2.41,2.48,5893252,37342903
10,"Mar 09, 2019",2.23,2.89,2.23,2.65,8834748,39813535
11,"Mar 08, 2019",2.04,2.25,2.01,2.21,2388829,33233919
12,"Mar 07, 2019",2.04,2.07,2.01,2.04,1807155,30517658
13,"Mar 06, 2019",2.04,2.07,2.02,2.03,1070624,30429940
14,"Mar 05, 2019",2.0,2.1,1.96,2.04,1353207,30544217
15,"Mar 04, 2019",2.07,2.09,1.98,2.0,1196315,29948384
16,"Mar 03, 2019",2.08,2.1,2.05,2.07,1166747,30301453
17,"Mar 02, 2019",2.1,2.13,2.06,2.08,900299,30463999
18,"Mar 01, 2019",2.13,2.15,2.1,2.11,1119667,30914962
19,"Feb 28, 2019",2.15,2.21,2.12,2.13,1144396,31132349
20,"Feb 27, 2019",2.12,2.22,2.1,2.14,1944214,31390253
21,"Feb 26, 2019",2.09,2.17,2.06,2.12,1410692,31056929
22,"Feb 25, 2019",2.02,2.14,2.02,2.1,3067500,30718558
23,"Feb 24, 2019",2.23,2.31,1.97,2.03,2537290,29728534
24,"Feb 23, 2019",2.08,2.26,2.06,2.23,1926204,32601664
25,"Feb 22, 2019",2.01,2.13,1.97,2.08,1643575,30459182
26,"Feb 21, 2019",2.06,2.06,1.98,2.01,2605662,29362027
27,"Feb 20, 2019",2.07,2.09,2.02,2.07,1775966,30224958
28,"Feb 19, 2019",2.1,2.15,2.06,2.07,2010610,30193669
29,"Feb 18, 2019",2.08,2.12,2.03,2.1,1663246,30652368
30,"Feb 17, 2019",1.97,2.07,1.95,2.06,1505804,30144498
31,"Feb 16, 2019",1.9,2.09,1.86,1.96,1877615,28603702
32,"Feb 15, 2019",2.02,2.09,1.88,1.9,2085912,27654121
33,"Feb 14, 2019",2.06,2.07,1.96,2.02,1818301,29390017
34,"Feb 13, 2019",2.12,2.18,2.06,2.06,1748248,30072665
35,"Feb 12, 2019",2.24,2.25,2.1,2.13,4491415,31063428
36,"Feb 11, 2019",2.34,2.36,2.23,2.25,825674,32779845
37,"Feb 10, 2019",2.28,2.39,2.2,2.36,1038737,34322470
38,"Feb 09, 2019",2.3,2.32,2.21,2.28,503749,33125031
39,"Feb 08, 2019",2.13,2.32,2.1,2.3,1124742,33426019
40,"Feb 07, 2019",2.11,2.15,2.07,2.11,408356,30614038
41,"Feb 06, 2019",2.14,2.14,2.05,2.1,415502,30567153
42,"Feb 05, 2019",2.1,2.15,2.09,2.13,432625,30991163
43,"Feb 04, 2019",2.13,2.17,2.11,2.12,779290,30739452
44,"Feb 03, 2019",2.18,2.21,2.1,2.12,453942,30822661
45,"Feb 02, 2019",2.13,2.19,2.11,2.19,524706,31731722
46,"Feb 01, 2019",2.12,2.17,2.07,2.14,943846,31083526
47,"Jan 31, 2019",2.17,2.2,2.1,2.13,689510,30919496
48,"Jan 30, 2019",2.13,2.19,2.11,2.16,606446,31385105
49,"Jan 29, 2019",2.14,2.16,2.07,2.14,1005011,31065332
50,"Jan 28, 2019",2.32,2.32,2.06,2.15,1303775,31184548
51,"Jan 27, 2019",2.31,2.33,2.25,2.3,2278320,33379586
52,"Jan 26, 2019",2.33,2.36,2.28,2.3,1005348,33359499
53,"Jan 25, 2019",2.23,2.36,2.22,2.35,1614696,34131016
54,"Jan 24, 2019",2.19,2.25,2.16,2.23,884182,32323029
55,"Jan 23, 2019",2.2,2.23,2.16,2.18,1338852,31681757
56,"Jan 22, 2019",2.17,2.24,2.15,2.2,1391219,31883532
57,"Jan 21, 2019",2.13,2.18,2.12,2.17,1061723,31409125
58,"Jan 20, 2019",2.21,2.23,2.1,2.13,1784923,30928974
59,"Jan 19, 2019",2.2,2.27,2.17,2.22,2786122,32228510
60,"Jan 18, 2019",2.26,2.27,2.17,2.21,610248,32018180
61,"Jan 17, 2019",2.29,2.3,2.21,2.26,1031749,32815230
62,"Jan 16, 2019",2.22,2.3,2.19,2.29,996421,33224205
63,"Jan 15, 2019",2.31,2.32,2.19,2.22,1764660,32143638
64,"Jan 14, 2019",2.22,2.38,2.22,2.3,1682931,33282386
65,"Jan 13, 2019",2.24,2.36,2.2,2.21,1758469,32046573
66,"Jan 12, 2019",2.26,2.3,2.2,2.24,1033211,32382815
67,"Jan 11, 2019",2.29,2.3,2.2,2.24,1236728,32498167
68,"Jan 10, 2019",2.55,2.63,2.23,2.29,4274530,33051472
69,"Jan 09, 2019",2.53,2.6,2.47,2.55,2708390,36629024
70,"Jan 08, 2019",2.72,2.81,2.35,2.53,8388114,36252941
71,"Jan 07, 2019",2.8,2.86,2.71,2.73,2928491,39108774
72,"Jan 06, 2019",2.68,2.85,2.63,2.74,2830287,39361101
73,"Jan 05, 2019",2.73,2.79,2.65,2.72,2332117,38946531
74,"Jan 04, 2019",2.69,2.84,2.65,2.73,1596073,39137770
75,"Jan 03, 2019",2.83,2.88,2.67,2.68,1352849,38392345
76,"Jan 02, 2019",2.84,2.87,2.71,2.84,2478501,40644546
77,"Jan 01, 2019",2.64,2.84,2.59,2.79,1020780,40023550
78,"Dec 31, 2018",2.72,2.75,2.58,2.63,936876,37627087
79,"Dec 30, 2018",2.77,2.85,2.7,2.72,739601,38925140
80,"Dec 29, 2018",2.84,2.94,2.74,2.74,1169362,39208836
81,"Dec 28, 2018",2.59,2.88,2.58,2.83,1375512,40603257
82,"Dec 27, 2018",2.8,2.86,2.59,2.59,867104,37138371
83,"Dec 26, 2018",2.71,2.82,2.68,2.79,886918,39987554
84,"Dec 25, 2018",3.1,3.1,2.65,2.71,1941103,38704798
85,"Dec 24, 2018",2.96,3.15,2.95,3.06,2841956,43798346
