,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",4.44,4.7,4.42,4.65,459013224,507750118
1,"Mar 18, 2019",4.47,4.53,4.39,4.44,394491335,484192520
2,"Mar 17, 2019",4.52,4.53,4.42,4.46,183446354,486792522
3,"Mar 16, 2019",4.43,4.63,4.43,4.52,203176719,493176746
4,"Mar 15, 2019",4.34,4.46,4.34,4.43,187814628,483220509
5,"Mar 14, 2019",4.27,4.38,4.23,4.34,187331020,472807297
6,"Mar 13, 2019",4.3,4.33,4.24,4.27,160265628,465352704
7,"Mar 12, 2019",4.26,4.34,4.21,4.3,198416033,468502801
8,"Mar 11, 2019",4.36,4.39,4.24,4.26,204629223,464014138
9,"Mar 10, 2019",4.31,4.39,4.22,4.36,224014423,474741807
10,"Mar 09, 2019",4.24,4.35,4.23,4.3,216292812,468236756
11,"Mar 08, 2019",4.39,4.43,4.17,4.24,227329229,461774458
12,"Mar 07, 2019",4.32,4.53,4.31,4.39,234214382,477715380
13,"Mar 06, 2019",4.32,4.36,4.26,4.31,219478810,469138633
14,"Mar 05, 2019",4.16,4.39,4.14,4.32,242636788,469772810
15,"Mar 04, 2019",4.28,4.3,4.08,4.16,213298598,452481126
16,"Mar 03, 2019",4.27,4.31,4.25,4.28,182638030,465693846
17,"Mar 02, 2019",4.28,4.44,4.22,4.28,207971306,465234261
18,"Mar 01, 2019",4.28,4.35,4.24,4.29,165314927,465663258
19,"Feb 28, 2019",4.33,4.38,4.26,4.28,185561611,464720519
20,"Feb 27, 2019",4.32,4.43,4.25,4.33,201608400,470677633
21,"Feb 26, 2019",4.29,4.38,4.25,4.33,168459035,469914385
22,"Feb 25, 2019",4.17,4.39,4.17,4.3,227287641,466743262
23,"Feb 24, 2019",4.84,4.97,4.19,4.2,301941105,455271069
24,"Feb 23, 2019",4.71,4.89,4.63,4.84,248665482,525503034
25,"Feb 22, 2019",4.53,4.8,4.5,4.72,232494721,512261744
26,"Feb 21, 2019",4.71,4.71,4.44,4.51,226428873,488816361
27,"Feb 20, 2019",4.59,4.77,4.48,4.7,263413409,509725533
28,"Feb 19, 2019",4.42,4.83,4.42,4.6,343292544,498163443
29,"Feb 18, 2019",4.17,4.49,4.16,4.41,274458033,477675234
30,"Feb 17, 2019",4.09,4.18,4.08,4.18,203869852,452513075
31,"Feb 16, 2019",4.13,4.15,4.08,4.09,210057396,443371172
32,"Feb 15, 2019",4.13,4.2,4.09,4.11,208797069,444653644
33,"Feb 14, 2019",4.12,4.17,4.08,4.13,218223238,447035730
34,"Feb 13, 2019",4.09,4.17,4.07,4.13,198122371,446633290
35,"Feb 12, 2019",4.09,4.19,4.05,4.09,206268322,442295339
36,"Feb 11, 2019",4.17,4.17,4.02,4.08,213644605,441488385
37,"Feb 10, 2019",4.09,4.17,3.96,4.17,185806940,451510860
38,"Feb 09, 2019",4.16,4.17,4.03,4.09,176440582,442857560
39,"Feb 08, 2019",3.87,4.21,3.85,4.16,218549539,449398427
40,"Feb 07, 2019",3.75,3.9,3.73,3.86,158124456,417834477
41,"Feb 06, 2019",3.87,3.87,3.67,3.76,157423403,406308465
42,"Feb 05, 2019",3.88,3.91,3.85,3.87,122844063,418092908
43,"Feb 04, 2019",3.92,3.94,3.88,3.89,138267542,420580245
44,"Feb 03, 2019",4.01,4.01,3.89,3.92,156280488,423399621
45,"Feb 02, 2019",3.94,4.0,3.92,4.0,208180743,432377777
46,"Feb 01, 2019",3.96,3.99,3.89,3.95,164662002,426539329
47,"Jan 31, 2019",4.02,4.07,3.92,3.95,162458828,426751342
48,"Jan 30, 2019",3.91,4.07,3.89,4.02,165889423,434018071
49,"Jan 29, 2019",3.95,4.01,3.87,3.92,151481276,422731478
50,"Jan 28, 2019",4.25,4.27,3.84,3.95,152797683,425666671
51,"Jan 27, 2019",4.31,4.35,4.21,4.25,128215641,458658539
52,"Jan 26, 2019",4.35,4.39,4.3,4.31,116034521,464384473
53,"Jan 25, 2019",4.32,4.39,4.28,4.35,134448462,469223073
54,"Jan 24, 2019",4.31,4.34,4.24,4.31,120565684,464424611
55,"Jan 23, 2019",4.32,4.37,4.3,4.3,143324316,463718877
56,"Jan 22, 2019",4.28,4.35,4.22,4.33,129965929,466089467
57,"Jan 21, 2019",4.29,4.36,4.25,4.3,128824699,463342096
58,"Jan 20, 2019",4.39,4.47,4.25,4.29,146017540,461528744
59,"Jan 19, 2019",4.4,4.58,4.38,4.4,143016607,473795324
60,"Jan 18, 2019",4.51,4.51,4.3,4.38,127610385,471913768
61,"Jan 17, 2019",4.32,4.52,4.29,4.52,138597579,486673703
62,"Jan 16, 2019",4.21,4.38,4.21,4.31,124052759,463653575
63,"Jan 15, 2019",4.35,4.4,4.14,4.21,113889722,452615817
64,"Jan 14, 2019",4.25,4.45,4.24,4.35,107429405,467966585
65,"Jan 13, 2019",4.56,4.59,4.19,4.24,119300252,456169750
66,"Jan 12, 2019",4.48,4.75,4.46,4.56,123170899,490214580
67,"Jan 11, 2019",4.43,4.58,4.41,4.49,126990517,482020404
68,"Jan 10, 2019",4.98,5.06,4.28,4.43,141589286,476113076
69,"Jan 09, 2019",4.99,5.1,4.97,4.98,110333470,535176559
70,"Jan 08, 2019",4.92,5.12,4.86,4.99,146348077,535588392
71,"Jan 07, 2019",5.5,5.51,4.91,4.92,144351122,527734652
72,"Jan 06, 2019",5.13,5.5,5.1,5.5,132701649,590704005
73,"Jan 05, 2019",5.25,5.28,5.13,5.14,106525711,551144090
74,"Jan 04, 2019",5.09,5.27,5.05,5.25,115827900,563663345
75,"Jan 03, 2019",5.43,5.44,5.06,5.09,105163400,546424216
76,"Jan 02, 2019",5.32,5.47,5.22,5.44,121887313,583194524
77,"Jan 01, 2019",5.05,5.23,5.01,5.23,101629380,560395114
78,"Dec 31, 2018",5.32,5.32,4.98,5.05,99735815,541060545
79,"Dec 30, 2018",5.2,5.37,5.13,5.31,118057574,568817905
80,"Dec 29, 2018",5.32,5.45,5.16,5.19,137872770,556166967
81,"Dec 28, 2018",4.81,5.45,4.73,5.28,182310818,565570141
82,"Dec 27, 2018",5.52,5.73,4.74,4.82,249141104,515784786
83,"Dec 26, 2018",4.74,5.55,4.72,5.53,209148907,592202499
84,"Dec 25, 2018",5.15,5.15,4.54,4.73,170618977,506071537
85,"Dec 24, 2018",4.94,5.54,4.94,5.16,192486916,552174882
86,"Dec 23, 2018",4.71,5.0,4.68,4.95,152610338,529160939
87,"Dec 22, 2018",4.54,4.7,4.37,4.7,116468770,502311846
88,"Dec 21, 2018",4.79,4.87,4.54,4.55,149205559,486054112
89,"Dec 20, 2018",4.42,4.96,4.4,4.79,189562996,512332690
90,"Dec 19, 2018",4.23,4.76,4.18,4.42,151584656,472854188
91,"Dec 18, 2018",4.0,4.21,3.9,4.2,112062954,449091194
92,"Dec 17, 2018",3.63,4.12,3.63,4.01,111966937,427934454
93,"Dec 16, 2018",3.63,3.79,3.62,3.64,74065191,388750640
94,"Dec 15, 2018",3.73,3.74,3.55,3.64,77444858,388862660
95,"Dec 14, 2018",3.86,3.86,3.64,3.72,97721744,397174412
96,"Dec 13, 2018",3.91,3.95,3.77,3.88,103018928,413709343
97,"Dec 12, 2018",3.73,3.97,3.7,3.91,90010557,416744766
98,"Dec 11, 2018",3.9,4.13,3.72,3.74,110590535,399459236
99,"Dec 10, 2018",3.98,4.13,3.83,3.91,103578969,417272851
100,"Dec 09, 2018",3.85,4.24,3.85,4.0,124556605,426107667
101,"Dec 08, 2018",3.83,3.99,3.61,3.86,172036529,411493661
102,"Dec 07, 2018",3.52,3.98,3.32,3.84,257953590,409746021
103,"Dec 06, 2018",4.04,4.2,3.5,3.52,167476883,374775734
104,"Dec 05, 2018",4.43,4.49,4.03,4.03,146132326,429285710
105,"Dec 04, 2018",4.51,4.76,4.38,4.41,193022630,469711644
106,"Dec 03, 2018",5.17,5.19,4.5,4.51,190323995,480661858
107,"Dec 02, 2018",4.84,5.32,4.82,5.15,185846834,548592459
108,"Dec 01, 2018",4.61,4.96,4.49,4.85,182630934,516594797
109,"Nov 30, 2018",4.91,5.0,4.52,4.6,212580092,489683596
110,"Nov 29, 2018",5.01,5.08,4.79,4.93,229957883,524735425
111,"Nov 28, 2018",4.53,5.12,4.52,4.99,236086000,530683750
112,"Nov 27, 2018",4.3,4.62,4.21,4.53,152596000,481952499
113,"Nov 26, 2018",4.78,4.86,4.21,4.32,173389000,458881687
114,"Nov 25, 2018",4.77,4.87,4.25,4.76,214075000,506501656
115,"Nov 24, 2018",5.22,5.33,4.48,4.77,159911000,506535041
116,"Nov 23, 2018",5.32,5.39,5.02,5.21,190000000,553858530
117,"Nov 22, 2018",5.76,5.79,5.34,5.34,135517000,567281444
118,"Nov 21, 2018",5.52,5.87,5.33,5.75,182373000,610902295
119,"Nov 20, 2018",6.21,6.4,5.18,5.5,323667000,584279356
120,"Nov 19, 2018",7.45,7.46,6.12,6.2,241759000,657959854
121,"Nov 18, 2018",7.41,7.62,7.37,7.45,164022000,790573147
122,"Nov 17, 2018",7.47,7.51,7.34,7.39,149058000,783678160
123,"Nov 16, 2018",7.76,7.85,7.41,7.46,165776000,791353534
124,"Nov 15, 2018",7.93,7.93,7.18,7.72,285111000,819057445
125,"Nov 14, 2018",9.07,9.28,7.24,7.95,360972000,842751072
126,"Nov 13, 2018",9.18,9.2,9.03,9.08,130398000,962754877
127,"Nov 12, 2018",9.28,9.34,9.16,9.19,119261000,974477856
128,"Nov 11, 2018",9.45,9.46,9.1,9.26,148242000,981540556
