,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",6.53,6.53,6.37,6.44,95897,60607885
1,"Mar 18, 2019",6.51,6.69,6.47,6.53,107745,61405090
2,"Mar 17, 2019",6.58,6.62,6.38,6.51,101642,61184294
3,"Mar 16, 2019",6.6,6.82,6.56,6.56,53640,61733841
4,"Mar 15, 2019",6.44,6.63,6.44,6.61,42066,62195485
5,"Mar 14, 2019",6.5,6.58,6.41,6.47,85148,60875297
6,"Mar 13, 2019",6.5,6.75,6.39,6.53,115925,61391231
7,"Mar 12, 2019",6.56,6.56,6.29,6.49,145071,60991860
8,"Mar 11, 2019",6.57,6.62,6.38,6.55,95244,61593887
9,"Mar 10, 2019",6.6,6.61,6.25,6.54,92501,61435970
10,"Mar 09, 2019",6.19,6.64,6.1,6.59,152885,61894003
11,"Mar 08, 2019",6.33,6.34,6.14,6.2,72652,58217124
12,"Mar 07, 2019",6.29,6.39,6.19,6.33,42077,59474758
13,"Mar 06, 2019",6.15,6.35,6.11,6.32,76693,59375619
14,"Mar 05, 2019",5.9,6.37,5.86,6.16,137793,57822079
15,"Mar 04, 2019",6.09,6.15,5.71,5.9,59672,55385443
16,"Mar 03, 2019",5.86,6.13,5.81,6.1,82412,57303260
17,"Mar 02, 2019",6.17,6.24,5.6,5.85,357879,54961682
18,"Mar 01, 2019",6.31,6.37,6.17,6.19,56508,57276069
19,"Feb 28, 2019",6.3,6.43,6.22,6.32,40974,58471853
20,"Feb 27, 2019",6.5,6.58,6.17,6.3,80766,55052114
21,"Feb 26, 2019",6.61,6.66,6.3,6.49,149230,56777513
22,"Feb 25, 2019",6.5,6.71,6.5,6.65,74096,58131001
23,"Feb 24, 2019",6.91,7.5,6.44,6.52,227116,56998072
24,"Feb 23, 2019",6.8,6.99,6.62,6.91,32608,60402237
25,"Feb 22, 2019",6.48,7.11,6.44,6.81,189129,59529921
26,"Feb 21, 2019",6.89,6.97,6.4,6.49,155218,56739674
27,"Feb 20, 2019",6.37,7.13,6.31,6.89,261799,60242902
28,"Feb 19, 2019",6.28,6.49,6.15,6.38,91106,55782412
29,"Feb 18, 2019",6.05,6.46,6.01,6.27,123404,54822485
