,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",1.02,1.03,1.01,1.02,3018543,66238044
1,"Mar 18, 2019",1.01,1.02,1.01,1.02,3291212,66073318
2,"Mar 17, 2019",1.01,1.03,1.01,1.01,2962251,66610944
3,"Mar 16, 2019",1.02,1.03,1.01,1.01,2010211,66801759
4,"Mar 15, 2019",1.02,1.03,1.02,1.02,3549764,67244766
5,"Mar 14, 2019",1.02,1.03,1.02,1.02,3969757,67115809
6,"Mar 13, 2019",1.02,1.03,1.01,1.02,2889952,67392043
7,"Mar 12, 2019",1.01,1.03,1.01,1.02,3098766,72715309
8,"Mar 11, 2019",1.01,1.02,1.01,1.01,5362671,72208931
9,"Mar 10, 2019",1.01,1.02,1.01,1.01,6034743,72208850
10,"Mar 09, 2019",0.9973879999999999,1.01,0.992022,1.01,6265289,72118738
11,"Mar 08, 2019",1.0,1.01,0.9936290000000001,0.997495,5143653,71035281
12,"Mar 07, 2019",1.0,1.01,0.99951,1.0,3691717,71402478
13,"Mar 06, 2019",1.0,1.02,0.9979180000000001,1.0,4460770,71432461
14,"Mar 05, 2019",0.996253,1.01,0.9941190000000001,1.01,4411747,71632036
15,"Mar 04, 2019",0.992915,0.999892,0.991189,0.997,5179129,71000013
16,"Mar 03, 2019",0.997856,1.0,0.9926729999999999,0.994303,4204808,70807987
17,"Mar 02, 2019",0.99703,1.0,0.9920100000000001,0.998659,3225965,71118209
18,"Mar 01, 2019",0.9970040000000001,1.01,0.994207,0.998187,2866103,69836383
19,"Feb 28, 2019",1.01,1.02,0.9898030000000001,0.995813,4686822,69909113
20,"Feb 27, 2019",0.9997,1.02,0.994611,1.01,15653895,73821887
21,"Feb 26, 2019",0.9991129999999999,1.02,0.9922790000000001,1.0,4140436,75435491
22,"Feb 25, 2019",0.9859680000000001,1.01,0.981607,1.0,6206028,75512314
23,"Feb 24, 2019",1.01,1.01,0.985002,0.987191,14004556,74715205
24,"Feb 23, 2019",1.01,1.01,1.0,1.01,5570707,76080084
25,"Feb 22, 2019",1.01,1.02,1.0,1.01,4025979,77403789
26,"Feb 21, 2019",1.01,1.01,0.992049,1.01,6475605,77580550
27,"Feb 20, 2019",1.0,1.03,0.995958,1.01,249473434,77807906
28,"Feb 19, 2019",1.04,1.05,1.0,1.0,46705664,77472252
29,"Feb 18, 2019",1.01,1.05,1.01,1.04,48865720,78826360
30,"Feb 17, 2019",1.01,1.02,1.0,1.01,62583366,79370846
31,"Feb 16, 2019",1.01,1.02,1.0,1.01,40995506,78937130
32,"Feb 15, 2019",1.01,1.02,1.0,1.01,38731876,78925980
33,"Feb 14, 2019",1.01,1.01,1.0,1.01,57300153,81563367
34,"Feb 13, 2019",1.02,1.03,1.01,1.01,33344549,82100443
35,"Feb 12, 2019",1.0,1.15,1.0,1.02,21448468,83245532
36,"Feb 11, 2019",1.02,1.02,1.0,1.01,28426402,83014607
37,"Feb 10, 2019",1.01,1.03,1.0,1.02,19926525,85933544
38,"Feb 09, 2019",1.02,1.02,1.0,1.01,35712157,85423956
39,"Feb 08, 2019",1.0,1.05,0.99965,1.02,17795641,84649930
40,"Feb 07, 2019",1.01,1.03,0.9978229999999999,1.0,24843959,83550277
41,"Feb 06, 2019",0.999683,1.02,0.987359,1.01,28959905,87238179
42,"Feb 05, 2019",1.0,1.01,0.995785,0.999417,24244552,87217442
43,"Feb 04, 2019",1.01,1.01,0.999886,1.0,16281674,87840247
44,"Feb 03, 2019",1.01,1.01,0.995526,1.01,27421433,89558229
45,"Feb 02, 2019",1.01,1.02,1.01,1.01,28997238,89707145
46,"Feb 01, 2019",1.01,1.02,1.0,1.01,28703574,90125021
47,"Jan 31, 2019",1.01,1.02,1.0,1.01,28158979,90252414
48,"Jan 30, 2019",1.01,1.03,1.0,1.01,17931279,91483965
49,"Jan 29, 2019",1.01,1.03,1.0,1.0,13296181,91127498
50,"Jan 28, 2019",0.998065,1.01,0.994814,1.01,20335861,93340326
51,"Jan 27, 2019",1.0,1.01,0.9913569999999999,0.998283,18244961,95016931
52,"Jan 26, 2019",1.02,1.02,0.9972409999999999,1.0,44626902,95268204
53,"Jan 25, 2019",1.02,1.03,1.01,1.01,35266034,93403166
54,"Jan 24, 2019",1.01,1.02,1.01,1.01,32123638,93848846
55,"Jan 23, 2019",1.01,1.02,1.0,1.01,56557708,93240035
56,"Jan 22, 2019",1.01,1.02,1.0,1.01,159060131,93914994
57,"Jan 21, 2019",1.01,1.02,0.997818,1.01,141222393,91704363
58,"Jan 20, 2019",1.01,1.01,0.996677,1.01,138846712,92891024
59,"Jan 19, 2019",1.0,1.01,0.998075,1.01,247399453,92808627
60,"Jan 18, 2019",1.01,1.01,0.998569,1.0,126010314,92585089
61,"Jan 17, 2019",1.0,1.01,0.9987030000000001,1.01,145955547,88279703
62,"Jan 16, 2019",1.0,1.01,0.9961639999999999,1.01,137569555,86250513
63,"Jan 15, 2019",1.01,1.01,0.9926,1.0,150992160,86612318
64,"Jan 14, 2019",1.0,1.02,0.99761,1.01,140490714,87749569
65,"Jan 13, 2019",0.989369,1.01,0.980916,1.0,155488795,87026150
66,"Jan 12, 2019",1.0,1.0,0.9893360000000001,0.9899,143620326,85973736
67,"Jan 11, 2019",1.0,1.0,0.99269,1.0,141469336,87186120
68,"Jan 10, 2019",0.9977520000000001,1.0,0.978823,1.0,137067175,87650600
69,"Jan 09, 2019",0.999764,1.0,0.990347,0.996858,110140061,90096220
70,"Jan 08, 2019",0.9942709999999999,1.0,0.987102,0.999225,120496639,85059990
71,"Jan 07, 2019",1.01,1.01,0.991252,0.993792,118527238,85555281
72,"Jan 06, 2019",1.0,1.02,0.9958790000000001,1.01,26096099,90731782
73,"Jan 05, 2019",1.0,1.02,0.998125,1.0,25877783,90288416
74,"Jan 04, 2019",1.01,1.02,0.998577,1.0,27171931,90678488
75,"Jan 03, 2019",1.01,1.02,1.01,1.01,26717362,91562811
76,"Jan 02, 2019",1.01,1.01,1.0,1.01,24263840,93253979
77,"Jan 01, 2019",1.0,1.01,0.9958370000000001,1.01,32191132,92881901
78,"Dec 31, 2018",1.01,1.01,0.9959049999999999,1.0,19548793,91156559
79,"Dec 30, 2018",1.01,1.02,1.0,1.01,25242396,93103251
80,"Dec 29, 2018",1.02,1.04,1.01,1.01,45384295,91573654
81,"Dec 28, 2018",1.0,1.02,0.9992040000000001,1.01,16150990,92638076
82,"Dec 27, 2018",1.01,1.01,0.9919680000000001,1.0,23070564,91331903
83,"Dec 26, 2018",1.01,1.03,1.0,1.01,20431776,89547039
84,"Dec 25, 2018",1.01,1.02,0.992186,1.01,31831491,91439555
85,"Dec 24, 2018",1.01,1.04,0.995082,1.0,35199801,90633798
86,"Dec 23, 2018",1.01,1.02,1.0,1.01,28709170,90170335
87,"Dec 22, 2018",1.0,1.02,1.0,1.01,18879709,90980296
88,"Dec 21, 2018",1.01,1.02,0.9990610000000001,1.01,38171374,89200154
89,"Dec 20, 2018",1.02,1.12,1.01,1.02,35741018,94712470
90,"Dec 19, 2018",1.13,1.15,1.01,1.02,38793127,98161527
91,"Dec 18, 2018",1.08,1.13,0.995791,1.13,35859122,100892502
