,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",2.01,2.41,1.99,2.36,84705539,117876212
1,"Mar 18, 2019",2.06,2.08,1.98,2.01,33436041,100667993
2,"Mar 17, 2019",2.11,2.11,2.03,2.05,27685484,102738709
3,"Mar 16, 2019",2.03,2.12,2.01,2.11,47454236,105626126
4,"Mar 15, 2019",1.82,2.0,1.81,2.0,43907982,100111838
5,"Mar 14, 2019",1.83,1.83,1.79,1.82,23559986,90985297
6,"Mar 13, 2019",1.87,1.87,1.8,1.83,27901650,91420751
7,"Mar 12, 2019",1.73,1.87,1.65,1.87,47863237,93441547
8,"Mar 11, 2019",1.83,1.86,1.73,1.73,29850467,86310199
9,"Mar 10, 2019",1.87,1.88,1.8,1.84,28176797,91780086
10,"Mar 09, 2019",1.82,1.91,1.75,1.86,38476936,93145116
11,"Mar 08, 2019",1.93,1.97,1.73,1.81,69569387,90683448
12,"Mar 07, 2019",1.73,1.99,1.69,1.93,101683286,96702842
13,"Mar 06, 2019",1.55,1.72,1.49,1.72,38889674,86225783
14,"Mar 05, 2019",1.32,1.56,1.32,1.55,40758477,77538694
15,"Mar 04, 2019",1.35,1.36,1.28,1.32,20119189,66226224
16,"Mar 03, 2019",1.4,1.4,1.35,1.36,10227713,67785611
17,"Mar 02, 2019",1.4,1.44,1.32,1.39,20880534,69671205
18,"Mar 01, 2019",1.21,1.47,1.21,1.41,33158372,70277793
19,"Feb 28, 2019",1.16,1.23,1.16,1.21,14216563,60434063
20,"Feb 27, 2019",1.17,1.18,1.15,1.16,8910494,58021904
21,"Feb 26, 2019",1.19,1.19,1.15,1.16,8504766,58217340
22,"Feb 25, 2019",1.16,1.21,1.15,1.19,13310673,59388341
23,"Feb 24, 2019",1.28,1.29,1.13,1.15,21515528,57630534
24,"Feb 23, 2019",1.26,1.29,1.22,1.28,13463597,64015470
25,"Feb 22, 2019",1.24,1.28,1.23,1.26,11158697,63194968
26,"Feb 21, 2019",1.29,1.29,1.2,1.24,15347016,61878364
27,"Feb 20, 2019",1.21,1.3,1.19,1.29,16775587,64636244
28,"Feb 19, 2019",1.17,1.25,1.17,1.21,16586190,60608590
29,"Feb 18, 2019",1.09,1.19,1.09,1.17,13614095,58515367
30,"Feb 17, 2019",1.1,1.11,1.07,1.09,5681852,54430708
31,"Feb 16, 2019",1.1,1.12,1.1,1.1,3687481,55143464
32,"Feb 15, 2019",1.11,1.13,1.09,1.1,7303656,55100830
33,"Feb 14, 2019",1.13,1.13,1.09,1.11,5461017,55341522
34,"Feb 13, 2019",1.17,1.17,1.11,1.12,10415579,56240302
35,"Feb 12, 2019",1.1,1.19,1.08,1.17,15037636,58743815
36,"Feb 11, 2019",1.03,1.16,1.01,1.1,17562326,55173209
37,"Feb 10, 2019",1.0,1.05,0.9995459999999999,1.03,9037273,51566864
38,"Feb 09, 2019",0.995317,1.03,0.975094,1.0,6302328,50014852
39,"Feb 08, 2019",0.9352030000000001,0.999808,0.9249360000000001,0.9939309999999999,11581344,49696760
40,"Feb 07, 2019",0.941398,0.971095,0.9339139999999999,0.9339940000000001,7234956,46699888
41,"Feb 06, 2019",0.93305,0.94314,0.914792,0.940638,5930709,47032068
42,"Feb 05, 2019",0.930333,0.934991,0.926594,0.9315459999999999,7074536,46577463
43,"Feb 04, 2019",0.934226,0.941815,0.930301,0.932356,7036649,46618002
44,"Feb 03, 2019",0.9625440000000001,0.9625440000000001,0.930299,0.9333299999999999,6751265,46666665
45,"Feb 02, 2019",0.9372790000000001,0.9637629999999999,0.935699,0.9632629999999999,3788856,48163339
46,"Feb 01, 2019",0.935908,0.9449709999999999,0.9168649999999999,0.9383540000000001,4130370,46917872
47,"Jan 31, 2019",0.9536040000000001,0.9600879999999999,0.928434,0.934199,5184304,46710150
48,"Jan 30, 2019",0.918322,0.981216,0.890308,0.954153,11943341,47707861
49,"Jan 29, 2019",0.925083,0.9327989999999999,0.9062020000000001,0.918539,10974507,45927127
50,"Jan 28, 2019",1.04,1.04,0.906586,0.9239569999999999,26309469,46198041
51,"Jan 27, 2019",1.05,1.05,1.03,1.04,7476724,51923934
52,"Jan 26, 2019",1.05,1.06,1.04,1.05,10101839,52413880
53,"Jan 25, 2019",1.05,1.06,1.04,1.06,9397946,52801167
54,"Jan 24, 2019",1.05,1.06,1.04,1.05,7744938,52581685
55,"Jan 23, 2019",1.06,1.06,1.05,1.05,4782344,52374849
56,"Jan 22, 2019",1.05,1.06,1.04,1.06,6210098,52848814
57,"Jan 21, 2019",1.05,1.06,1.04,1.05,5404058,52666408
58,"Jan 20, 2019",1.06,1.07,1.04,1.06,8606231,52844355
59,"Jan 19, 2019",1.06,1.07,1.06,1.06,6701445,52911290
60,"Jan 18, 2019",1.06,1.07,1.06,1.06,4540372,53185070
61,"Jan 17, 2019",1.07,1.07,1.05,1.06,3068648,53176567
62,"Jan 16, 2019",1.06,1.07,1.05,1.07,7712598,53280563
63,"Jan 15, 2019",1.06,1.07,1.06,1.06,5508169,52957050
64,"Jan 14, 2019",1.06,1.07,1.05,1.06,7496544,53186363
65,"Jan 13, 2019",1.07,1.08,1.05,1.06,6184851,52860908
66,"Jan 12, 2019",1.06,1.1,1.05,1.07,9452071,53628197
67,"Jan 11, 2019",1.04,1.07,1.04,1.06,7939167,53061200
68,"Jan 10, 2019",1.12,1.13,1.04,1.04,18109069,52209739
69,"Jan 09, 2019",1.11,1.14,1.1,1.12,9715412,55857202
70,"Jan 08, 2019",1.1,1.12,1.09,1.11,7672553,55388706
71,"Jan 07, 2019",1.12,1.12,1.09,1.1,9852807,54851880
72,"Jan 06, 2019",1.09,1.13,1.08,1.12,11066908,55958841
73,"Jan 05, 2019",1.09,1.13,1.09,1.09,12010538,54711985
74,"Jan 04, 2019",1.09,1.11,1.07,1.09,11248630,54664240
75,"Jan 03, 2019",1.15,1.15,1.09,1.09,18677531,54624223
76,"Jan 02, 2019",1.11,1.16,1.1,1.16,39112912,57809725
77,"Jan 01, 2019",1.07,1.13,1.07,1.11,31847691,55484821
78,"Dec 31, 2018",1.1,1.1,1.07,1.07,31806420,53712279
79,"Dec 30, 2018",1.1,1.11,1.09,1.1,31406726,54963280
80,"Dec 29, 2018",1.12,1.14,1.09,1.09,21818945,54618749
81,"Dec 28, 2018",1.07,1.12,1.07,1.11,23735822,55676871
82,"Dec 27, 2018",1.1,1.12,1.06,1.07,15372089,53430031
83,"Dec 26, 2018",1.1,1.13,1.08,1.1,15547797,55141436
84,"Dec 25, 2018",1.18,1.18,1.07,1.11,19364998,55320969
85,"Dec 24, 2018",1.22,1.32,1.18,1.19,28207083,59261043
86,"Dec 23, 2018",1.23,1.26,1.21,1.22,13813721,60988476
87,"Dec 22, 2018",1.16,1.25,1.15,1.22,15645142,61207497
88,"Dec 21, 2018",1.2,1.24,1.13,1.16,22529578,58078443
89,"Dec 20, 2018",1.14,1.21,1.13,1.2,17507528,59803971
90,"Dec 19, 2018",1.15,1.21,1.13,1.14,18074934,57018666
91,"Dec 18, 2018",1.12,1.15,1.08,1.14,10967255,57000118
92,"Dec 17, 2018",1.05,1.14,1.05,1.12,9421699,56170190
93,"Dec 16, 2018",1.05,1.07,1.05,1.05,4028219,52663924
94,"Dec 15, 2018",1.06,1.07,1.04,1.05,3234031,52738071
95,"Dec 14, 2018",1.07,1.07,1.04,1.05,4360512,52749424
96,"Dec 13, 2018",1.11,1.11,1.06,1.07,3916597,53380618
97,"Dec 12, 2018",1.09,1.13,1.08,1.11,8337069,55373637
98,"Dec 11, 2018",1.11,1.11,1.07,1.09,11735959,54334375
99,"Dec 10, 2018",1.12,1.14,1.11,1.11,12865467,55682002
100,"Dec 09, 2018",1.12,1.16,1.1,1.12,13057210,56114354
101,"Dec 08, 2018",1.15,1.16,1.07,1.11,11262368,55726734
102,"Dec 07, 2018",1.14,1.18,1.04,1.15,23512658,57597087
103,"Dec 06, 2018",1.16,1.23,1.14,1.14,15852816,57241189
104,"Dec 05, 2018",1.27,1.28,1.15,1.15,11990319,57429647
105,"Dec 04, 2018",1.26,1.29,1.22,1.27,14271270,63374788
106,"Dec 03, 2018",1.23,1.34,1.18,1.26,26455314,63139114
107,"Dec 02, 2018",1.17,1.29,1.17,1.22,19960249,60967689
108,"Dec 01, 2018",1.08,1.21,1.07,1.18,10808145,59023160
109,"Nov 30, 2018",1.12,1.14,1.05,1.08,7961728,53991161
110,"Nov 29, 2018",1.12,1.17,1.1,1.12,13113011,56214318
111,"Nov 28, 2018",1.07,1.16,1.07,1.13,14670700,56731227
112,"Nov 27, 2018",1.06,1.07,1.02,1.07,8350700,53432214
113,"Nov 26, 2018",1.09,1.12,1.03,1.06,16250000,52942212
114,"Nov 25, 2018",1.1,1.11,1.02,1.1,17191200,54980220
115,"Nov 24, 2018",1.16,1.2,1.06,1.1,16970200,55196221
116,"Nov 23, 2018",1.17,1.19,1.14,1.16,11447800,58075732
117,"Nov 22, 2018",1.26,1.26,1.18,1.18,10323200,58832735
118,"Nov 21, 2018",1.22,1.27,1.19,1.26,17398400,63067752
119,"Nov 20, 2018",1.33,1.36,1.13,1.21,28585100,60515742
120,"Nov 19, 2018",1.47,1.47,1.31,1.35,24968900,67315769
121,"Nov 18, 2018",1.32,1.5,1.32,1.47,22445800,73512294
122,"Nov 17, 2018",1.3,1.34,1.29,1.32,8489990,65935264
123,"Nov 16, 2018",1.31,1.32,1.27,1.29,7706320,64717259
124,"Nov 15, 2018",1.35,1.37,1.21,1.31,15624500,65548262
125,"Nov 14, 2018",1.5,1.51,1.29,1.35,21031300,67343769
126,"Nov 13, 2018",1.55,1.55,1.48,1.5,6837060,75040800
127,"Nov 12, 2018",1.57,1.58,1.54,1.55,5426620,77485810
128,"Nov 11, 2018",1.58,1.61,1.56,1.58,5094770,78815315
129,"Nov 10, 2018",1.55,1.59,1.55,1.58,4596910,79146317
130,"Nov 09, 2018",1.59,1.6,1.55,1.55,7370840,77549310
131,"Nov 08, 2018",1.59,1.65,1.56,1.59,17127300,79744319
132,"Nov 07, 2018",1.59,1.61,1.57,1.59,8959490,79490318
133,"Nov 06, 2018",1.54,1.59,1.53,1.59,10368900,79458318
134,"Nov 05, 2018",1.51,1.55,1.51,1.54,6448870,76893308
135,"Nov 04, 2018",1.52,1.53,1.51,1.52,6001990,75989304
136,"Nov 03, 2018",1.53,1.53,1.5,1.52,4128380,76064304
137,"Nov 02, 2018",1.53,1.54,1.51,1.53,6061630,76515306
138,"Nov 01, 2018",1.51,1.58,1.5,1.53,4866830,76467306
139,"Oct 31, 2018",1.52,1.52,1.49,1.5,4049710,75219801
140,"Oct 30, 2018",1.51,1.52,1.5,1.52,5070680,75910804
141,"Oct 29, 2018",1.6,1.6,1.5,1.51,8423700,75497302
