,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",698.84,716.31,693.22,705.72,1782303,705719245
1,"Mar 18, 2019",697.39,716.15,688.58,699.55,1665733,699552201
2,"Mar 17, 2019",698.07,714.79,679.51,696.15,1140519,696154122
3,"Mar 16, 2019",678.27,707.8,675.48,695.12,1433425,695121709
4,"Mar 15, 2019",646.69,683.31,646.08,682.41,1442793,682414787
5,"Mar 14, 2019",643.79,653.72,636.22,649.63,1400109,649630179
6,"Mar 13, 2019",660.12,667.79,636.72,644.05,1203213,644045749
7,"Mar 12, 2019",660.1,662.66,644.45,659.77,1238630,659765661
8,"Mar 11, 2019",647.96,663.29,644.89,657.61,1046398,657605622
9,"Mar 10, 2019",649.34,659.49,635.49,647.82,898739,647820054
10,"Mar 09, 2019",657.84,673.92,636.44,650.78,1497538,650777180
11,"Mar 08, 2019",682.19,689.14,656.35,659.93,1142136,659932598
12,"Mar 07, 2019",682.09,689.32,671.79,685.27,1466560,685266256
13,"Mar 06, 2019",685.68,688.97,667.5,677.52,1279850,677515627
14,"Mar 05, 2019",626.87,687.36,614.78,685.38,1556739,685379445
15,"Mar 04, 2019",669.27,674.0,615.92,624.07,1408120,624069116
16,"Mar 03, 2019",684.67,689.99,656.21,661.23,1055971,661231892
17,"Mar 02, 2019",669.68,704.55,667.15,679.77,1143227,679767538
18,"Mar 01, 2019",674.82,688.12,662.36,667.27,1240838,667265226
19,"Feb 28, 2019",643.35,686.01,643.35,674.74,1230041,674741787
20,"Feb 27, 2019",684.79,684.79,625.37,643.31,1574087,643312761
21,"Feb 26, 2019",668.33,685.94,663.61,684.86,1989104,684855184
22,"Feb 25, 2019",655.42,686.45,655.42,669.08,1749508,669079104
23,"Feb 24, 2019",734.75,773.84,661.22,661.22,2142918,661217941
24,"Feb 23, 2019",662.38,739.23,658.09,737.6,2469327,737599379
25,"Feb 22, 2019",639.56,668.92,635.26,665.8,1584472,665798408
26,"Feb 21, 2019",658.82,665.35,636.5,636.5,1474924,636502901
27,"Feb 20, 2019",628.83,663.54,619.56,658.89,1612600,658892885
28,"Feb 19, 2019",573.41,632.14,565.19,632.14,2015073,632143351
29,"Feb 18, 2019",539.44,579.56,535.46,575.37,1759217,575373483
30,"Feb 17, 2019",507.54,539.04,499.92,536.37,1092197,536371151
31,"Feb 16, 2019",496.89,527.65,496.44,503.75,1339904,503746410
32,"Feb 15, 2019",516.74,539.57,494.19,496.8,2061584,496801166
33,"Feb 14, 2019",553.92,556.47,515.18,517.8,1560712,517803256
34,"Feb 13, 2019",505.58,555.64,502.82,551.88,2361905,551876775
35,"Feb 12, 2019",491.21,505.02,476.94,505.02,1476367,505020330
36,"Feb 11, 2019",461.48,493.48,456.6,493.48,1140114,493475181
37,"Feb 10, 2019",450.21,468.39,445.8,461.14,460412,461136027
38,"Feb 09, 2019",438.31,450.25,435.18,449.72,325740,449721338
39,"Feb 08, 2019",400.38,439.55,398.16,438.18,773700,319093969
40,"Feb 07, 2019",399.28,415.1,390.16,401.87,698240,292652246
41,"Feb 06, 2019",392.37,423.6,385.48,397.73,388334,289640364
42,"Feb 05, 2019",406.89,447.68,388.03,392.13,758679,285556603
43,"Feb 04, 2019",369.93,460.14,366.65,407.62,703707,296842709
44,"Feb 03, 2019",372.95,381.44,363.33,376.85,381244,274435056
45,"Feb 02, 2019",371.98,382.42,365.01,380.96,712906,277427317
46,"Feb 01, 2019",371.07,381.14,363.66,369.97,838721,269420070
47,"Jan 31, 2019",379.21,464.34,359.15,369.28,2093187,268918524
48,"Jan 30, 2019",392.22,402.79,363.4,379.24,2381289,276171125
49,"Jan 29, 2019",401.5,402.84,383.43,393.87,1164212,286824823
50,"Jan 28, 2019",433.18,434.32,356.45,398.57,927284,290250826
51,"Jan 27, 2019",450.52,467.18,432.44,433.03,6000950,315345642
52,"Jan 26, 2019",469.22,473.0,441.74,449.93,47978980,327650905
53,"Jan 25, 2019",473.56,484.81,463.46,469.1,29796841,341611137
54,"Jan 24, 2019",459.2,476.5,454.12,472.46,17101342,344056598
55,"Jan 23, 2019",454.55,464.03,451.6,459.05,16066140,334295653
56,"Jan 22, 2019",429.71,454.62,429.3,453.68,4290642,330383708
57,"Jan 21, 2019",452.62,452.64,428.49,429.87,6787634,313040054
58,"Jan 20, 2019",470.52,477.96,443.82,447.16,285725,325636995
59,"Jan 19, 2019",456.18,478.61,454.27,470.84,476594,342882055
60,"Jan 18, 2019",460.71,464.98,446.17,455.09,523895,331411590
61,"Jan 17, 2019",446.74,466.49,438.33,461.28,760109,335919514
62,"Jan 16, 2019",429.41,459.45,428.14,447.05,1169597,325556131
63,"Jan 15, 2019",463.83,467.99,423.62,426.42,1228417,310529167
64,"Jan 14, 2019",422.51,467.63,349.0,464.07,430134,337951853
65,"Jan 13, 2019",435.82,439.9,419.55,423.07,229375,308094622
66,"Jan 12, 2019",436.38,447.07,430.7,434.63,255676,316509191
67,"Jan 11, 2019",435.65,444.96,418.66,435.95,216642,317472269
68,"Jan 10, 2019",492.59,497.84,428.36,437.56,406264,318642020
69,"Jan 09, 2019",489.33,500.21,475.15,492.54,89883,358682398
70,"Jan 08, 2019",492.38,500.67,396.1,489.26,268384,356292880
71,"Jan 07, 2019",521.66,524.31,486.46,492.7,467088,358796725
72,"Jan 06, 2019",508.38,521.43,505.15,521.43,397424,379720591
73,"Jan 05, 2019",497.84,513.32,497.84,508.89,259532,370589251
74,"Jan 04, 2019",499.93,506.72,476.24,498.49,222554,363017440
75,"Jan 03, 2019",496.81,503.16,472.3,501.96,286370,365544044
76,"Jan 02, 2019",462.15,500.23,459.51,496.91,516680,361862964
77,"Jan 01, 2019",448.21,463.01,439.26,461.39,258609,336000438
78,"Dec 31, 2018",477.62,477.86,450.18,453.98,139080,330600519
79,"Dec 30, 2018",471.69,481.59,452.02,477.15,341698,347476493
80,"Dec 29, 2018",483.21,497.99,466.76,471.33,303075,343236124
81,"Dec 28, 2018",436.39,482.31,434.43,482.31,219740,351231704
82,"Dec 27, 2018",444.26,463.65,435.04,436.37,226902,317777806
83,"Dec 26, 2018",453.48,476.69,424.27,444.14,323363,323432948
