,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",149.14,153.05,149.11,150.23,349576,65106762
1,"Mar 18, 2019",147.73,151.3,147.61,149.39,318079,64739313
2,"Mar 17, 2019",221.11,284.01,147.59,147.79,354199,64038846
3,"Mar 16, 2019",147.4,649.52,146.97,221.54,553275,95992185
4,"Mar 15, 2019",141.61,148.09,141.42,147.29,524870,63807677
5,"Mar 14, 2019",141.5,143.55,140.53,141.53,495635,61309916
6,"Mar 13, 2019",143.76,144.44,140.45,141.58,236236,61328513
7,"Mar 12, 2019",139.94,145.25,136.85,143.3,461705,62024020
8,"Mar 11, 2019",147.27,147.81,137.93,139.83,632431,60525945
9,"Mar 10, 2019",143.61,150.06,143.24,147.23,589802,63727722
10,"Mar 09, 2019",143.2,149.2,142.46,143.31,506689,62032295
11,"Mar 08, 2019",147.53,149.09,142.54,142.86,545559,61834705
12,"Mar 07, 2019",146.76,151.1,142.56,147.1,302677,63673090
13,"Mar 06, 2019",148.67,152.33,145.21,147.04,192520,63645615
14,"Mar 05, 2019",138.32,148.88,133.8,147.2,264055,63712335
15,"Mar 04, 2019",146.51,146.98,133.78,135.19,266581,58517480
16,"Mar 03, 2019",142.6,146.54,142.59,146.54,306150,63427775
17,"Mar 02, 2019",142.52,144.65,140.99,143.31,334922,62031985
18,"Mar 01, 2019",146.67,146.9,140.3,142.39,248868,62877256
19,"Feb 28, 2019",143.99,149.08,140.84,146.73,281945,64795003
20,"Feb 27, 2019",139.46,149.75,138.26,143.95,322645,69318322
21,"Feb 26, 2019",140.68,143.74,136.18,139.24,199232,67028019
22,"Feb 25, 2019",138.97,147.22,132.76,140.95,401553,67619207
23,"Feb 24, 2019",162.72,169.36,131.11,139.37,408815,66653865
24,"Feb 23, 2019",154.92,164.28,154.12,163.63,242872,76598461
25,"Feb 22, 2019",146.65,154.78,133.66,154.58,269621,71178101
26,"Feb 21, 2019",152.12,152.44,142.37,146.05,287178,65773217
27,"Feb 20, 2019",150.01,152.16,142.95,152.16,344943,68523217
28,"Feb 19, 2019",143.41,152.06,143.41,149.74,358382,67431449
29,"Feb 18, 2019",124.8,144.56,124.51,142.46,298686,64094084
30,"Feb 17, 2019",120.43,125.37,118.36,124.77,390489,56075173
31,"Feb 16, 2019",113.98,122.32,113.85,119.05,435566,53504248
32,"Feb 15, 2019",115.18,120.39,111.73,114.69,302491,51534989
33,"Feb 14, 2019",119.78,120.96,111.61,114.86,162813,51595894
34,"Feb 13, 2019",118.0,120.82,111.06,120.43,199251,54095413
35,"Feb 12, 2019",108.33,120.26,107.94,118.59,143956,53253626
36,"Feb 11, 2019",105.13,114.09,102.57,108.24,91004,48597797
37,"Feb 10, 2019",106.02,106.75,100.69,104.96,276111,47122688
38,"Feb 09, 2019",102.62,106.15,101.59,105.95,237953,47568266
39,"Feb 08, 2019",94.22,104.2,93.64,102.52,149792,46026321
40,"Feb 07, 2019",94.44,94.97,93.44,94.17,122012,42279549
41,"Feb 06, 2019",96.46,96.82,93.51,94.37,124674,42370571
42,"Feb 05, 2019",95.7,98.76,95.27,96.29,104021,43229592
43,"Feb 04, 2019",94.88,96.47,94.83,95.63,103292,42767498
44,"Feb 03, 2019",95.04,97.13,94.45,94.82,94406,42406336
45,"Feb 02, 2019",93.97,97.71,93.65,95.2,78868,42573890
46,"Feb 01, 2019",93.66,95.07,91.8,94.07,369395,42068268
47,"Jan 31, 2019",93.13,94.1,92.36,93.92,1338817,41999914
48,"Jan 30, 2019",93.1,94.34,91.46,93.96,570890,42015634
49,"Jan 29, 2019",96.05,96.69,85.23,93.21,325163,41679170
50,"Jan 28, 2019",98.97,99.6,84.56,96.07,18226,42957591
51,"Jan 27, 2019",100.89,102.05,96.45,98.98,3740,44256668
52,"Jan 26, 2019",108.51,108.61,98.09,101.02,5980,45166740
53,"Jan 25, 2019",103.65,109.34,97.33,108.54,32056,48529888
54,"Jan 24, 2019",103.46,108.92,97.62,103.44,5116,46248337
55,"Jan 23, 2019",117.83,122.63,97.21,113.43,30691,50717016
56,"Jan 22, 2019",116.65,120.96,107.67,117.88,11447,52628464
57,"Jan 21, 2019",99.95,140.16,99.01,116.68,96637,52085335
58,"Jan 20, 2019",103.98,106.56,98.14,99.68,7530,44482970
59,"Jan 19, 2019",100.4,104.94,100.37,104.08,18834,46446744
60,"Jan 18, 2019",100.73,101.62,98.16,100.5,17686,44852653
61,"Jan 17, 2019",97.16,100.39,91.62,100.06,12066,44649782
62,"Jan 16, 2019",95.88,100.17,95.54,97.22,1574,43385734
63,"Jan 15, 2019",99.04,99.56,95.2,95.93,2922,42804255
64,"Jan 14, 2019",92.45,99.49,91.67,99.15,13781,44242197
