,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",53.47,55.15,53.35,54.75,99715349,923303556
1,"Mar 18, 2019",53.59,54.0,52.7,53.49,116998432,901892931
2,"Mar 17, 2019",54.71,54.81,52.65,53.54,117829194,902585867
3,"Mar 16, 2019",53.56,55.37,53.56,54.64,201675917,921004516
4,"Mar 15, 2019",52.36,53.65,52.26,53.61,62767951,903543028
5,"Mar 14, 2019",52.05,52.92,51.65,52.35,63362753,882322576
6,"Mar 13, 2019",51.48,52.33,51.29,52.04,52938688,876916617
7,"Mar 12, 2019",50.3,51.47,49.49,51.47,60080877,867231672
8,"Mar 11, 2019",50.89,50.97,49.38,50.24,72591315,846267215
9,"Mar 10, 2019",50.88,51.01,50.4,50.95,65452521,858202872
10,"Mar 09, 2019",49.98,51.4,49.82,50.79,65485381,855474088
11,"Mar 08, 2019",51.24,51.38,49.6,50.02,74197398,842429743
12,"Mar 07, 2019",50.93,52.1,50.93,51.03,74428190,859336369
13,"Mar 06, 2019",50.59,50.9,49.58,50.85,72310829,856197377
14,"Mar 05, 2019",48.5,50.62,47.94,50.55,72757860,851030427
15,"Mar 04, 2019",50.12,50.46,47.17,48.49,68874657,816321458
16,"Mar 03, 2019",49.95,50.27,49.46,50.11,67035491,843385248
17,"Mar 02, 2019",49.6,50.06,49.12,49.98,63274675,841185581
18,"Mar 01, 2019",49.12,50.16,48.99,49.56,67173812,833981003
19,"Feb 28, 2019",49.9,50.21,49.04,49.12,69184623,826452334
20,"Feb 27, 2019",49.64,50.0,48.73,49.99,71709284,840927319
21,"Feb 26, 2019",50.1,50.1,49.05,49.41,69794817,831009502
22,"Feb 25, 2019",48.88,50.19,48.7,50.08,70386153,842219065
23,"Feb 24, 2019",53.69,56.83,49.01,49.01,63487790,824146428
24,"Feb 23, 2019",52.62,53.82,51.92,53.81,74715381,904789935
25,"Feb 22, 2019",50.34,52.71,50.34,52.64,67853125,884989938
26,"Feb 21, 2019",52.32,52.32,50.15,50.44,62868852,847771536
27,"Feb 20, 2019",52.25,52.64,50.86,52.11,62975748,875814899
28,"Feb 19, 2019",51.68,53.6,51.49,52.33,60939332,879340059
29,"Feb 18, 2019",48.01,52.23,48.01,51.69,59009590,868564574
30,"Feb 17, 2019",46.87,48.13,46.76,48.07,50287822,807554571
31,"Feb 16, 2019",47.4,48.44,46.77,46.92,47450869,788079701
32,"Feb 15, 2019",46.82,48.65,46.59,47.44,52421972,796744407
33,"Feb 14, 2019",49.32,49.64,46.3,46.86,59162579,786960327
34,"Feb 13, 2019",49.05,50.74,48.82,49.33,59844237,828292669
35,"Feb 12, 2019",48.23,49.41,47.46,49.05,52799179,823516951
36,"Feb 11, 2019",49.91,49.91,47.4,48.27,52414292,810293546
37,"Feb 10, 2019",48.59,49.83,47.24,49.83,52351662,836265589
38,"Feb 09, 2019",48.27,48.76,47.93,48.56,52421774,814857085
39,"Feb 08, 2019",43.25,49.55,43.12,48.12,58034756,807372051
40,"Feb 07, 2019",43.15,43.78,43.06,43.21,46417590,724980002
41,"Feb 06, 2019",43.37,43.37,42.41,43.14,48141805,723735081
42,"Feb 05, 2019",42.72,43.47,42.72,43.34,45555506,726863021
43,"Feb 04, 2019",42.97,43.11,42.15,42.8,44862786,717705755
44,"Feb 03, 2019",43.3,43.73,42.58,42.9,45359366,719406512
45,"Feb 02, 2019",43.67,43.8,42.0,43.39,46606594,727418402
46,"Feb 01, 2019",43.67,44.21,42.87,43.72,36949056,732932071
47,"Jan 31, 2019",44.25,44.56,43.31,43.66,33200067,731848375
48,"Jan 30, 2019",43.67,44.73,42.76,44.26,46618917,741813802
49,"Jan 29, 2019",43.58,44.07,42.83,43.71,50419054,732410825
50,"Jan 28, 2019",46.69,46.69,43.2,43.59,39662233,730286575
51,"Jan 27, 2019",45.78,46.66,45.41,46.58,37895260,780207473
52,"Jan 26, 2019",46.86,46.86,45.67,45.73,33090913,765948361
53,"Jan 25, 2019",45.88,47.11,45.12,46.89,34838080,785243218
54,"Jan 24, 2019",44.91,46.51,44.62,45.78,36027328,766615025
55,"Jan 23, 2019",45.94,45.97,44.64,44.88,32608467,751394884
56,"Jan 22, 2019",44.58,46.04,44.54,45.92,24212367,768696101
57,"Jan 21, 2019",44.11,44.76,43.72,44.58,36435975,746108403
58,"Jan 20, 2019",46.09,46.38,44.04,44.11,33574394,738232143
59,"Jan 19, 2019",45.27,46.56,44.79,46.22,28578356,773381169
60,"Jan 18, 2019",45.65,45.7,44.88,45.13,21365213,754975899
61,"Jan 17, 2019",46.16,46.36,44.87,45.65,27183479,763695184
62,"Jan 16, 2019",44.89,46.19,44.71,46.18,24281060,772411706
63,"Jan 15, 2019",45.82,46.41,44.71,44.95,24204633,750562256
64,"Jan 14, 2019",43.11,46.39,43.11,45.91,18488424,766658180
65,"Jan 13, 2019",45.0,45.51,42.84,43.11,16719882,719835397
66,"Jan 12, 2019",45.79,46.05,44.59,45.01,20037124,751516993
67,"Jan 11, 2019",45.48,46.75,45.12,45.8,23562848,764824281
68,"Jan 10, 2019",52.73,53.5,44.55,45.5,24306322,759671153
69,"Jan 09, 2019",53.17,54.55,52.43,52.71,19143630,880188905
70,"Jan 08, 2019",52.89,54.93,52.6,53.16,15133986,887562333
71,"Jan 07, 2019",54.93,55.26,52.18,52.83,15100414,882076445
72,"Jan 06, 2019",49.81,55.0,49.75,54.88,16838854,916301118
73,"Jan 05, 2019",50.55,51.65,49.87,49.93,13488431,833735767
74,"Jan 04, 2019",49.85,50.89,49.42,50.63,12125339,845363922
75,"Jan 03, 2019",52.33,52.33,49.65,49.82,12738595,831627236
76,"Jan 02, 2019",48.44,53.2,47.97,52.25,24331239,872187905
77,"Jan 01, 2019",46.23,48.37,45.65,48.37,10174528,807214007
78,"Dec 31, 2018",48.44,48.47,45.56,46.23,11899404,771405409
79,"Dec 30, 2018",48.01,48.89,47.57,48.36,12884901,806939516
80,"Dec 29, 2018",49.84,50.08,48.11,48.11,15781153,802611402
81,"Dec 28, 2018",44.48,51.11,44.24,49.77,18873091,830151505
82,"Dec 27, 2018",49.36,49.37,43.91,44.47,14370278,741578775
83,"Dec 26, 2018",50.64,52.05,47.66,49.37,16360059,823316270
84,"Dec 25, 2018",56.4,56.4,48.33,50.59,17051136,843500901
85,"Dec 24, 2018",52.8,58.17,52.8,56.34,21739807,939103272
86,"Dec 23, 2018",51.91,54.51,51.67,52.76,13916278,879305229
87,"Dec 22, 2018",51.79,52.33,50.01,51.73,13813550,861994389
88,"Dec 21, 2018",54.88,55.78,50.84,51.82,19104638,863449627
89,"Dec 20, 2018",46.16,55.11,45.99,55.08,20425202,917561590
90,"Dec 19, 2018",46.99,50.66,46.05,46.31,16853229,771461419
91,"Dec 18, 2018",43.85,47.48,43.13,46.58,13576157,775841297
92,"Dec 17, 2018",39.36,44.89,39.24,43.82,12214093,729771992
93,"Dec 16, 2018",38.87,40.64,38.87,39.34,10345232,655016345
94,"Dec 15, 2018",39.02,39.37,38.07,38.85,11591710,646798250
95,"Dec 14, 2018",41.03,42.42,38.99,39.28,12444729,653878578
96,"Dec 13, 2018",44.05,44.06,40.67,40.96,11758377,681731507
