,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",9.22,9.35,9.12,9.31,265459635,604901902
1,"Mar 18, 2019",9.3,9.38,9.14,9.22,359608160,599587331
2,"Mar 17, 2019",9.52,9.55,9.25,9.29,284618106,603828092
3,"Mar 16, 2019",9.33,9.74,9.33,9.52,289565478,618921004
4,"Mar 15, 2019",9.37,9.41,9.19,9.32,240911036,606052175
5,"Mar 14, 2019",9.02,9.4,8.88,9.38,328168530,609381363
6,"Mar 13, 2019",8.9,9.18,8.85,9.02,299672755,586399822
7,"Mar 12, 2019",8.8,9.01,8.53,8.9,268597663,578336320
8,"Mar 11, 2019",8.86,8.92,8.59,8.78,313082304,570864962
9,"Mar 10, 2019",9.05,9.09,8.8,8.87,290220064,576572176
10,"Mar 09, 2019",8.85,9.17,8.84,9.02,297585392,586274320
11,"Mar 08, 2019",9.26,9.29,8.8,8.86,326617088,575866976
12,"Mar 07, 2019",8.8,9.33,8.77,9.25,307951799,600947847
13,"Mar 06, 2019",8.84,8.91,8.71,8.81,282146719,572348107
14,"Mar 05, 2019",8.29,8.9,8.22,8.84,301955652,574908500
15,"Mar 04, 2019",8.7,8.75,8.14,8.29,314165465,538561512
16,"Mar 03, 2019",8.82,8.91,8.67,8.71,226822878,566062627
17,"Mar 02, 2019",9.02,9.14,8.79,8.82,259087758,573273850
18,"Mar 01, 2019",8.93,9.26,8.87,9.02,260838267,586247389
19,"Feb 28, 2019",8.98,9.1,8.91,8.94,240794894,581139519
20,"Feb 27, 2019",9.16,9.25,8.78,8.98,296811753,583591214
21,"Feb 26, 2019",9.37,9.37,9.01,9.15,335598444,594461410
22,"Feb 25, 2019",9.08,9.51,8.96,9.37,318263212,608786824
23,"Feb 24, 2019",10.18,10.76,8.73,9.08,546178687,590106576
24,"Feb 23, 2019",8.76,10.21,8.65,10.18,358802825,661889387
25,"Feb 22, 2019",8.65,8.85,8.65,8.8,188250575,571862702
26,"Feb 21, 2019",9.2,9.2,8.6,8.64,227003933,561902748
27,"Feb 20, 2019",9.0,9.21,8.87,9.21,239088321,598402688
28,"Feb 19, 2019",8.85,9.27,8.8,9.02,264778436,586130568
29,"Feb 18, 2019",8.4,8.93,8.25,8.85,232315948,575503154
30,"Feb 17, 2019",7.96,8.72,7.95,8.39,258499649,545230967
31,"Feb 16, 2019",8.11,8.3,7.93,7.96,173410185,517689602
32,"Feb 15, 2019",7.96,8.38,7.9,8.13,164623226,528755366
33,"Feb 14, 2019",8.28,8.28,7.84,7.95,147559333,516765560
34,"Feb 13, 2019",8.26,8.46,8.22,8.3,159400724,539727161
35,"Feb 12, 2019",8.13,8.43,7.98,8.25,191455559,536226580
36,"Feb 11, 2019",7.99,8.26,7.77,8.13,180322479,528362887
37,"Feb 10, 2019",7.67,7.98,7.59,7.96,159699885,517438261
38,"Feb 09, 2019",7.6,7.74,7.52,7.66,122279806,498134612
39,"Feb 08, 2019",6.92,7.72,6.89,7.6,161363179,494187454
40,"Feb 07, 2019",6.88,6.98,6.86,6.92,98062942,449883575
41,"Feb 06, 2019",7.08,7.09,6.82,6.86,113960942,445958917
42,"Feb 05, 2019",7.07,7.18,7.06,7.07,112713128,459642249
43,"Feb 04, 2019",7.01,7.14,6.99,7.09,104145001,460594124
44,"Feb 03, 2019",7.23,7.23,6.97,7.02,113281405,456476196
45,"Feb 02, 2019",7.02,7.25,6.94,7.23,118178032,469944267
46,"Feb 01, 2019",6.93,7.06,6.82,7.03,110514792,457113160
47,"Jan 31, 2019",7.11,7.18,6.85,6.93,126570197,450552499
48,"Jan 30, 2019",7.03,7.13,6.91,7.11,127490778,462269051
49,"Jan 29, 2019",7.02,7.13,6.79,7.05,128674508,458435139
