,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",1.5,1.52,1.48,1.51,45926680,211365320
1,"Mar 18, 2019",1.52,1.55,1.46,1.5,36720113,210295391
2,"Mar 17, 2019",1.54,1.55,1.49,1.52,36196131,212863208
3,"Mar 16, 2019",1.52,1.57,1.51,1.54,46587086,216263786
4,"Mar 15, 2019",1.52,1.61,1.5,1.52,75193611,213537593
5,"Mar 14, 2019",1.43,1.65,1.4,1.51,84500873,212412631
6,"Mar 13, 2019",1.45,1.47,1.41,1.43,55290380,200362960
7,"Mar 12, 2019",1.35,1.48,1.29,1.45,67358881,203378954
8,"Mar 11, 2019",1.39,1.41,1.33,1.35,61954418,188834007
9,"Mar 10, 2019",1.37,1.44,1.35,1.39,69420683,194855288
10,"Mar 09, 2019",1.26,1.37,1.25,1.36,61807400,191223422
11,"Mar 08, 2019",1.25,1.3,1.23,1.26,39848587,176470457
12,"Mar 07, 2019",1.25,1.27,1.24,1.25,38419909,174763391
13,"Mar 06, 2019",1.24,1.26,1.22,1.25,35518321,175365422
14,"Mar 05, 2019",1.16,1.24,1.16,1.24,35866379,173787836
15,"Mar 04, 2019",1.25,1.25,1.15,1.16,147620177,162134247
16,"Mar 03, 2019",1.28,1.29,1.24,1.25,31931178,174668253
17,"Mar 02, 2019",1.33,1.34,1.27,1.28,36224173,180056684
18,"Mar 01, 2019",1.31,1.37,1.31,1.33,37980949,186841383
19,"Feb 28, 2019",1.33,1.33,1.3,1.31,39251706,183910619
20,"Feb 27, 2019",1.35,1.36,1.28,1.33,41304214,186319572
21,"Feb 26, 2019",1.32,1.38,1.3,1.35,46088839,188980939
22,"Feb 25, 2019",1.33,1.39,1.3,1.33,48828980,186374124
23,"Feb 24, 2019",1.34,1.52,1.27,1.33,69410124,187100085
24,"Feb 23, 2019",1.3,1.35,1.27,1.34,44860523,187782375
25,"Feb 22, 2019",1.32,1.33,1.29,1.31,35298125,183048538
26,"Feb 21, 2019",1.33,1.33,1.25,1.32,44188759,185064436
27,"Feb 20, 2019",1.29,1.35,1.29,1.33,46379965,186914154
28,"Feb 19, 2019",1.31,1.34,1.29,1.3,45987734,181763163
29,"Feb 18, 2019",1.22,1.35,1.21,1.31,48842570,184272098
30,"Feb 17, 2019",1.22,1.25,1.18,1.22,45448157,171571032
31,"Feb 16, 2019",1.14,1.26,1.14,1.22,39307645,170916548
32,"Feb 15, 2019",1.13,1.16,1.12,1.14,32903775,159571264
33,"Feb 14, 2019",1.14,1.15,1.11,1.13,28927385,157796888
34,"Feb 13, 2019",1.16,1.16,1.13,1.14,32180757,160260562
35,"Feb 12, 2019",1.15,1.17,1.13,1.16,35769001,162770027
36,"Feb 11, 2019",1.19,1.19,1.15,1.15,40084272,161918198
37,"Feb 10, 2019",1.15,1.21,1.15,1.19,46084278,167279846
38,"Feb 09, 2019",1.14,1.16,1.12,1.15,33203990,161542619
39,"Feb 08, 2019",1.04,1.15,1.03,1.15,44474319,160624246
40,"Feb 07, 2019",1.02,1.05,1.01,1.04,37191979,145198352
41,"Feb 06, 2019",1.08,1.08,1.01,1.02,30106992,143487872
42,"Feb 05, 2019",1.11,1.11,1.07,1.08,36140606,151450188
43,"Feb 04, 2019",1.1,1.13,1.1,1.11,36779666,155565365
44,"Feb 03, 2019",1.1,1.12,1.09,1.1,31917647,154252251
45,"Feb 02, 2019",1.09,1.11,1.08,1.1,24571340,154775730
46,"Feb 01, 2019",1.09,1.1,1.05,1.09,23568253,153332190
47,"Jan 31, 2019",1.14,1.16,1.08,1.09,21318364,153435977
48,"Jan 30, 2019",1.11,1.15,1.11,1.14,34712014,159435661
49,"Jan 29, 2019",1.12,1.13,1.08,1.11,29485455,155996516
50,"Jan 28, 2019",1.18,1.18,1.08,1.12,30125583,156837220
51,"Jan 27, 2019",1.25,1.25,1.14,1.18,34769493,165223237
52,"Jan 26, 2019",1.25,1.3,1.24,1.25,29147952,174629477
53,"Jan 25, 2019",1.27,1.27,1.23,1.25,28230371,175274913
54,"Jan 24, 2019",1.28,1.28,1.26,1.27,33525966,177411379
55,"Jan 23, 2019",1.3,1.31,1.26,1.28,34046645,179077999
56,"Jan 22, 2019",1.28,1.31,1.26,1.3,34292931,182169399
57,"Jan 21, 2019",1.27,1.28,1.25,1.28,34986326,179215104
58,"Jan 20, 2019",1.31,1.37,1.24,1.27,42350450,177594133
59,"Jan 19, 2019",1.28,1.34,1.27,1.31,37763114,183820048
60,"Jan 18, 2019",1.31,1.31,1.25,1.28,33869874,179765257
61,"Jan 17, 2019",1.28,1.31,1.27,1.31,32756642,183493609
62,"Jan 16, 2019",1.24,1.29,1.24,1.28,28067293,179679536
63,"Jan 15, 2019",1.29,1.3,1.24,1.24,31468074,174488384
64,"Jan 14, 2019",1.2,1.3,1.2,1.3,27036149,181818708
65,"Jan 13, 2019",1.3,1.32,1.2,1.2,25255337,168702346
66,"Jan 12, 2019",1.31,1.32,1.29,1.3,24670045,182698000
67,"Jan 11, 2019",1.28,1.32,1.27,1.31,26655202,183101186
68,"Jan 10, 2019",1.53,1.57,1.27,1.28,32484274,180176352
69,"Jan 09, 2019",1.5,1.53,1.5,1.53,27260830,214276859
70,"Jan 08, 2019",1.49,1.54,1.47,1.5,30829957,210187076
71,"Jan 07, 2019",1.58,1.59,1.49,1.49,26418926,208904214
72,"Jan 06, 2019",1.5,1.59,1.47,1.58,38151567,221751316
73,"Jan 05, 2019",1.47,1.57,1.47,1.51,40015078,211253729
74,"Jan 04, 2019",1.47,1.51,1.43,1.48,42369429,207472529
75,"Jan 03, 2019",1.52,1.53,1.45,1.46,34089456,205446345
76,"Jan 02, 2019",1.44,1.54,1.44,1.53,41520879,214000707
77,"Jan 01, 2019",1.36,1.43,1.34,1.43,35937624,200782172
78,"Dec 31, 2018",1.42,1.47,1.34,1.35,35845432,189463833
79,"Dec 30, 2018",1.46,1.47,1.39,1.42,36130806,199283833
80,"Dec 29, 2018",1.48,1.49,1.41,1.47,33575307,206088336
81,"Dec 28, 2018",1.31,1.47,1.3,1.47,30251721,206654839
82,"Dec 27, 2018",1.49,1.49,1.31,1.32,32173186,184914806
83,"Dec 26, 2018",1.47,1.55,1.43,1.49,36215492,208991367
84,"Dec 25, 2018",1.61,1.61,1.42,1.48,37234003,207694348
85,"Dec 24, 2018",1.66,1.89,1.59,1.6,55619766,225018503
86,"Dec 23, 2018",1.57,1.7,1.57,1.66,36814115,233250933
87,"Dec 22, 2018",1.48,1.57,1.47,1.57,30933747,219669662
88,"Dec 21, 2018",1.64,1.68,1.47,1.49,39135083,209122611
89,"Dec 20, 2018",1.36,1.68,1.35,1.64,55437269,230513386
90,"Dec 19, 2018",1.34,1.46,1.32,1.36,41089959,191428023
91,"Dec 18, 2018",1.27,1.34,1.21,1.34,39316389,187599696
92,"Dec 17, 2018",1.15,1.31,1.14,1.27,35416210,178137988
93,"Dec 16, 2018",1.11,1.2,1.11,1.15,30389613,161074839
94,"Dec 15, 2018",1.11,1.14,1.08,1.11,23510164,155978923
95,"Dec 14, 2018",1.19,1.2,1.09,1.11,31314354,156019002
96,"Dec 13, 2018",1.26,1.3,1.17,1.19,29088307,166505667
97,"Dec 12, 2018",1.29,1.32,1.25,1.25,24652374,175341763
98,"Dec 11, 2018",1.32,1.35,1.27,1.29,22431374,180604500
99,"Dec 10, 2018",1.38,1.4,1.3,1.33,24528285,185994301
100,"Dec 09, 2018",1.33,1.44,1.28,1.38,23654868,192879800
101,"Dec 08, 2018",1.31,1.34,1.22,1.33,25853058,186923260
102,"Dec 07, 2018",1.24,1.34,1.14,1.31,25639405,183758035
103,"Dec 06, 2018",1.37,1.41,1.23,1.24,20039322,173662994
104,"Dec 05, 2018",1.48,1.5,1.37,1.37,22767815,191984282
105,"Dec 04, 2018",1.46,1.58,1.42,1.48,17714179,207379826
106,"Dec 03, 2018",1.6,1.61,1.42,1.46,22839198,204811761
107,"Dec 02, 2018",1.62,1.65,1.6,1.6,22204410,224279011
108,"Dec 01, 2018",1.51,1.66,1.48,1.63,20768958,228162055
109,"Nov 30, 2018",1.65,1.65,1.44,1.51,21314192,211284950
110,"Nov 29, 2018",1.6,1.74,1.53,1.65,28601412,230751194
111,"Nov 28, 2018",1.39,1.65,1.39,1.6,24890100,224827398
112,"Nov 27, 2018",1.41,1.41,1.32,1.39,19288400,195304339
113,"Nov 26, 2018",1.53,1.56,1.35,1.41,19959600,197935343
114,"Nov 25, 2018",1.5,1.56,1.31,1.54,21124200,215488457
115,"Nov 24, 2018",1.7,1.76,1.46,1.5,21631300,210802858
