,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",1.1,1.14,1.08,1.14,47799361,564901727
1,"Mar 18, 2019",1.13,1.15,1.06,1.1,76646025,543328357
2,"Mar 17, 2019",1.08,1.16,1.04,1.13,59744996,558794092
3,"Mar 16, 2019",1.01,1.1,1.01,1.08,61577321,536074132
4,"Mar 15, 2019",1.0,1.02,0.9856530000000001,1.01,29739811,500762079
5,"Mar 14, 2019",1.02,1.03,0.983086,1.0,45955354,495819590
6,"Mar 13, 2019",0.969252,1.06,0.938235,1.02,93765301,331372844
7,"Mar 12, 2019",0.917579,0.996192,0.887034,0.9688629999999999,61350604,314189126
8,"Mar 11, 2019",0.965968,0.9761569999999999,0.8963459999999999,0.917168,33205647,297425323
9,"Mar 10, 2019",0.991825,0.999006,0.932017,0.967023,35019367,313592610
10,"Mar 09, 2019",0.983009,1.03,0.972001,0.9885709999999999,43312445,320580295
11,"Mar 08, 2019",1.02,1.06,0.9706299999999999,0.9843350000000001,68017487,319206731
12,"Mar 07, 2019",0.9090280000000001,1.04,0.9090280000000001,1.01,84259967,328146110
13,"Mar 06, 2019",0.9295399999999999,0.9295399999999999,0.895078,0.907934,34481626,294430731
14,"Mar 05, 2019",0.804489,0.9311010000000001,0.7773939999999999,0.9301809999999999,55182922,301645164
15,"Mar 04, 2019",0.882885,0.8874850000000001,0.7891130000000001,0.804437,33210096,260868236
16,"Mar 03, 2019",0.888992,0.9070379999999999,0.8773139999999999,0.883259,17253950,286429088
17,"Mar 02, 2019",0.932585,0.936423,0.8775940000000001,0.889252,26518232,288372384
18,"Mar 01, 2019",0.90955,0.9605469999999999,0.898776,0.9377840000000001,32241050,304110777
19,"Feb 28, 2019",0.906008,0.9541299999999999,0.8981040000000001,0.9086559999999999,47839334,294665081
20,"Feb 27, 2019",0.918701,0.9258629999999999,0.8682620000000001,0.907885,47895275,294414925
21,"Feb 26, 2019",0.993244,1.01,0.8971290000000001,0.9218049999999999,65900002,298928905
22,"Feb 25, 2019",0.992474,1.04,0.9249059999999999,0.98713,155036742,320113153
23,"Feb 24, 2019",0.968183,1.2,0.86455,1.0,335437476,324547851
24,"Feb 23, 2019",0.815433,0.996765,0.811118,0.969874,167007892,314517020
25,"Feb 22, 2019",0.735848,0.8372459999999999,0.735848,0.8184060000000001,69347419,265398206
26,"Feb 21, 2019",0.7530279999999999,0.7674479999999999,0.7128979999999999,0.7361479999999999,38403857,238722847
27,"Feb 20, 2019",0.68667,0.771913,0.668546,0.7544069999999999,41135823,244644138
28,"Feb 19, 2019",0.683333,0.726223,0.676029,0.686168,44532431,222515226
29,"Feb 18, 2019",0.643153,0.684163,0.634915,0.6809189999999999,40491042,220812789
30,"Feb 17, 2019",0.6232989999999999,0.672724,0.620224,0.645875,44588702,209448560
31,"Feb 16, 2019",0.669003,0.709975,0.62973,0.6298090000000001,90286780,204238727
32,"Feb 15, 2019",0.570704,0.68191,0.565566,0.675509,115754805,219058598
33,"Feb 14, 2019",0.579453,0.58492,0.563234,0.570682,11844322,185064482
34,"Feb 13, 2019",0.58052,0.6079640000000001,0.575921,0.579721,21146488,187995795
35,"Feb 12, 2019",0.579774,0.587382,0.566523,0.580775,17029336,188337678
36,"Feb 11, 2019",0.58828,0.58828,0.5714899999999999,0.581001,13197624,188410954
37,"Feb 10, 2019",0.579069,0.588507,0.562554,0.587508,17880504,190520796
