,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",1.01,1.02,1.01,1.02,62530162,121622190
1,"Mar 18, 2019",1.01,1.02,1.01,1.01,67074913,120999729
2,"Mar 17, 2019",1.01,1.02,1.01,1.01,50370188,118380015
3,"Mar 16, 2019",1.01,1.02,1.01,1.01,91777344,119513241
4,"Mar 15, 2019",1.02,1.02,1.01,1.01,78038027,119702050
5,"Mar 14, 2019",1.01,1.02,1.01,1.02,79462384,120144634
6,"Mar 13, 2019",1.01,1.02,1.01,1.01,46830157,118924217
7,"Mar 12, 2019",1.01,1.02,1.01,1.01,105133905,112874871
8,"Mar 11, 2019",1.01,1.02,1.01,1.01,131380605,113190704
9,"Mar 10, 2019",1.01,1.01,1.01,1.01,62366399,113028680
10,"Mar 09, 2019",1.01,1.02,1.01,1.01,63680041,112817971
11,"Mar 08, 2019",1.01,1.02,1.01,1.01,67484194,113208164
12,"Mar 07, 2019",1.01,1.02,1.01,1.01,52108050,112968458
13,"Mar 06, 2019",1.01,1.02,1.01,1.01,54981836,113160110
14,"Mar 05, 2019",1.01,1.02,1.01,1.01,58443786,113199759
15,"Mar 04, 2019",1.01,1.02,1.01,1.01,58185765,113182560
16,"Mar 03, 2019",1.01,1.02,1.01,1.01,43237405,113064533
17,"Mar 02, 2019",1.01,1.02,1.01,1.01,50541038,113038481
18,"Mar 01, 2019",1.01,1.02,1.01,1.01,45497635,115141642
19,"Feb 28, 2019",1.01,1.02,1.01,1.02,68087479,116243139
20,"Feb 27, 2019",1.02,1.02,1.01,1.01,68231634,116892941
21,"Feb 26, 2019",1.02,1.02,1.01,1.01,62870307,117549925
22,"Feb 25, 2019",1.01,1.03,1.01,1.02,83456177,117882272
23,"Feb 24, 2019",1.01,1.04,1.01,1.02,120160861,118286899
24,"Feb 23, 2019",1.02,1.02,1.01,1.01,78762236,117878603
25,"Feb 22, 2019",1.02,1.02,1.01,1.02,68332642,114657114
26,"Feb 21, 2019",1.02,1.02,1.01,1.02,71455761,115056750
27,"Feb 20, 2019",1.02,1.02,1.01,1.02,68474600,114916462
28,"Feb 19, 2019",1.01,1.02,1.01,1.01,85876572,115366331
29,"Feb 18, 2019",1.02,1.03,1.01,1.01,88170693,115823940
30,"Feb 17, 2019",1.01,1.02,1.01,1.02,79195020,116024836
31,"Feb 16, 2019",1.01,1.02,1.01,1.01,69454603,115878882
32,"Feb 15, 2019",1.01,1.02,1.01,1.01,69168484,115926766
33,"Feb 14, 2019",1.01,1.02,1.01,1.01,70286857,117427622
34,"Feb 13, 2019",1.02,1.02,1.01,1.01,75710292,117884396
35,"Feb 12, 2019",1.01,1.02,1.01,1.02,66897125,119474539
36,"Feb 11, 2019",1.01,1.02,1.01,1.01,60894838,120632705
37,"Feb 10, 2019",1.01,1.02,1.01,1.01,60588494,122169630
38,"Feb 09, 2019",1.01,1.01,1.01,1.01,70656331,122240029
39,"Feb 08, 2019",1.01,1.02,1.0,1.01,77932965,122427876
40,"Feb 07, 2019",1.01,1.01,1.01,1.01,55389898,122957868
41,"Feb 06, 2019",1.01,1.02,1.0,1.01,66612057,121685324
42,"Feb 05, 2019",1.01,1.01,1.0,1.01,57839333,122125792
43,"Feb 04, 2019",1.01,1.01,1.01,1.01,56430944,122969514
44,"Feb 03, 2019",1.01,1.01,1.01,1.01,61128427,123568534
45,"Feb 02, 2019",1.01,1.01,1.01,1.01,66571596,124226620
46,"Feb 01, 2019",1.01,1.01,1.01,1.01,66351040,125331635
47,"Jan 31, 2019",1.01,1.01,1.01,1.01,63835356,128894022
48,"Jan 30, 2019",1.01,1.01,1.01,1.01,61165409,130367487
49,"Jan 29, 2019",1.01,1.01,1.01,1.01,64274527,132074842
50,"Jan 28, 2019",1.01,1.02,1.01,1.01,81225721,134545279
51,"Jan 27, 2019",1.01,1.01,1.01,1.01,62041279,136081435
52,"Jan 26, 2019",1.01,1.01,1.0,1.01,57025801,136284416
53,"Jan 25, 2019",1.01,1.01,1.01,1.01,64553143,137262593
