,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",1.48,1.49,1.45,1.47,1700088,78082405
1,"Mar 18, 2019",1.45,1.49,1.44,1.48,2507099,78568132
2,"Mar 17, 2019",1.46,1.47,1.39,1.45,1779620,77250262
3,"Mar 16, 2019",1.41,1.5,1.39,1.46,3796044,77488604
4,"Mar 15, 2019",1.43,1.56,1.36,1.41,8793603,75350624
5,"Mar 14, 2019",1.29,1.46,1.28,1.44,6717768,76745611
6,"Mar 13, 2019",1.31,1.37,1.28,1.29,3444103,68514830
7,"Mar 12, 2019",1.23,1.38,1.22,1.32,5899767,70305754
8,"Mar 11, 2019",1.28,1.29,1.23,1.24,1785622,65814989
9,"Mar 10, 2019",1.27,1.29,1.25,1.28,1997929,68142906
10,"Mar 09, 2019",1.22,1.28,1.22,1.27,1390442,67499778
11,"Mar 08, 2019",1.26,1.27,1.21,1.22,1196806,65011678
12,"Mar 07, 2019",1.23,1.28,1.22,1.25,2948671,66766131
13,"Mar 06, 2019",1.25,1.26,1.22,1.23,1587422,65601675
14,"Mar 05, 2019",1.21,1.25,1.19,1.24,2296276,66229470
15,"Mar 04, 2019",1.25,1.42,1.18,1.21,5781605,64244322
16,"Mar 03, 2019",1.2,1.26,1.2,1.26,1510076,66892805
17,"Mar 02, 2019",1.19,1.22,1.18,1.2,1869875,63836258
18,"Mar 01, 2019",1.18,1.22,1.17,1.2,1131777,63656693
19,"Feb 28, 2019",1.19,1.2,1.17,1.17,1312198,62561508
20,"Feb 27, 2019",1.22,1.25,1.16,1.19,1734321,63433078
21,"Feb 26, 2019",1.18,1.22,1.16,1.22,2111770,64950616
22,"Feb 25, 2019",1.14,1.21,1.12,1.18,2220438,62633982
23,"Feb 24, 2019",1.31,1.34,1.14,1.15,1739839,61101187
24,"Feb 23, 2019",1.28,1.34,1.26,1.31,1461938,69734232
25,"Feb 22, 2019",1.32,1.33,1.26,1.28,1712489,68415398
26,"Feb 21, 2019",1.37,1.37,1.31,1.32,807579,70298632
27,"Feb 20, 2019",1.35,1.37,1.33,1.37,1388995,72707547
28,"Feb 19, 2019",1.36,1.39,1.33,1.35,1757447,71720204
29,"Feb 18, 2019",1.32,1.4,1.31,1.36,2436357,72440133
30,"Feb 17, 2019",1.25,1.33,1.23,1.32,5078531,70330193
31,"Feb 16, 2019",1.24,1.28,1.22,1.25,2563274,66348995
32,"Feb 15, 2019",1.21,1.24,1.21,1.24,1929283,65994373
33,"Feb 14, 2019",1.22,1.23,1.2,1.21,2112216,64257023
34,"Feb 13, 2019",1.22,1.24,1.2,1.22,4145421,64966224
35,"Feb 12, 2019",1.24,1.24,1.21,1.23,2825973,65242109
36,"Feb 11, 2019",1.3,1.3,1.22,1.24,4687352,66077031
37,"Feb 10, 2019",1.29,1.34,1.27,1.3,2663102,69264802
38,"Feb 09, 2019",1.26,1.31,1.24,1.29,2441091,68669092
39,"Feb 08, 2019",1.18,1.28,1.17,1.26,3992544,67123842
40,"Feb 07, 2019",1.18,1.19,1.16,1.18,1848738,62753050
41,"Feb 06, 2019",1.18,1.26,1.14,1.18,2853778,62584636
42,"Feb 05, 2019",1.19,1.2,1.17,1.18,1396580,62619319
43,"Feb 04, 2019",1.19,1.23,1.18,1.2,1396252,63649204
44,"Feb 03, 2019",1.22,1.22,1.18,1.19,987330,63203241
45,"Feb 02, 2019",1.2,1.22,1.18,1.22,915365,64829382
46,"Feb 01, 2019",1.19,1.21,1.16,1.2,1098432,63682104
47,"Jan 31, 2019",1.23,1.24,1.17,1.19,1926829,63488554
48,"Jan 30, 2019",1.2,1.25,1.18,1.23,3129265,65299023
49,"Jan 29, 2019",1.24,1.27,1.17,1.2,1141673,64167656
50,"Jan 28, 2019",1.31,1.31,1.18,1.24,1288042,66055721
51,"Jan 27, 2019",1.36,1.36,1.3,1.31,1011134,69581323
52,"Jan 26, 2019",1.32,1.47,1.31,1.36,2337482,72419705
53,"Jan 25, 2019",1.32,1.34,1.3,1.32,696339,70494429
54,"Jan 24, 2019",1.3,1.38,1.29,1.32,1787136,70451113
55,"Jan 23, 2019",1.32,1.34,1.28,1.3,1122209,69068646
56,"Jan 22, 2019",1.34,1.38,1.26,1.32,1605463,70378877
57,"Jan 21, 2019",1.31,1.36,1.28,1.34,1353163,71327591
58,"Jan 20, 2019",1.36,1.39,1.28,1.3,846304,69407587
59,"Jan 19, 2019",1.34,1.4,1.33,1.37,841054,72714896
60,"Jan 18, 2019",1.34,1.35,1.3,1.33,1601657,70971275
61,"Jan 17, 2019",1.34,1.35,1.31,1.34,1152525,71606245
62,"Jan 16, 2019",1.31,1.36,1.3,1.34,1574126,71395259
63,"Jan 15, 2019",1.4,1.4,1.3,1.31,1836131,69575839
64,"Jan 14, 2019",1.33,1.41,1.32,1.39,3027074,74261014
65,"Jan 13, 2019",1.32,1.6,1.3,1.33,6525254,71068838
66,"Jan 12, 2019",1.3,1.34,1.26,1.32,874457,70188714
67,"Jan 11, 2019",1.29,1.35,1.28,1.3,815112,69145294
