,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",2.5,2.56,2.48,2.53,179215457,226285869
1,"Mar 18, 2019",2.52,2.57,2.49,2.5,190636143,223471569
2,"Mar 17, 2019",2.52,2.66,2.43,2.52,239097225,224825973
3,"Mar 16, 2019",2.56,2.57,2.48,2.52,234012532,225086654
4,"Mar 15, 2019",2.69,2.69,2.47,2.56,227469291,229017226
5,"Mar 14, 2019",2.14,2.96,2.12,2.72,2126100128,243265852
6,"Mar 13, 2019",2.16,2.2,2.11,2.15,335052376,191921260
7,"Mar 12, 2019",2.08,2.18,2.05,2.16,203253019,192699136
8,"Mar 11, 2019",2.16,2.18,2.06,2.08,303984325,186047476
9,"Mar 10, 2019",2.21,2.21,2.12,2.16,193189342,192917511
10,"Mar 09, 2019",2.11,2.22,2.1,2.2,290739852,196690726
11,"Mar 08, 2019",2.09,2.17,2.07,2.11,288162746,188506055
12,"Mar 07, 2019",2.08,2.12,2.07,2.09,205498327,186339340
13,"Mar 06, 2019",2.08,2.1,2.04,2.08,192818511,185395414
14,"Mar 05, 2019",1.98,2.09,1.97,2.08,216860391,186022781
15,"Mar 04, 2019",2.07,2.08,1.95,1.97,223293075,176177175
16,"Mar 03, 2019",2.09,2.1,2.06,2.07,137899259,184722343
17,"Mar 02, 2019",2.13,2.14,2.08,2.09,179572170,186652485
18,"Mar 01, 2019",2.09,2.19,2.09,2.13,180670626,190474973
19,"Feb 28, 2019",2.09,2.1,2.06,2.09,230401363,186650359
20,"Feb 27, 2019",2.09,2.12,2.05,2.09,204158879,186190246
21,"Feb 26, 2019",2.11,2.11,2.07,2.09,187156829,186177730
22,"Feb 25, 2019",2.03,2.14,2.03,2.11,226276074,188447380
23,"Feb 24, 2019",2.38,2.45,2.02,2.04,455708719,182499758
24,"Feb 23, 2019",2.13,2.4,2.12,2.39,495118008,213589516
25,"Feb 22, 2019",2.08,2.15,2.08,2.13,187748503,190449008
26,"Feb 21, 2019",2.17,2.17,2.07,2.08,211911204,185797199
27,"Feb 20, 2019",2.14,2.18,2.09,2.18,256717468,194186985
28,"Feb 19, 2019",2.13,2.22,2.11,2.14,331818492,191218018
29,"Feb 18, 2019",1.97,2.18,1.96,2.12,317847186,189671851
30,"Feb 17, 2019",1.95,1.98,1.92,1.97,152926390,175598954
31,"Feb 16, 2019",1.91,1.98,1.91,1.94,163395137,173266813
32,"Feb 15, 2019",1.9,1.96,1.89,1.91,217586422,170808211
33,"Feb 14, 2019",1.93,1.94,1.88,1.9,167089354,169660209
34,"Feb 13, 2019",1.96,1.97,1.92,1.92,203080113,171430100
35,"Feb 12, 2019",1.92,1.96,1.9,1.96,190273429,174844315
36,"Feb 11, 2019",1.97,1.97,1.91,1.92,246346176,171227606
37,"Feb 10, 2019",1.95,1.97,1.89,1.96,129975157,175209584
38,"Feb 09, 2019",1.94,1.97,1.92,1.95,143925109,173582162
39,"Feb 08, 2019",1.77,1.95,1.75,1.94,185983157,172996199
40,"Feb 07, 2019",1.75,1.79,1.74,1.77,160445726,157780374
41,"Feb 06, 2019",1.82,1.82,1.72,1.75,147762148,156001949
42,"Feb 05, 2019",1.82,1.83,1.8,1.81,89557680,161231643
43,"Feb 04, 2019",1.84,1.84,1.81,1.82,104140091,162418456
44,"Feb 03, 2019",1.88,1.88,1.82,1.83,106864113,163657628
45,"Feb 02, 2019",1.86,1.89,1.83,1.88,145932287,167779404
46,"Feb 01, 2019",1.85,1.88,1.8,1.86,194835722,165672264
47,"Jan 31, 2019",1.89,1.92,1.83,1.85,209126489,164868391
