,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",18.11,18.16,17.7,17.88,82661,50170844
1,"Mar 18, 2019",18.15,18.38,18.02,18.11,81235,50810695
2,"Mar 17, 2019",18.09,18.31,17.05,18.13,86547,50856759
3,"Mar 16, 2019",17.59,18.35,17.51,18.21,83878,51095757
4,"Mar 15, 2019",17.3,17.79,17.14,17.58,83263,49325482
5,"Mar 14, 2019",17.31,17.45,17.08,17.42,58771,48864305
6,"Mar 13, 2019",17.11,17.41,17.01,17.13,78853,48047327
7,"Mar 12, 2019",17.24,17.4,16.54,17.09,77340,47928270
8,"Mar 11, 2019",15.32,17.5,15.2,17.13,84542,48055724
9,"Mar 10, 2019",15.52,15.77,15.21,15.31,72465,42956170
10,"Mar 09, 2019",15.1,15.68,15.1,15.49,71476,43456192
11,"Mar 08, 2019",15.38,15.58,15.01,15.15,71227,42499080
12,"Mar 07, 2019",14.69,15.58,13.85,15.36,74939,43081141
13,"Mar 06, 2019",14.62,14.78,14.47,14.68,613827,41171544
14,"Mar 05, 2019",13.81,15.5,13.72,14.62,616149,41016561
15,"Mar 04, 2019",13.02,13.98,12.68,13.79,659333,38680174
16,"Mar 03, 2019",13.16,13.26,12.96,13.01,602308,36487934
17,"Mar 02, 2019",13.23,13.41,13.03,13.15,552678,36886069
18,"Mar 01, 2019",13.22,13.64,13.2,13.24,577218,37155587
19,"Feb 28, 2019",13.18,13.42,13.16,13.21,592444,37047451
20,"Feb 27, 2019",11.7,13.48,11.62,13.17,534183,36949121
21,"Feb 26, 2019",11.89,11.92,11.6,11.7,478724,32814416
22,"Feb 25, 2019",10.45,12.05,10.45,11.91,510837,33407634
23,"Feb 24, 2019",11.79,12.19,10.47,10.47,437975,29381908
24,"Feb 23, 2019",11.18,11.82,11.01,11.8,464682,33100825
25,"Feb 22, 2019",8.98,11.25,8.93,11.19,455524,31387788
26,"Feb 21, 2019",9.15,9.15,8.87,8.97,360593,25165674
27,"Feb 20, 2019",9.68,9.78,8.98,9.15,347565,25666392
28,"Feb 19, 2019",8.27,9.94,8.27,9.72,406951,27267883
29,"Feb 18, 2019",7.39,8.33,7.39,8.26,330608,23182267
30,"Feb 17, 2019",7.04,7.44,7.03,7.41,299018,20781118
31,"Feb 16, 2019",7.0,7.08,7.0,7.04,298189,19753200
32,"Feb 15, 2019",6.96,7.08,6.95,6.99,279579,19614253
33,"Feb 14, 2019",7.0,7.06,6.95,6.96,297714,19519798
34,"Feb 13, 2019",7.03,7.14,6.97,7.01,303407,19664513
35,"Feb 12, 2019",6.98,7.24,6.91,7.03,263836,19732397
36,"Feb 11, 2019",6.42,7.17,6.26,6.98,285774,19584741
37,"Feb 10, 2019",6.25,6.42,6.17,6.41,279855,17993722
38,"Feb 09, 2019",6.24,6.3,6.19,6.25,272687,17524612
39,"Feb 08, 2019",5.51,6.28,5.48,6.24,136840,17514097
40,"Feb 07, 2019",5.03,5.53,4.92,5.51,62675,15444957
41,"Feb 06, 2019",5.12,5.12,4.96,5.03,53234,14107641
42,"Feb 05, 2019",5.13,5.14,5.08,5.11,56382,14332152
43,"Feb 04, 2019",4.54,5.26,4.47,5.14,67001,14419144
44,"Feb 03, 2019",4.63,4.68,4.5,4.53,48966,12713977
45,"Feb 02, 2019",4.58,4.7,4.52,4.69,33085,13160945
46,"Feb 01, 2019",4.54,4.61,4.47,4.59,45828,12863248
47,"Jan 31, 2019",4.62,4.67,4.51,4.54,49442,12728766
48,"Jan 30, 2019",4.52,4.64,4.47,4.58,52445,12837168
49,"Jan 29, 2019",4.57,4.58,4.43,4.52,55219,12678335
50,"Jan 28, 2019",4.82,4.83,4.46,4.55,51554,12752700
51,"Jan 27, 2019",4.92,4.93,4.81,4.82,49916,13510380
52,"Jan 26, 2019",4.9,4.97,4.89,4.92,55749,13795330
53,"Jan 25, 2019",4.93,4.94,4.87,4.9,54230,13748740
54,"Jan 24, 2019",4.67,4.99,4.63,4.92,58982,13805898
55,"Jan 23, 2019",4.69,4.75,4.63,4.67,33296,13093224
56,"Jan 22, 2019",4.58,4.85,4.37,4.69,29457,13165742
57,"Jan 21, 2019",4.63,4.74,4.45,4.58,2107,12847978
58,"Jan 20, 2019",4.73,4.89,4.4,4.63,1812,12991396
59,"Jan 19, 2019",4.58,5.0,4.27,4.74,1242,13289297
60,"Jan 18, 2019",4.85,5.49,4.3,4.47,2175,12543557
61,"Jan 17, 2019",4.55,4.87,4.45,4.85,1731,13604386
62,"Jan 16, 2019",4.44,4.69,4.42,4.55,1317,12762822
63,"Jan 15, 2019",4.71,4.81,4.38,4.44,1409,12457185
64,"Jan 14, 2019",4.28,4.78,4.28,4.71,1292,13215069
65,"Jan 13, 2019",4.59,4.61,4.25,4.28,1236,11896724
66,"Jan 12, 2019",4.52,4.65,4.49,4.6,1620,12789469
67,"Jan 11, 2019",4.28,4.57,4.13,4.51,1380,12559182
68,"Jan 10, 2019",5.01,5.04,4.12,4.29,2015,11923774
69,"Jan 09, 2019",5.01,5.12,4.99,5.01,944,13929046
70,"Jan 08, 2019",4.99,5.12,4.89,5.01,1789,13935797
71,"Jan 07, 2019",4.78,5.19,4.72,5.0,6450,13895233
72,"Jan 06, 2019",4.73,4.85,4.62,4.78,1750,13296531
73,"Jan 05, 2019",4.71,4.91,4.71,4.74,1613,13177520
74,"Jan 04, 2019",4.58,4.82,4.52,4.72,1684,13117872
75,"Jan 03, 2019",4.76,4.79,4.52,4.58,1528,12736264
76,"Jan 02, 2019",4.27,4.81,4.25,4.76,1699,13245488
77,"Jan 01, 2019",4.09,4.27,4.04,4.25,1416,11819269
78,"Dec 31, 2018",4.24,4.25,4.07,4.09,1886,11388754
79,"Dec 30, 2018",4.18,4.31,4.07,4.24,1153,11787273
80,"Dec 29, 2018",3.61,4.45,3.61,4.19,1460,11662524
81,"Dec 28, 2018",3.61,3.61,3.61,3.61,-,10040612
82,"Dec 27, 2018",4.04,4.06,3.61,3.61,-,10040612
83,"Dec 26, 2018",3.97,4.19,3.87,4.03,1877,11217518
84,"Dec 25, 2018",4.31,4.31,3.78,3.97,867,11042857
85,"Dec 24, 2018",3.96,4.84,3.96,4.29,728,11934846
86,"Dec 23, 2018",3.55,4.03,3.55,3.96,663,11019156
87,"Dec 22, 2018",3.34,3.55,3.28,3.55,1542,9874968
88,"Dec 21, 2018",3.54,3.63,3.27,3.34,2204,9291353
89,"Dec 20, 2018",2.69,3.58,2.68,3.54,2988,9858864
90,"Dec 19, 2018",2.64,2.89,2.62,2.7,904,7497323
91,"Dec 18, 2018",2.57,2.64,2.32,2.63,1342,6526633
92,"Dec 17, 2018",2.26,2.61,2.25,2.57,1380,6376194
93,"Dec 16, 2018",2.24,2.32,2.24,2.26,1210,5608536
94,"Dec 15, 2018",2.15,2.25,2.13,2.24,1585,5555349
95,"Dec 14, 2018",1.96,2.21,1.94,2.15,2606,5339104
96,"Dec 13, 2018",0.182789,2.06,0.182789,1.95,2907,4851077
97,"Dec 12, 2018",0.182789,0.182789,0.182789,0.182789,-,453766
98,"Dec 11, 2018",0.183059,0.183085,0.181412,0.182789,-,453766
99,"Dec 10, 2018",0.51839,0.51839,0.181292,0.183249,5,454908
100,"Dec 09, 2018",0.51839,0.51839,0.51839,0.51839,-,1286879
101,"Dec 08, 2018",0.51839,0.51839,0.51839,0.51839,-,1286879
102,"Dec 07, 2018",0.51839,0.51839,0.51839,0.51839,-,1286879
103,"Dec 06, 2018",0.51839,0.51839,0.51839,0.51839,-,1286879
104,"Dec 05, 2018",0.51839,0.51839,0.51839,0.51839,-,1286879
105,"Dec 04, 2018",0.503637,0.522005,0.49571899999999997,0.51839,-,1286879
106,"Dec 03, 2018",0.5822689999999999,0.5822689999999999,0.499712,0.504123,1960,1251461
107,"Dec 02, 2018",2.67,3.06,0.579438,0.5807,3925,1441560
108,"Dec 01, 2018",2.56,2.73,2.52,2.68,964,6646151
109,"Nov 30, 2018",2.68,2.71,2.51,2.56,639,6343121
110,"Nov 29, 2018",2.76,2.79,2.62,2.68,1012,6641410
111,"Nov 28, 2018",2.48,2.84,2.48,2.76,970,6844291
112,"Nov 27, 2018",2.47,2.51,2.36,2.48,1022,6144091
113,"Nov 26, 2018",2.64,2.69,2.39,2.47,467,6129320
114,"Nov 25, 2018",2.61,2.72,2.43,2.64,951,6563327
115,"Nov 24, 2018",2.9,3.13,2.55,2.62,748,6497716
116,"Nov 23, 2018",2.89,2.92,2.77,2.9,1250,7193919
117,"Nov 22, 2018",3.08,3.1,2.9,2.9,755,7210676
118,"Nov 21, 2018",2.92,3.12,2.82,3.09,902,7658659
119,"Nov 20, 2018",2.74,3.22,2.35,2.91,2245,7233986
120,"Nov 19, 2018",3.29,3.29,2.71,2.75,1035,6828403
121,"Nov 18, 2018",3.25,3.32,3.25,3.28,1066,8139410
122,"Nov 17, 2018",3.27,3.27,3.23,3.25,1251,8065930
123,"Nov 16, 2018",3.37,3.38,3.22,3.27,1258,8109447
124,"Nov 15, 2018",3.36,3.39,3.17,3.37,1447,8355036
125,"Nov 14, 2018",3.8,3.81,3.21,3.34,1270,8297493
126,"Nov 13, 2018",3.92,3.93,3.8,3.81,1562,9452205
127,"Nov 12, 2018",3.92,3.95,3.9,3.92,1686,9732871
128,"Nov 11, 2018",3.92,3.95,3.89,3.92,1491,9742900
129,"Nov 10, 2018",3.89,3.95,3.89,3.92,1450,9731530
130,"Nov 09, 2018",3.82,3.91,3.82,3.89,1535,9649535
131,"Nov 08, 2018",3.9,3.96,3.82,3.82,2377,9491924
132,"Nov 07, 2018",3.91,3.96,3.89,3.9,1892,9684835
133,"Nov 06, 2018",3.77,3.9,3.75,3.9,1771,9668997
134,"Nov 05, 2018",3.73,3.8,3.72,3.77,1625,9363383
135,"Nov 04, 2018",3.63,3.73,3.61,3.73,2497,9252690
136,"Nov 03, 2018",3.59,3.63,3.59,3.63,400,9022294
137,"Nov 02, 2018",3.61,3.63,3.59,3.59,1848,8907729
138,"Nov 01, 2018",3.52,4.02,3.52,3.61,1807,8973737
139,"Oct 31, 2018",3.57,3.57,3.52,3.52,1723,8729489
140,"Oct 30, 2018",3.56,3.6,3.54,3.57,1783,8854456
141,"Oct 29, 2018",3.69,3.7,3.53,3.56,1815,8833553
142,"Oct 28, 2018",3.68,3.7,3.67,3.69,-,9155726
143,"Oct 27, 2018",3.67,3.68,3.66,3.68,1397,9129064
144,"Oct 26, 2018",3.18,3.68,3.16,3.67,6763,9101037
145,"Oct 25, 2018",3.19,3.21,3.17,3.19,1950,7907972
146,"Oct 24, 2018",3.2,3.23,3.18,3.19,2299,7925125
147,"Oct 23, 2018",3.2,3.21,3.17,3.21,1444,7963554
148,"Oct 22, 2018",3.28,3.29,3.19,3.2,1505,7943148
149,"Oct 21, 2018",3.25,3.33,3.21,3.28,1310,8153610
150,"Oct 20, 2018",3.2,3.26,3.2,3.25,1775,8063845
151,"Oct 19, 2018",3.23,3.23,3.19,3.21,1892,7961593
152,"Oct 18, 2018",3.27,3.29,3.21,3.23,1839,8011242
153,"Oct 17, 2018",3.37,3.38,3.25,3.27,1799,8119849
154,"Oct 16, 2018",3.38,3.41,3.35,3.37,2000,8355409
155,"Oct 15, 2018",3.09,3.59,3.07,3.39,1708,8405082
156,"Oct 14, 2018",3.13,3.4,3.08,3.08,1645,7652726
157,"Oct 13, 2018",3.07,3.15,3.07,3.12,1721,7757386
158,"Oct 12, 2018",3.02,3.14,3.02,3.08,2182,7633636
159,"Oct 11, 2018",3.53,3.53,3.02,3.02,1703,7507825
160,"Oct 10, 2018",3.62,3.62,3.51,3.53,1201,8766800
161,"Oct 09, 2018",3.58,3.63,3.55,3.63,1802,9002286
162,"Oct 08, 2018",3.54,3.74,3.52,3.58,2010,8882929
163,"Oct 07, 2018",3.52,3.54,3.49,3.53,1835,8762307
164,"Oct 06, 2018",3.47,3.55,3.43,3.51,1930,8717524
165,"Oct 05, 2018",3.42,3.48,3.4,3.47,2113,8610803
166,"Oct 04, 2018",3.4,3.47,3.39,3.41,2391,8473126
167,"Oct 03, 2018",3.52,3.52,3.37,3.4,2020,8430801
168,"Oct 02, 2018",3.56,3.57,3.51,3.52,2605,8743614
169,"Oct 01, 2018",3.58,3.61,3.52,3.57,2949,8861977
170,"Sep 30, 2018",3.5,3.63,3.48,3.59,2674,8914481
171,"Sep 29, 2018",3.45,3.53,3.35,3.5,2793,8700370
172,"Sep 28, 2018",3.48,3.55,3.4,3.45,2405,8570662
173,"Sep 27, 2018",3.5,3.54,3.29,3.47,2447,8624332
174,"Sep 26, 2018",3.43,3.51,3.29,3.5,2504,8691954
175,"Sep 25, 2018",3.58,3.58,3.32,3.43,2548,8507310
176,"Sep 24, 2018",3.74,3.74,3.57,3.58,2645,8898097
177,"Sep 23, 2018",3.7,3.78,3.67,3.73,2965,9265972
178,"Sep 22, 2018",3.76,3.8,3.59,3.69,2678,9170472
179,"Sep 21, 2018",3.37,3.77,3.35,3.75,2916,9308670
180,"Sep 20, 2018",3.26,3.38,3.21,3.37,2695,8373828
181,"Sep 19, 2018",3.16,3.29,3.14,3.26,2785,8083853
182,"Sep 18, 2018",3.17,3.2,3.03,3.16,3255,7854500
183,"Sep 17, 2018",3.42,3.47,3.15,3.17,3060,7879175
184,"Sep 16, 2018",3.46,3.46,3.28,3.42,1744,8486978
185,"Sep 15, 2018",3.24,3.51,3.21,3.46,1383,8584241
186,"Sep 14, 2018",3.28,3.45,3.14,3.24,1331,8055404
187,"Sep 13, 2018",2.94,3.31,2.9,3.29,1414,8165824
188,"Sep 12, 2018",2.96,2.97,2.73,2.93,1468,7280681
189,"Sep 11, 2018",3.15,3.17,2.88,2.96,1682,7354733
190,"Sep 10, 2018",3.15,3.23,3.04,3.15,2850,7817039
191,"Sep 09, 2018",3.17,3.33,3.01,3.15,787,7819298
192,"Sep 08, 2018",3.04,3.24,2.82,3.18,2487,7891885
193,"Sep 07, 2018",2.72,3.08,2.62,3.04,1220,7546229
194,"Sep 06, 2018",2.28,2.73,2.14,2.71,3187,6733673
195,"Sep 05, 2018",2.74,2.76,2.28,2.28,679,5658648
196,"Sep 04, 2018",2.72,2.78,2.68,2.74,850,6813161
197,"Sep 03, 2018",2.74,2.75,2.69,2.72,353,-
198,"Sep 02, 2018",2.77,2.81,2.71,2.74,524,-
199,"Sep 01, 2018",2.69,2.83,2.68,2.77,943,-
200,"Aug 31, 2018",2.67,2.7,2.63,2.69,618,-
201,"Aug 30, 2018",2.72,2.74,2.56,2.67,980,-
202,"Aug 29, 2018",2.79,2.79,2.7,2.72,163,-
203,"Aug 28, 2018",2.71,2.8,2.71,2.79,237,-
