,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",553.51,563.28,551.96,562.05,103303,48721556
1,"Mar 18, 2019",483.47,561.3,483.47,553.15,118758,47950058
2,"Mar 17, 2019",558.16,559.23,483.06,483.06,98784,41874277
3,"Mar 16, 2019",514.51,561.88,510.12,558.08,101872,48377804
4,"Mar 15, 2019",496.72,515.65,443.46,514.46,64953,44596256
5,"Mar 14, 2019",491.59,503.0,442.48,497.09,62854,43090880
6,"Mar 13, 2019",470.17,495.14,441.68,491.75,57552,42628112
7,"Mar 12, 2019",455.5,471.3,417.37,469.24,39541,40291619
8,"Mar 11, 2019",473.04,511.97,406.05,454.99,70473,39068401
9,"Mar 10, 2019",449.88,512.02,444.53,472.71,58076,40590070
10,"Mar 09, 2019",389.57,512.92,379.24,449.32,33612,38581134
11,"Mar 08, 2019",351.96,395.09,234.52,389.84,30860,33474162
12,"Mar 07, 2019",355.08,393.12,307.27,351.56,31944,30186741
13,"Mar 06, 2019",309.02,390.93,265.58,355.05,20542,30486584
14,"Mar 05, 2019",258.67,319.98,257.41,309.51,22920,26576241
15,"Mar 04, 2019",249.98,260.33,240.79,258.5,19746,22195987
16,"Mar 03, 2019",219.82,252.99,216.99,249.64,17521,21435700
17,"Mar 02, 2019",226.48,236.0,153.84,220.05,18933,18894774
18,"Mar 01, 2019",230.71,232.7,129.14,226.87,13586,19480601
19,"Feb 28, 2019",237.84,239.02,126.55,231.0,14787,19835303
20,"Feb 27, 2019",223.44,250.14,222.19,237.55,16711,20397787
21,"Feb 26, 2019",217.36,247.17,55.77,223.57,15206,19196800
22,"Feb 25, 2019",113.95,226.0,59.86,218.02,1114,18720173
23,"Feb 24, 2019",114.1,130.28,62.59,113.71,508,9764071
24,"Feb 23, 2019",141.12,141.27,72.29,113.98,663,9787317
25,"Feb 22, 2019",71.08,141.45,39.63,141.37,1037,12138699
26,"Feb 21, 2019",1.2,71.37,1.2,71.21,638,6114387
27,"Feb 20, 2019",0.789521,1.2,0.785589,1.2,245,102616
28,"Feb 19, 2019",0.32698,0.803165,0.32698,0.790193,45,67851
29,"Feb 18, 2019",0.32698,0.32698,0.32698,0.32698,-,28076
30,"Feb 17, 2019",0.32698,0.32698,0.32698,0.32698,-,28076
31,"Feb 16, 2019",0.32698,0.32698,0.32698,0.32698,-,28076
32,"Feb 15, 2019",0.32698,0.32698,0.32698,0.32698,-,28076
33,"Feb 14, 2019",0.325972,0.32757800000000004,0.325972,0.32698,-,28076
34,"Feb 13, 2019",0.328102,0.330099,0.325092,0.326545,0,28039
35,"Feb 12, 2019",0.328291,0.330227,0.14510499999999998,0.328198,20,28181
36,"Feb 11, 2019",0.332739,0.332739,0.327653,0.327653,0,28134
37,"Feb 10, 2019",0.3302,0.332966,0.32757600000000003,0.332966,0,28590
38,"Feb 09, 2019",0.33021100000000003,0.331856,0.327701,0.329865,0,28324
39,"Feb 08, 2019",0.305967,0.332615,0.304709,0.330279,0,28360
40,"Feb 07, 2019",0.306772,0.30827,0.30530100000000004,0.30588699999999996,0,26265
41,"Feb 06, 2019",0.312855,0.312855,0.305374,0.306711,2913,26336
42,"Feb 05, 2019",0.345174,1.0,0.31004499999999996,0.311909,3,26782
43,"Feb 04, 2019",1.04,1.04,1.0,1.0,0,86233
44,"Feb 03, 2019",1.05,1.06,1.03,1.04,4611,89016
45,"Feb 02, 2019",3.45,3.49,1.04,1.05,1172,90508
46,"Feb 01, 2019",5.71,5.72,0.609042,3.45,4373,296204
47,"Jan 31, 2019",5.82,5.86,5.68,5.7,5191,489314
48,"Jan 30, 2019",5.99,5.99,5.77,5.82,14,499551
49,"Jan 29, 2019",6.23,6.25,5.98,5.98,6707,513655
50,"Jan 28, 2019",6.09,6.37,2.48,6.22,3442,534200
51,"Jan 27, 2019",8.57,8.58,6.08,6.08,5160,522069
52,"Jan 26, 2019",8.55,8.71,8.54,8.56,29,735335
53,"Jan 25, 2019",8.55,8.55,8.55,8.55,-,733792
54,"Jan 24, 2019",8.55,8.55,8.55,8.55,-,733792
55,"Jan 23, 2019",8.55,8.55,8.55,8.55,-,733792
56,"Jan 22, 2019",8.47,8.55,8.36,8.55,-,733792
57,"Jan 21, 2019",8.97,8.97,8.4,8.47,847,727139
58,"Jan 20, 2019",8.97,8.97,8.97,8.97,-,770561
59,"Jan 19, 2019",8.77,9.02,8.75,8.97,-,770561
60,"Jan 18, 2019",4.04,8.79,1.82,8.77,301,753135
61,"Jan 17, 2019",4.02,4.05,3.99,4.04,5,347309
62,"Jan 16, 2019",3.99,4.06,3.98,4.02,8,344822
63,"Jan 15, 2019",12.59,12.59,3.99,3.99,8,342907
64,"Jan 14, 2019",12.59,12.59,12.59,12.59,-,1081046
65,"Jan 13, 2019",12.59,12.59,12.59,12.59,-,1081046
66,"Jan 12, 2019",12.59,12.59,12.59,12.59,-,1081046
67,"Jan 11, 2019",12.59,12.59,12.59,12.59,-,1081046
68,"Jan 10, 2019",13.92,14.01,12.59,12.59,-,1081046
69,"Jan 09, 2019",14.06,14.06,13.89,13.91,3,1194491
70,"Jan 08, 2019",13.98,14.31,13.86,14.06,-,1207276
71,"Jan 07, 2019",10.2,14.05,4.44,13.95,41500,1198223
72,"Jan 06, 2019",14.5,15.15,10.13,10.19,2973,875364
73,"Jan 05, 2019",4.23,14.75,4.23,14.5,17,1244990
74,"Jan 04, 2019",14.59,14.59,4.16,4.24,80,364369
75,"Jan 03, 2019",4.72,14.64,4.59,14.57,2,1251411
76,"Jan 02, 2019",15.45,15.64,4.7,4.72,9438,405220
77,"Jan 01, 2019",38.99,39.72,15.02,15.41,3854,1323564
78,"Dec 31, 2018",28.69,39.12,24.05,38.99,26855,3348180
79,"Dec 30, 2018",40.38,41.68,26.86,28.66,123322,2460682
80,"Dec 29, 2018",37.87,42.81,31.68,40.55,60724,3481702
81,"Dec 28, 2018",34.52,37.69,24.31,37.69,58596,3236384
82,"Dec 27, 2018",13.98,35.56,7.38,33.61,27031,2887245
83,"Dec 26, 2018",36.72,39.36,7.63,14.05,28546,1206809
84,"Dec 25, 2018",40.29,40.29,34.84,36.7,73707,3152547
85,"Dec 24, 2018",36.88,44.72,36.88,40.1,82275,3445401
86,"Dec 23, 2018",33.24,38.11,33.24,36.88,77484,3168673
87,"Dec 22, 2018",31.21,33.26,30.19,33.22,61509,2853576
88,"Dec 21, 2018",33.19,33.68,30.6,31.25,57656,2684610
89,"Dec 20, 2018",28.75,33.44,28.36,32.57,46892,2798051
90,"Dec 19, 2018",28.61,30.66,28.26,28.8,37419,2473848
91,"Dec 18, 2018",27.33,29.08,26.14,29.01,31978,2492032
92,"Dec 17, 2018",24.54,27.77,24.08,27.18,31589,2334825
93,"Dec 16, 2018",24.24,25.13,24.0,24.1,32975,2070839
94,"Dec 15, 2018",24.04,24.5,23.17,24.24,35053,2082694
95,"Dec 14, 2018",24.88,25.08,23.69,24.04,36794,2065691
96,"Dec 13, 2018",25.84,26.21,24.01,24.82,39935,2132474
97,"Dec 12, 2018",25.15,26.45,24.5,25.63,39496,2202101
98,"Dec 11, 2018",26.3,26.6,24.72,25.24,31175,2168712
99,"Dec 10, 2018",26.91,27.27,25.25,26.31,37209,2260445
100,"Dec 09, 2018",26.32,28.03,25.52,26.89,41342,2310106
101,"Dec 08, 2018",26.77,27.99,24.36,26.44,40536,2271250
102,"Dec 07, 2018",25.8,27.21,23.31,26.98,47076,2318225
103,"Dec 06, 2018",29.21,29.95,25.84,25.84,54228,2220061
104,"Dec 05, 2018",31.38,31.48,29.07,29.25,47891,2512784
105,"Dec 04, 2018",31.3,32.56,30.36,31.33,62710,2691474
106,"Dec 03, 2018",33.36,33.47,30.36,31.33,55185,2691920
107,"Dec 02, 2018",32.65,34.39,32.26,33.27,48709,2858332
108,"Dec 01, 2018",31.34,34.48,30.72,32.79,46886,2817208
109,"Nov 30, 2018",32.82,33.76,31.25,31.27,47848,2686197
110,"Nov 29, 2018",26.96,33.78,25.64,32.94,62484,2829858
111,"Nov 28, 2018",23.95,27.68,23.73,26.93,51913,2313170
112,"Nov 27, 2018",23.38,24.2,21.76,23.89,43175,2052089
113,"Nov 26, 2018",24.83,25.43,22.2,23.41,34166,2011067
114,"Nov 25, 2018",24.18,25.46,21.44,25.39,35773,2181410
115,"Nov 24, 2018",26.38,27.64,23.53,24.06,32904,2066849
116,"Nov 23, 2018",27.29,27.59,25.66,26.4,44400,2267921
117,"Nov 22, 2018",29.67,30.09,27.61,27.66,48087,2376288
118,"Nov 21, 2018",27.11,30.07,26.94,29.69,41729,2550522
119,"Nov 20, 2018",31.62,32.89,26.62,27.03,49714,2321933
120,"Nov 19, 2018",36.99,38.31,30.49,31.73,48372,2726345
121,"Nov 18, 2018",36.3,38.58,36.21,36.92,77389,3171660
122,"Nov 17, 2018",37.86,38.55,36.2,36.31,67056,3119255
123,"Nov 16, 2018",39.1,39.75,36.67,37.88,62475,3254451
124,"Nov 15, 2018",39.71,40.06,36.97,39.0,59621,3350361
125,"Nov 14, 2018",42.65,44.76,37.74,39.55,69292,3397947
126,"Nov 13, 2018",43.11,43.99,41.33,42.57,74337,3657541
127,"Nov 12, 2018",43.64,44.57,42.07,43.07,89715,3700092
128,"Nov 11, 2018",44.25,44.46,41.76,43.73,97884,3756612
129,"Nov 10, 2018",42.42,44.68,41.12,43.97,93683,3777437
130,"Nov 09, 2018",43.73,44.73,40.09,42.45,88894,3647309
131,"Nov 08, 2018",43.05,45.77,40.82,43.75,88119,3758597
132,"Nov 07, 2018",44.86,46.29,41.12,43.03,83102,3696673
133,"Nov 06, 2018",43.3,45.31,40.59,45.12,81883,3836053
134,"Nov 05, 2018",40.44,44.36,39.32,40.11,85051,3445988
135,"Nov 04, 2018",39.19,40.44,37.1,40.44,85060,3474175
136,"Nov 03, 2018",38.54,39.95,37.51,39.19,73357,3367071
137,"Nov 02, 2018",39.59,40.27,37.92,39.83,86947,3421460
138,"Nov 01, 2018",38.28,45.61,37.51,39.59,76694,3401435
139,"Oct 31, 2018",39.46,39.53,37.34,37.93,77915,3258369
140,"Oct 30, 2018",39.3,39.55,36.45,39.37,81863,3382380
141,"Oct 29, 2018",35.39,39.52,32.27,39.29,90196,3375327
142,"Oct 28, 2018",34.6,35.78,30.57,34.71,61240,2982065
143,"Oct 27, 2018",34.23,35.62,31.09,34.41,63026,2955983
144,"Oct 26, 2018",35.37,35.7,31.46,34.2,66795,2937864
145,"Oct 25, 2018",35.15,35.59,30.55,35.34,68362,3036472
146,"Oct 24, 2018",33.68,35.75,31.67,35.15,77170,3020046
147,"Oct 23, 2018",35.36,35.72,31.25,35.57,77384,3055552
148,"Oct 22, 2018",34.58,35.58,31.38,35.34,66186,3035673
149,"Oct 21, 2018",33.07,35.27,30.78,34.57,65528,2969857
150,"Oct 20, 2018",33.05,34.99,31.07,33.82,64820,2905536
151,"Oct 19, 2018",33.87,34.67,31.78,33.08,60440,2842221
152,"Oct 18, 2018",34.79,35.11,31.29,33.87,72992,2909643
153,"Oct 17, 2018",34.41,35.28,30.66,34.87,34064,2995896
154,"Oct 16, 2018",35.68,36.01,35.36,35.77,966,3073138
155,"Oct 15, 2018",32.41,36.77,30.77,35.68,41210,3065398
156,"Oct 14, 2018",33.35,34.04,30.01,32.34,52285,2778656
157,"Oct 13, 2018",31.66,34.09,28.22,33.78,62378,2902255
158,"Oct 12, 2018",31.82,33.83,29.18,32.84,63574,2821662
159,"Oct 11, 2018",37.41,37.89,30.72,31.83,58239,2733393
160,"Oct 10, 2018",36.17,38.54,33.83,37.43,68001,3214705
161,"Oct 09, 2018",37.83,38.97,34.39,38.1,63892,3271631
162,"Oct 08, 2018",35.37,39.08,32.32,37.84,72342,3249647
163,"Oct 07, 2018",35.97,36.02,31.93,34.1,61754,2928020
164,"Oct 06, 2018",36.29,36.29,30.89,35.95,72166,3087292
165,"Oct 05, 2018",34.55,36.33,30.7,36.33,80444,3120251
166,"Oct 04, 2018",33.35,35.93,31.78,34.56,72216,2967668
167,"Oct 03, 2018",33.87,36.15,30.39,32.79,65083,2815644
168,"Oct 02, 2018",36.76,36.91,32.3,35.24,70968,3026098
169,"Oct 01, 2018",35.56,37.24,32.32,36.78,65201,3158448
170,"Sep 30, 2018",36.81,37.62,33.24,34.9,71065,2996720
171,"Sep 29, 2018",33.36,37.16,32.39,36.66,65352,3147980
172,"Sep 28, 2018",35.38,36.55,31.66,33.42,77928,2870088
173,"Sep 27, 2018",33.5,36.79,30.55,34.42,84207,2956058
174,"Sep 26, 2018",32.43,35.21,29.99,33.51,57746,2877946
175,"Sep 25, 2018",30.62,34.67,27.53,34.23,60973,2939888
176,"Sep 24, 2018",32.64,32.79,30.43,30.62,54584,2629175
177,"Sep 23, 2018",32.02,33.09,31.33,32.58,50815,2797773
178,"Sep 22, 2018",33.03,33.27,31.01,32.21,59642,2765750
