,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",1.02,1.03,1.02,1.02,42057797,205070769
1,"Mar 18, 2019",1.02,1.03,1.02,1.02,38295485,204423086
2,"Mar 17, 2019",1.02,1.03,1.02,1.02,44561288,202416054
3,"Mar 16, 2019",1.02,1.03,1.02,1.02,60256093,203249766
4,"Mar 15, 2019",1.02,1.02,1.02,1.02,63534466,202334456
5,"Mar 14, 2019",1.01,1.02,1.01,1.02,92125212,201738662
6,"Mar 13, 2019",1.01,1.02,1.01,1.01,28147476,200821400
7,"Mar 12, 2019",1.01,1.02,1.01,1.01,35322363,204962624
8,"Mar 11, 2019",1.01,1.02,1.01,1.01,42945777,205269543
9,"Mar 10, 2019",1.01,1.01,1.01,1.01,32979282,205226757
10,"Mar 09, 2019",1.02,1.02,1.01,1.01,42810439,204950859
11,"Mar 08, 2019",1.01,1.02,1.01,1.02,50426833,205706510
12,"Mar 07, 2019",1.01,1.02,1.01,1.01,47685713,205392619
13,"Mar 06, 2019",1.01,1.02,1.01,1.01,52181215,205645705
14,"Mar 05, 2019",0.996417,1.02,0.9950690000000001,1.01,70013842,205456538
15,"Mar 04, 2019",1.01,1.02,0.9944299999999999,0.9948,257869415,201566144
16,"Mar 03, 2019",1.01,1.02,1.01,1.01,32047004,205452509
17,"Mar 02, 2019",1.01,1.02,1.01,1.01,36939444,205516927
18,"Mar 01, 2019",1.02,1.02,1.01,1.01,43945459,205386014
19,"Feb 28, 2019",1.01,1.02,1.01,1.02,51770611,206060682
20,"Feb 27, 2019",1.02,1.03,1.01,1.01,63639953,205902512
21,"Feb 26, 2019",1.02,1.02,1.01,1.01,61898677,205966977
22,"Feb 25, 2019",1.02,1.03,1.01,1.02,105651812,207256930
23,"Feb 24, 2019",1.01,1.05,1.01,1.02,128915661,208237812
24,"Feb 23, 2019",1.02,1.02,1.0,1.01,94552604,206157563
25,"Feb 22, 2019",1.01,1.02,1.01,1.01,39006013,208516178
26,"Feb 21, 2019",1.02,1.02,1.01,1.01,75773263,210100917
27,"Feb 20, 2019",1.02,1.02,1.01,1.02,97438353,211653949
28,"Feb 19, 2019",1.01,1.02,1.01,1.02,114691148,209097194
29,"Feb 18, 2019",1.01,1.02,1.01,1.02,158261871,208723819
30,"Feb 17, 2019",1.02,1.02,1.01,1.01,84077139,210534195
31,"Feb 16, 2019",1.01,1.02,1.01,1.01,52697726,210507255
32,"Feb 15, 2019",1.02,1.02,1.01,1.01,67719722,210387332
33,"Feb 14, 2019",1.01,1.02,1.01,1.01,56252970,210292378
34,"Feb 13, 2019",1.02,1.02,1.01,1.01,47129353,209025309
35,"Feb 12, 2019",1.01,1.02,1.01,1.02,60256778,209422339
36,"Feb 11, 2019",1.02,1.02,1.01,1.01,38129351,209428397
