,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",1.02,1.02,1.01,1.02,34394867,243793849
1,"Mar 18, 2019",1.02,1.02,1.01,1.02,41889761,243412427
2,"Mar 17, 2019",1.02,1.02,1.01,1.02,38655614,243982005
3,"Mar 16, 2019",1.02,1.02,1.01,1.02,35637112,243037195
4,"Mar 15, 2019",1.02,1.02,1.01,1.02,30356979,242997571
5,"Mar 14, 2019",1.01,1.02,1.01,1.02,30654411,244623975
6,"Mar 13, 2019",1.01,1.02,1.01,1.01,32955078,243618142
7,"Mar 12, 2019",1.01,1.02,1.01,1.01,25249458,239478825
8,"Mar 11, 2019",1.02,1.02,1.01,1.01,25473881,239824828
9,"Mar 10, 2019",1.01,1.02,1.01,1.02,21622742,241217070
10,"Mar 09, 2019",1.01,1.02,1.01,1.01,24550954,239526386
11,"Mar 08, 2019",1.01,1.02,1.01,1.01,27535813,240037668
12,"Mar 07, 2019",1.01,1.02,1.01,1.01,24225454,239792871
13,"Mar 06, 2019",1.02,1.02,1.01,1.01,24347412,239891927
14,"Mar 05, 2019",1.02,1.02,1.01,1.02,32016571,240587907
15,"Mar 04, 2019",1.01,1.02,1.01,1.02,23960578,240265683
16,"Mar 03, 2019",1.01,1.01,1.01,1.01,17429846,239435727
17,"Mar 02, 2019",1.01,1.02,1.01,1.01,18482080,238964776
18,"Mar 01, 2019",1.01,1.02,1.01,1.01,21097111,233704707
19,"Feb 28, 2019",1.02,1.02,1.01,1.01,31630079,234118357
20,"Feb 27, 2019",1.01,1.02,1.01,1.02,38328217,234332690
21,"Feb 26, 2019",1.02,1.02,1.01,1.01,42569527,232919408
22,"Feb 25, 2019",1.0,1.02,1.0,1.02,52796841,234355973
23,"Feb 24, 2019",1.01,1.03,0.99895,1.01,51756152,231683105
24,"Feb 23, 2019",1.01,1.04,1.01,1.01,36243964,232823545
25,"Feb 22, 2019",1.01,1.02,1.01,1.02,32159403,233988555
26,"Feb 21, 2019",1.02,1.02,1.01,1.01,35317064,233211813
27,"Feb 20, 2019",1.0,1.02,0.998658,1.02,41527390,248241907
28,"Feb 19, 2019",1.01,1.02,1.0,1.0,49393554,245411277
29,"Feb 18, 2019",1.02,1.03,1.0,1.01,51464756,247579345
30,"Feb 17, 2019",1.01,1.03,1.01,1.02,45168007,250117816
31,"Feb 16, 2019",1.01,1.02,1.01,1.01,44255529,247555008
32,"Feb 15, 2019",1.01,1.02,1.0,1.01,35775279,247301762
33,"Feb 14, 2019",1.01,1.02,1.01,1.01,27582140,246582359
34,"Feb 13, 2019",1.02,1.02,1.01,1.01,27483515,246858432
35,"Feb 12, 2019",1.01,1.02,1.01,1.02,28682063,262859263
36,"Feb 11, 2019",1.02,1.02,1.01,1.01,19063318,261437387
37,"Feb 10, 2019",1.01,1.02,1.01,1.01,19451268,262005710
38,"Feb 09, 2019",1.02,1.02,1.01,1.01,21523062,261570199
39,"Feb 08, 2019",1.01,1.02,1.01,1.02,31291520,277576609
40,"Feb 07, 2019",1.01,1.02,1.01,1.01,15429983,276092246
41,"Feb 06, 2019",1.01,1.02,1.01,1.01,27032564,291895730
42,"Feb 05, 2019",1.01,1.01,1.01,1.01,19011789,291042663
43,"Feb 04, 2019",1.01,1.02,1.01,1.01,24242526,291806351
44,"Feb 03, 2019",1.02,1.02,1.01,1.01,26365349,302531642
45,"Feb 02, 2019",1.01,1.02,1.01,1.02,23207115,303768812
46,"Feb 01, 2019",1.01,1.03,1.01,1.02,26896947,303077425
47,"Jan 31, 2019",1.01,1.02,1.0,1.01,30016994,297790025
48,"Jan 30, 2019",1.01,1.02,1.01,1.01,28233801,318185578
49,"Jan 29, 2019",1.01,1.02,1.01,1.01,26620698,318523792
50,"Jan 28, 2019",1.01,1.02,1.01,1.01,34421448,318116020
51,"Jan 27, 2019",1.01,1.02,1.01,1.01,17334193,333585022
52,"Jan 26, 2019",1.01,1.02,1.01,1.01,12311593,326739212
53,"Jan 25, 2019",1.01,1.01,1.01,1.01,16078526,326799021
54,"Jan 24, 2019",1.01,1.01,1.01,1.01,19309437,323387386
55,"Jan 23, 2019",1.01,1.01,1.01,1.01,14686835,315423713
56,"Jan 22, 2019",1.01,1.02,1.01,1.01,18848807,332524898
57,"Jan 21, 2019",1.02,1.02,1.01,1.01,12277261,328795313
58,"Jan 20, 2019",1.01,1.03,1.01,1.02,14934092,327478050
59,"Jan 19, 2019",1.01,1.01,1.0,1.01,15830400,325827499
60,"Jan 18, 2019",1.03,1.04,1.01,1.01,18899249,326379674
61,"Jan 17, 2019",1.01,1.04,1.01,1.03,41708422,322975567
62,"Jan 16, 2019",1.01,1.02,1.01,1.01,25957206,321495519
63,"Jan 15, 2019",1.01,1.02,1.01,1.01,26459207,360749462
64,"Jan 14, 2019",1.01,1.02,0.9987440000000001,1.01,25825886,365745274
65,"Jan 13, 2019",1.01,1.03,1.01,1.01,16808894,372399548
66,"Jan 12, 2019",1.01,1.02,1.01,1.01,12617410,364888858
67,"Jan 11, 2019",1.02,1.02,1.01,1.01,25279715,356762456
68,"Jan 10, 2019",1.0,1.03,1.0,1.01,51534670,346525551
69,"Jan 09, 2019",1.01,1.01,1.0,1.0,23000567,337931396
70,"Jan 08, 2019",1.01,1.02,1.0,1.01,23189996,327134638
71,"Jan 07, 2019",1.01,1.01,1.0,1.01,18697630,316560983
72,"Jan 06, 2019",1.01,1.02,0.9891690000000001,1.01,18503989,305397453
73,"Jan 05, 2019",1.01,1.02,1.0,1.01,15428171,294420174
74,"Jan 04, 2019",1.02,1.02,1.0,1.01,17203036,293621600
75,"Jan 03, 2019",1.01,1.02,1.01,1.01,15279811,290759445
76,"Jan 02, 2019",1.01,1.02,1.01,1.02,18125812,288816454
77,"Jan 01, 2019",1.02,1.02,1.01,1.01,17007853,261353425
78,"Dec 31, 2018",1.01,1.03,1.01,1.02,20975704,254230218
79,"Dec 30, 2018",1.02,1.03,1.01,1.01,18537225,249383515
80,"Dec 29, 2018",1.01,1.04,1.0,1.02,22783697,251416580
81,"Dec 28, 2018",1.02,1.02,0.978583,1.01,28974098,244258933
82,"Dec 27, 2018",1.02,1.03,1.01,1.02,23019282,241190277
83,"Dec 26, 2018",1.01,1.02,1.01,1.01,19786403,230733088
84,"Dec 25, 2018",1.01,1.03,1.01,1.01,27610569,230303642
85,"Dec 24, 2018",1.01,1.02,0.9984280000000001,1.01,43621601,230219939
86,"Dec 23, 2018",1.01,1.02,1.01,1.01,23629168,230406708
87,"Dec 22, 2018",1.01,1.02,0.9970870000000001,1.01,26222950,230419100
88,"Dec 21, 2018",1.02,1.02,1.01,1.02,46603504,231531679
89,"Dec 20, 2018",1.02,1.02,1.01,1.02,58976758,229602070
90,"Dec 19, 2018",1.01,1.02,1.0,1.02,46352135,227179148
91,"Dec 18, 2018",1.01,1.02,1.0,1.01,24572396,216113191
92,"Dec 17, 2018",1.03,1.03,0.9980680000000001,1.01,18392475,214498101
93,"Dec 16, 2018",1.0,1.04,0.998009,1.01,9383751,204222547
94,"Dec 15, 2018",1.02,1.02,0.9951209999999999,0.9979399999999999,8595919,201408567
95,"Dec 14, 2018",1.02,1.03,1.01,1.02,11571584,205058003
96,"Dec 13, 2018",1.04,1.04,0.982985,1.02,8569160,195990468
97,"Dec 12, 2018",1.02,1.04,0.9897600000000001,1.02,10392693,195911389
98,"Dec 11, 2018",1.03,1.04,1.02,1.02,12104531,193258122
99,"Dec 10, 2018",1.02,1.03,1.01,1.02,12987868,194659964
100,"Dec 09, 2018",1.02,1.03,1.01,1.02,14831259,188363784
101,"Dec 08, 2018",1.01,1.03,1.01,1.02,17724714,189115397
102,"Dec 07, 2018",1.02,1.03,1.0,1.01,29947363,186984732
103,"Dec 06, 2018",1.01,1.02,1.0,1.02,21637768,181375785
104,"Dec 05, 2018",1.01,1.02,1.0,1.01,14257800,180498555
105,"Dec 04, 2018",1.01,1.02,1.0,1.01,12556999,178853754
106,"Dec 03, 2018",1.01,1.02,1.0,1.01,12188098,178146806
107,"Dec 02, 2018",1.01,1.03,0.993287,1.01,10761895,178770938
108,"Dec 01, 2018",1.01,1.03,1.0,1.01,14198649,177962574
109,"Nov 30, 2018",1.01,1.02,1.0,1.01,14143221,178350744
110,"Nov 29, 2018",1.01,1.02,1.0,1.01,18025473,179215723
111,"Nov 28, 2018",1.01,1.03,1.0,1.01,23327400,173690422
112,"Nov 27, 2018",1.03,1.04,0.9955280000000001,1.01,13622700,170711291
113,"Nov 26, 2018",1.02,1.06,1.02,1.04,29734800,172044015
114,"Nov 25, 2018",1.03,1.04,0.990265,1.03,23476200,170393049
115,"Nov 24, 2018",1.02,1.04,1.01,1.02,19409700,169951729
116,"Nov 23, 2018",1.02,1.03,1.01,1.02,17717500,169431172
117,"Nov 22, 2018",1.01,1.02,1.01,1.02,11556600,166175762
118,"Nov 21, 2018",1.02,1.03,1.01,1.01,20164000,165035815
119,"Nov 20, 2018",1.02,1.06,1.01,1.02,43293600,156707498
120,"Nov 19, 2018",1.01,1.05,1.0,1.02,27873100,145433960
121,"Nov 18, 2018",1.01,1.01,1.0,1.01,5735460,144472180
122,"Nov 17, 2018",1.03,1.04,1.01,1.01,5537380,144078009
123,"Nov 16, 2018",1.02,1.04,1.01,1.03,9247040,147038389
124,"Nov 15, 2018",1.02,1.06,1.01,1.02,18776600,145288638
125,"Nov 14, 2018",1.02,1.04,0.999077,1.02,24013300,145938458
126,"Nov 13, 2018",1.01,1.02,0.9994770000000001,1.01,6483310,135535719
127,"Nov 12, 2018",1.01,1.02,1.0,1.01,6446540,135869180
128,"Nov 11, 2018",1.01,1.02,0.996741,1.01,4726130,135307300
129,"Nov 10, 2018",1.01,1.03,0.9958540000000001,1.01,2497760,135543519
130,"Nov 09, 2018",1.0,1.01,1.0,1.01,3478250,135152023
131,"Nov 08, 2018",1.0,1.01,0.998625,1.0,3423190,134582387
132,"Nov 07, 2018",1.0,1.01,0.997181,1.0,2589880,134846051
133,"Nov 06, 2018",1.0,1.01,0.99711,1.0,2241070,134764761
134,"Nov 05, 2018",0.9969969999999999,1.01,0.9967020000000001,0.998748,1287400,134043873
135,"Nov 04, 2018",1.0,1.01,0.9827459999999999,0.997669,2144200,131925671
136,"Nov 03, 2018",1.0,1.01,0.9978100000000001,1.0,1402480,132760170
137,"Nov 02, 2018",0.9928969999999999,1.01,0.9882129999999999,0.999969,2042390,132263916
138,"Nov 01, 2018",0.9964129999999999,1.02,0.991167,0.992502,1800480,126328568
139,"Oct 31, 2018",1.01,1.01,0.9940329999999999,0.9963860000000001,1279360,126902715
140,"Oct 30, 2018",1.01,1.01,1.0,1.0,715882,127961109
141,"Oct 29, 2018",1.01,1.02,1.01,1.01,1983680,126268125
142,"Oct 28, 2018",1.01,1.01,1.0,1.01,282707,125585474
143,"Oct 27, 2018",1.01,1.01,1.0,1.01,712963,125258974
144,"Oct 26, 2018",1.01,1.02,1.0,1.01,950623,125705149
145,"Oct 25, 2018",1.01,1.01,1.0,1.01,1365520,85423351
146,"Oct 24, 2018",1.01,1.01,1.0,1.01,923940,85597084
147,"Oct 23, 2018",1.01,1.02,1.01,1.01,1503840,-
148,"Oct 22, 2018",1.01,1.02,1.0,1.01,1211160,33637864
149,"Oct 21, 2018",1.01,1.02,1.0,1.01,509276,24149159
150,"Oct 20, 2018",1.01,1.01,1.0,1.01,299871,23994903
151,"Oct 19, 2018",1.01,1.02,1.01,1.01,715078,24002106
152,"Oct 18, 2018",1.01,1.02,1.01,1.01,1182450,24187789
153,"Oct 17, 2018",1.02,1.03,1.01,1.01,1102740,24107423
154,"Oct 16, 2018",1.03,1.04,1.02,1.02,2124080,24323316
155,"Oct 15, 2018",1.02,1.11,0.9983719999999999,1.03,10660400,-
156,"Oct 14, 2018",1.01,1.02,1.0,1.02,982750,-
157,"Oct 13, 2018",1.01,1.02,1.0,1.01,698507,-
158,"Oct 12, 2018",1.01,1.02,1.0,1.01,1322240,-
159,"Oct 11, 2018",1.01,1.03,1.0,1.01,4177290,-
160,"Oct 10, 2018",1.0,1.02,1.0,1.01,711783,-
161,"Oct 09, 2018",1.0,1.01,1.0,1.01,108803,-
162,"Oct 08, 2018",1.0,1.01,1.0,1.0,382900,-
