,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",1.28,1.31,1.27,1.29,3190295,53097481
1,"Mar 18, 2019",1.32,1.34,1.26,1.28,3390648,52356385
2,"Mar 17, 2019",1.37,1.38,1.3,1.32,3362987,54320141
3,"Mar 16, 2019",1.3,1.39,1.29,1.37,4509676,56131028
4,"Mar 15, 2019",1.25,1.31,1.25,1.31,3517766,53584713
5,"Mar 14, 2019",1.27,1.28,1.23,1.24,3569317,50961826
6,"Mar 13, 2019",1.27,1.31,1.23,1.27,4807946,52056699
7,"Mar 12, 2019",1.2,1.29,1.14,1.27,3723712,52178153
8,"Mar 11, 2019",1.19,1.25,1.18,1.2,3430447,49006599
9,"Mar 10, 2019",1.19,1.21,1.16,1.19,3023599,48716108
10,"Mar 09, 2019",1.11,1.18,1.11,1.18,2660110,48490112
11,"Mar 08, 2019",1.13,1.16,1.11,1.12,2418497,45723944
12,"Mar 07, 2019",1.12,1.14,1.11,1.13,2446853,46407967
13,"Mar 06, 2019",1.11,1.14,1.09,1.12,2325989,45844427
14,"Mar 05, 2019",1.06,1.12,1.06,1.11,2208851,45401035
15,"Mar 04, 2019",1.19,1.21,1.04,1.07,3131910,43702969
16,"Mar 03, 2019",1.12,1.2,1.12,1.19,3784678,48752501
17,"Mar 02, 2019",1.12,1.12,1.08,1.12,2819626,45741527
18,"Mar 01, 2019",1.1,1.14,1.1,1.12,2706051,45999654
19,"Feb 28, 2019",1.06,1.11,1.06,1.09,2353862,44870405
20,"Feb 27, 2019",1.08,1.1,1.04,1.06,2490620,43563025
21,"Feb 26, 2019",1.04,1.09,1.03,1.08,3097488,44355122
22,"Feb 25, 2019",1.02,1.05,1.01,1.04,2125803,42648872
23,"Feb 24, 2019",1.13,1.16,1.0,1.02,2321422,41712263
24,"Feb 23, 2019",1.08,1.14,1.07,1.13,3326605,46180339
25,"Feb 22, 2019",1.07,1.09,1.05,1.08,2730881,44279140
26,"Feb 21, 2019",1.13,1.13,1.07,1.08,2162676,44077939
27,"Feb 20, 2019",1.1,1.15,1.1,1.13,2743340,46367444
28,"Feb 19, 2019",1.12,1.18,1.1,1.1,2796133,45300578
29,"Feb 18, 2019",1.02,1.12,1.01,1.12,3907204,45990198
30,"Feb 17, 2019",0.992099,1.02,0.9906959999999999,1.02,517427,41638033
31,"Feb 16, 2019",0.9986950000000001,1.01,0.988764,0.994295,438774,40766067
32,"Feb 15, 2019",0.983093,1.01,0.983093,0.997116,776796,40881706
33,"Feb 14, 2019",1.01,1.02,0.980158,0.982824,1453165,40295742
34,"Feb 13, 2019",1.02,1.03,0.9942700000000001,1.01,2649088,41526951
35,"Feb 12, 2019",1.02,1.02,0.9949520000000001,1.02,2566444,41625875
36,"Feb 11, 2019",1.03,1.03,1.01,1.02,1875896,41706697
37,"Feb 10, 2019",1.01,1.03,0.99654,1.03,1289576,42245461
38,"Feb 09, 2019",1.0,1.05,0.985384,1.01,2046269,41607721
39,"Feb 08, 2019",0.922349,1.02,0.915158,1.0,2734827,41144786
40,"Feb 07, 2019",0.9330649999999999,0.945591,0.918897,0.920849,1365053,37754778
41,"Feb 06, 2019",0.9707979999999999,0.9743450000000001,0.915011,0.9331510000000001,1409243,38259164
42,"Feb 05, 2019",0.9572350000000001,0.999556,0.94983,0.967089,1453385,39650621
43,"Feb 04, 2019",0.920219,1.0,0.91596,0.9627379999999999,1500043,39472204
44,"Feb 03, 2019",0.952925,0.956456,0.9164559999999999,0.918583,335196,37661850
45,"Feb 02, 2019",0.942458,0.9589489999999999,0.9319059999999999,0.952699,404433,39060619
46,"Feb 01, 2019",0.9255969999999999,0.9575239999999999,0.918639,0.944312,623428,38716745
47,"Jan 31, 2019",0.997159,1.01,0.9246129999999999,0.9249870000000001,908301,37924425
48,"Jan 30, 2019",0.99384,1.01,0.972133,0.997144,619456,40882853
49,"Jan 29, 2019",1.02,1.02,0.9629040000000001,0.993934,881529,40748690
50,"Jan 28, 2019",1.06,1.06,0.960778,1.02,1365722,41665062
51,"Jan 27, 2019",1.12,1.12,1.06,1.06,1077441,43621641
52,"Jan 26, 2019",1.13,1.14,1.1,1.12,810569,45924699
53,"Jan 25, 2019",1.1,1.14,1.1,1.13,1492718,46349038
54,"Jan 24, 2019",1.09,1.11,1.08,1.1,922317,45042935
55,"Jan 23, 2019",1.14,1.15,1.08,1.1,1293836,44899385
