,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",54.67,57.5,54.24,57.27,196520217,351164044
1,"Mar 18, 2019",54.66,55.74,53.93,54.36,180167831,332921593
2,"Mar 17, 2019",55.04,55.43,53.71,54.65,74814769,334358330
3,"Mar 16, 2019",53.65,55.39,53.65,55.04,90276800,336342466
4,"Mar 15, 2019",52.74,54.09,52.37,53.65,89393206,327457148
5,"Mar 14, 2019",51.51,53.1,51.17,52.62,245469608,320770315
6,"Mar 13, 2019",53.11,53.68,51.46,51.52,239471768,313730584
7,"Mar 12, 2019",49.94,53.74,48.7,53.39,250531958,324705768
8,"Mar 11, 2019",50.94,51.2,49.48,50.02,253458981,303861520
9,"Mar 10, 2019",51.61,51.61,50.23,50.96,235398766,309206253
10,"Mar 09, 2019",49.98,51.69,49.53,51.69,217808359,313271786
11,"Mar 08, 2019",50.5,51.09,48.85,49.82,248512675,301562440
12,"Mar 07, 2019",50.78,51.55,50.12,50.71,202037189,306593409
13,"Mar 06, 2019",51.11,51.54,50.18,50.79,176079523,306732954
14,"Mar 05, 2019",49.09,51.38,48.41,51.08,187521332,308108800
15,"Mar 04, 2019",51.05,51.2,48.48,49.26,187017919,296775875
16,"Mar 03, 2019",51.81,52.21,50.79,51.06,172669308,307232240
17,"Mar 02, 2019",52.26,52.79,50.72,52.05,170143282,312816074
18,"Mar 01, 2019",51.93,52.98,51.48,52.29,153637298,313866581
19,"Feb 28, 2019",52.78,53.29,51.28,51.83,194072294,310749404
20,"Feb 27, 2019",52.76,53.23,50.97,52.33,166688560,313353608
21,"Feb 26, 2019",53.13,53.36,52.16,52.78,162807753,315707828
22,"Feb 25, 2019",52.22,53.69,51.79,53.14,166945706,317459959
23,"Feb 24, 2019",56.9,59.2,50.73,52.35,194289114,312358965
24,"Feb 23, 2019",54.22,56.93,53.62,56.84,201463515,338777954
25,"Feb 22, 2019",53.67,55.65,53.63,54.28,199557822,323122479
26,"Feb 21, 2019",54.94,55.17,53.25,53.65,206962996,318985117
27,"Feb 20, 2019",55.31,56.1,53.66,54.88,198536482,325916105
28,"Feb 19, 2019",54.89,57.13,54.47,55.14,308697897,327043293
29,"Feb 18, 2019",52.04,55.46,51.49,54.95,171954803,325505841
30,"Feb 17, 2019",51.66,52.16,50.59,51.98,177905993,307575942
31,"Feb 16, 2019",51.1,51.95,51.1,51.76,153542570,305880347
32,"Feb 15, 2019",51.76,52.21,50.97,51.34,220295863,303017751
33,"Feb 14, 2019",52.96,53.6,51.7,51.8,233741880,305400625
34,"Feb 13, 2019",53.68,55.49,52.65,52.77,204342146,310740216
35,"Feb 12, 2019",51.44,54.02,50.67,53.59,217743538,315203156
36,"Feb 11, 2019",50.69,52.01,49.59,51.28,198712081,301235155
37,"Feb 10, 2019",50.38,50.95,49.34,50.89,177859791,298581547
38,"Feb 09, 2019",49.7,51.09,49.69,50.33,163211031,294905597
39,"Feb 08, 2019",46.68,52.02,46.54,50.05,167677793,292914252
40,"Feb 07, 2019",46.61,47.56,46.44,46.82,147434597,273691082
41,"Feb 06, 2019",48.3,48.3,45.85,46.47,128538970,271298861
42,"Feb 05, 2019",48.46,48.67,48.03,48.33,156054445,281784008
43,"Feb 04, 2019",48.39,48.68,47.98,48.49,155823713,282399307
44,"Feb 03, 2019",49.16,49.73,48.18,48.35,144845130,281236962
45,"Feb 02, 2019",48.75,49.41,48.43,49.41,152319651,287047254
46,"Feb 01, 2019",49.07,49.37,48.17,48.75,159341775,282886028
47,"Jan 31, 2019",49.82,50.11,48.86,49.0,210776579,283972644
48,"Jan 30, 2019",48.82,50.25,48.36,49.73,149296769,287864129
49,"Jan 29, 2019",49.39,49.52,47.81,48.83,122770691,282285735
50,"Jan 28, 2019",51.43,51.56,48.53,49.36,506461982,285019527
51,"Jan 27, 2019",52.52,52.6,51.32,51.53,164758648,297182004
52,"Jan 26, 2019",52.9,53.39,52.17,52.34,169396557,301440836
53,"Jan 25, 2019",53.82,54.13,52.17,52.78,150847434,303608658
54,"Jan 24, 2019",52.48,53.97,52.09,53.49,166711625,307284070
55,"Jan 23, 2019",52.64,53.38,52.0,52.57,162698774,301625446
56,"Jan 22, 2019",52.42,53.18,51.41,52.76,126552054,302346786
57,"Jan 21, 2019",53.18,53.69,51.93,52.64,166177591,301304915
58,"Jan 20, 2019",54.25,54.96,52.2,53.11,615956056,303596293
59,"Jan 19, 2019",53.32,55.23,53.29,54.65,195698183,312019334
60,"Jan 18, 2019",54.75,54.88,53.09,53.49,166877877,305008550
61,"Jan 17, 2019",53.19,54.87,53.04,54.67,158939525,311361075
62,"Jan 16, 2019",53.91,55.16,52.98,53.28,175718264,303024377
63,"Jan 15, 2019",55.89,56.68,53.42,54.03,202251667,306942775
64,"Jan 14, 2019",53.41,58.2,52.91,56.27,157517101,319245245
65,"Jan 13, 2019",56.23,56.49,52.7,53.0,151593036,300317100
66,"Jan 12, 2019",56.24,57.18,54.89,56.17,160209732,317865487
67,"Jan 11, 2019",54.96,59.19,54.69,56.28,197776266,318106794
68,"Jan 10, 2019",60.49,61.66,53.21,54.96,134487356,310238477
69,"Jan 09, 2019",60.65,62.37,59.88,60.54,138605651,341274408
70,"Jan 08, 2019",60.73,62.41,59.45,60.86,111887547,342680358
71,"Jan 07, 2019",61.89,62.52,60.28,60.74,257883235,341541524
72,"Jan 06, 2019",57.96,63.14,57.26,61.62,255070882,346091701
73,"Jan 05, 2019",58.57,60.32,57.67,58.05,223989922,325609492
74,"Jan 04, 2019",58.34,59.5,56.61,58.41,156017985,327191560
75,"Jan 03, 2019",61.35,61.8,57.62,58.31,97767990,326191639
76,"Jan 02, 2019",60.02,62.34,58.07,61.25,106422105,342252065
77,"Jan 01, 2019",56.43,59.88,55.91,59.75,117318415,333412878
78,"Dec 31, 2018",59.77,60.05,56.28,56.54,110422244,315126763
79,"Dec 30, 2018",60.34,61.57,59.16,59.66,100754025,332048193
80,"Dec 29, 2018",63.07,63.59,60.28,60.32,120228181,335322452
81,"Dec 28, 2018",56.25,63.34,55.75,63.17,126963805,350692789
82,"Dec 27, 2018",61.07,61.78,55.91,56.35,115439227,312408523
83,"Dec 26, 2018",61.47,63.45,59.26,61.51,121013186,340619447
84,"Dec 25, 2018",68.37,68.81,60.09,61.25,106099893,338703095
85,"Dec 24, 2018",65.25,72.36,65.25,68.34,171486194,377423512
86,"Dec 23, 2018",63.47,67.62,63.36,64.99,117480667,358483164
87,"Dec 22, 2018",61.91,63.7,60.67,63.41,99333080,349289876
88,"Dec 21, 2018",66.11,66.9,60.24,61.68,106561647,339307018
89,"Dec 20, 2018",57.61,66.16,56.61,66.16,123989787,363522694
90,"Dec 19, 2018",58.7,61.84,56.94,57.54,131784903,315761264
91,"Dec 18, 2018",56.51,58.76,54.42,58.57,118425224,320950050
92,"Dec 17, 2018",51.47,57.45,51.16,56.42,134445281,308778689
93,"Dec 16, 2018",50.11,53.48,49.85,51.41,106891750,280970055
94,"Dec 15, 2018",49.3,51.03,48.65,50.21,100792417,274060515
95,"Dec 14, 2018",51.83,52.59,48.94,49.22,102714635,268330847
96,"Dec 13, 2018",55.59,55.83,51.28,51.68,109403691,281333791
97,"Dec 12, 2018",54.39,57.82,54.01,55.51,127269001,301807499
98,"Dec 11, 2018",56.82,57.15,53.65,54.31,157076776,294873751
99,"Dec 10, 2018",60.87,61.65,56.17,56.68,122237317,307337235
100,"Dec 09, 2018",57.38,62.59,57.18,61.09,154260599,330811401
101,"Dec 08, 2018",59.25,61.44,54.47,57.58,135081233,311393090
