,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 19, 2019",6.71,6.81,6.66,6.75,946555,47426338
1,"Mar 18, 2019",6.8,6.92,6.56,6.71,1125635,47086433
2,"Mar 17, 2019",6.88,6.91,6.68,6.81,955496,47720070
3,"Mar 16, 2019",6.84,6.92,6.66,6.88,1622318,48159819
4,"Mar 15, 2019",6.57,6.89,6.51,6.86,1911102,47945935
5,"Mar 14, 2019",6.78,6.78,6.35,6.57,3920488,45891036
6,"Mar 13, 2019",7.08,8.06,6.79,6.81,12042853,47586455
7,"Mar 12, 2019",5.78,12.72,5.66,7.12,47926082,49746747
8,"Mar 11, 2019",5.91,5.93,5.7,5.76,633654,40211787
9,"Mar 10, 2019",5.79,5.92,5.71,5.9,608369,41108538
10,"Mar 09, 2019",5.83,5.93,5.74,5.79,620192,40299243
11,"Mar 08, 2019",5.81,5.93,5.77,5.85,621539,40663366
12,"Mar 07, 2019",5.77,5.86,5.71,5.81,743880,40337678
13,"Mar 06, 2019",5.64,5.81,5.57,5.77,635915,40032038
14,"Mar 05, 2019",5.56,5.71,5.46,5.64,677408,39145422
15,"Mar 04, 2019",5.45,5.66,5.32,5.56,878958,38534652
16,"Mar 03, 2019",5.4,5.56,5.39,5.44,521365,37630260
17,"Mar 02, 2019",5.44,5.53,5.36,5.41,452535,37414248
18,"Mar 01, 2019",5.39,5.52,5.36,5.45,539154,37632595
19,"Feb 28, 2019",5.36,5.46,5.33,5.38,463450,37124382
20,"Feb 27, 2019",5.54,5.56,5.3,5.38,471048,37059579
21,"Feb 26, 2019",5.42,5.54,5.34,5.54,586546,38144698
22,"Feb 25, 2019",5.3,5.44,5.29,5.42,553278,37281207
23,"Feb 24, 2019",5.73,5.86,5.28,5.31,671157,36460612
24,"Feb 23, 2019",5.5,5.76,5.48,5.72,504754,39228380
25,"Feb 22, 2019",5.39,5.58,5.38,5.51,446579,37749268
26,"Feb 21, 2019",5.57,5.6,5.34,5.4,410232,37002139
27,"Feb 20, 2019",5.5,5.61,5.41,5.56,546702,38051307
28,"Feb 19, 2019",5.45,5.68,5.45,5.5,704622,37577479
29,"Feb 18, 2019",5.11,5.62,5.1,5.45,633357,37209800
30,"Feb 17, 2019",5.09,5.16,5.05,5.11,653919,34805090
31,"Feb 16, 2019",4.98,5.14,4.97,5.08,494724,34577343
32,"Feb 15, 2019",4.92,5.04,4.91,4.98,473581,33851691
33,"Feb 14, 2019",5.01,5.04,4.85,4.91,427122,33395166
34,"Feb 13, 2019",4.99,5.06,4.92,5.02,500049,34060821
35,"Feb 12, 2019",5.01,5.02,4.92,5.0,515511,33890478
36,"Feb 11, 2019",5.13,5.13,4.94,4.94,490917,33454384
37,"Feb 10, 2019",4.94,5.13,4.9,5.13,619669,34691036
38,"Feb 09, 2019",4.92,4.98,4.81,4.93,430806,33298825
39,"Feb 08, 2019",4.52,4.96,4.46,4.92,533389,33198954
40,"Feb 07, 2019",4.51,4.66,4.44,4.52,583637,30467833
41,"Feb 06, 2019",4.74,4.74,4.49,4.52,457273,30449179
42,"Feb 05, 2019",4.68,4.76,4.63,4.71,427079,31712874
43,"Feb 04, 2019",4.74,4.87,4.65,4.7,445525,31568672
44,"Feb 03, 2019",4.76,4.81,4.63,4.71,579822,31619726
45,"Feb 02, 2019",4.73,4.78,4.66,4.75,395004,31893154
46,"Feb 01, 2019",4.61,4.73,4.52,4.72,465088,31619661
47,"Jan 31, 2019",4.74,4.78,4.53,4.61,494326,30854857
48,"Jan 30, 2019",4.7,4.82,4.64,4.74,712367,31696600
49,"Jan 29, 2019",4.62,4.71,4.46,4.7,710952,31360593
50,"Jan 28, 2019",4.98,4.98,4.57,4.62,486581,30837973
51,"Jan 27, 2019",5.12,5.12,4.91,4.98,456972,33191611
52,"Jan 26, 2019",5.0,5.16,4.98,5.11,515257,34027824
53,"Jan 25, 2019",5.14,5.15,4.97,5.0,411512,33272049
54,"Jan 24, 2019",5.2,5.29,5.07,5.11,736039,33981251
55,"Jan 23, 2019",5.3,5.43,5.17,5.21,502905,34536865
56,"Jan 22, 2019",5.26,5.4,5.07,5.33,512371,35351230
57,"Jan 21, 2019",5.14,5.45,5.07,5.25,911486,34767782
58,"Jan 20, 2019",5.61,5.64,5.05,5.14,715934,33992433
59,"Jan 19, 2019",5.23,5.81,5.17,5.61,1034314,37070390
60,"Jan 18, 2019",5.3,5.45,5.13,5.22,564583,34463790
61,"Jan 17, 2019",5.05,5.3,4.91,5.25,599047,34644824
62,"Jan 16, 2019",4.87,5.08,4.86,5.04,318265,32354196
63,"Jan 15, 2019",4.97,5.05,4.84,4.87,259570,31269714
64,"Jan 14, 2019",4.7,5.07,4.68,4.96,276839,31837344
65,"Jan 13, 2019",4.99,5.23,4.68,4.7,951246,30146339
66,"Jan 12, 2019",5.03,5.15,5.0,5.0,223703,32060729
67,"Jan 11, 2019",5.22,5.3,5.0,5.04,378981,32323280
68,"Jan 10, 2019",5.8,5.81,5.2,5.2,433885,33363861
69,"Jan 09, 2019",5.87,5.89,5.66,5.8,289643,37205051
70,"Jan 08, 2019",5.54,5.91,5.47,5.87,477689,37665873
71,"Jan 07, 2019",5.58,5.79,5.53,5.53,319496,35511845
72,"Jan 06, 2019",5.5,5.78,5.27,5.57,337992,35765450
73,"Jan 05, 2019",5.41,5.61,5.37,5.5,263276,35262585
74,"Jan 04, 2019",5.4,5.56,5.32,5.42,255115,34747923
75,"Jan 03, 2019",5.44,5.71,5.39,5.4,375549,34643272
76,"Jan 02, 2019",5.3,5.57,5.27,5.45,358280,34997233
77,"Jan 01, 2019",5.29,5.34,5.13,5.29,416864,33955590
78,"Dec 31, 2018",5.78,5.78,5.26,5.28,577280,33856859
79,"Dec 30, 2018",5.47,5.9,5.44,5.77,1053019,37050148
80,"Dec 29, 2018",5.41,5.77,5.32,5.48,777537,35184114
81,"Dec 28, 2018",5.05,5.46,4.93,5.38,443196,34519045
82,"Dec 27, 2018",5.52,5.56,5.03,5.03,494048,32276764
