,Open,High,Low,Close,Volume,Time,Date
3721216,3413.69,3415.26,3413.4,3415.26,4.95236561,00:00:00,2019-02-01
3721217,3415.39,3418.79,3415.39,3415.65,9.65695768,00:01:00,2019-02-01
3721218,3415.77,3417.7,3415.77,3417.7,16.48216262,00:02:00,2019-02-01
3721219,3417.67,3417.67,3417.56,3417.56,2.71134897,00:03:00,2019-02-01
3721220,3416.52,3416.52,3416.52,3416.52,0.01075,00:04:00,2019-02-01
3721221,3418.37,3421.77,3418.37,3420.69,6.10223491,00:05:00,2019-02-01
3721222,3421.67,3421.67,3417.62,3417.62,0.20630626,00:06:00,2019-02-01
3721223,3417.57,3417.57,3414.26,3416.09,1.54257815,00:07:00,2019-02-01
3721225,3414.35,3414.35,3414.12,3414.12,7.0120000000000005,00:09:00,2019-02-01
3721226,3414.84,3414.84,3413.6,3413.6,0.80626272,00:10:00,2019-02-01
3721227,3416.15,3417.85,3415.53,3416.23,5.86720016,00:11:00,2019-02-01
3721228,3416.49,3416.49,3416.49,3416.49,1.15,00:12:00,2019-02-01
3721229,3414.0,3414.66,3411.62,3411.92,1.80000622,00:13:00,2019-02-01
3721230,3409.81,3415.05,3409.49,3414.35,2.87192689,00:14:00,2019-02-01
3721231,3412.61,3412.61,3411.73,3412.19,4.49900913,00:15:00,2019-02-01
3721232,3412.01,3412.83,3410.61,3412.83,9.97270649,00:16:00,2019-02-01
3721233,3410.64,3413.68,3410.64,3413.68,4.44251924,00:17:00,2019-02-01
3721234,3412.41,3412.41,3410.3,3411.53,0.85107358,00:18:00,2019-02-01
3721235,3411.03,3411.03,3410.3,3410.3,15.36511709,00:19:00,2019-02-01
3721236,3410.2,3410.81,3410.11,3410.81,2.06526878,00:20:00,2019-02-01
3721237,3409.32,3409.32,3409.32,3409.32,0.56258104,00:21:00,2019-02-01
3721238,3409.79,3409.79,3409.79,3409.79,0.01159736,00:22:00,2019-02-01
3721239,3408.61,3413.19,3408.61,3412.71,5.84621045,00:23:00,2019-02-01
3721240,3412.7,3413.61,3408.2,3408.2,12.28483948,00:24:00,2019-02-01
3721241,3409.41,3411.58,3408.68,3408.68,4.31850468,00:25:00,2019-02-01
3721242,3408.49,3412.18,3408.49,3412.17,12.55249638,00:26:00,2019-02-01
3721243,3411.32,3413.63,3410.71,3413.63,2.06983863,00:27:00,2019-02-01
3721244,3411.77,3411.77,3411.18,3411.18,0.5033734000000001,00:28:00,2019-02-01
3721246,3411.38,3411.38,3411.38,3411.38,0.08739337,00:30:00,2019-02-01
3721248,3410.75,3411.51,3410.75,3411.51,0.29246745,00:32:00,2019-02-01
3721249,3412.21,3413.57,3412.21,3413.57,0.07,00:33:00,2019-02-01
3721250,3413.91,3414.43,3413.09,3414.43,4.6595,00:34:00,2019-02-01
3721251,3414.43,3414.43,3414.43,3414.43,0.02323366,00:35:00,2019-02-01
3721252,3414.76,3414.76,3414.76,3414.76,0.033,00:36:00,2019-02-01
3721254,3411.35,3411.35,3411.35,3411.35,0.83567207,00:38:00,2019-02-01
3721255,3412.71,3412.71,3412.71,3412.71,0.045,00:39:00,2019-02-01
3721256,3412.72,3412.72,3412.71,3412.71,1.73291038,00:40:00,2019-02-01
3721257,3413.56,3414.41,3413.56,3414.41,0.078,00:41:00,2019-02-01
3721258,3414.98,3415.21,3414.37,3414.79,1.49272447,00:42:00,2019-02-01
3721259,3415.01,3415.01,3415.0,3415.0,0.0742037,00:43:00,2019-02-01
3721261,3415.21,3415.21,3415.0,3415.0,0.41257595,00:45:00,2019-02-01
3721263,3413.75,3413.75,3413.75,3413.75,0.005612,00:47:00,2019-02-01
3721264,3414.85,3414.98,3414.85,3414.98,0.165382,00:48:00,2019-02-01
3721265,3411.48,3411.48,3411.48,3411.48,0.02,00:49:00,2019-02-01
3721266,3414.07,3415.29,3414.07,3415.29,3.68035017,00:50:00,2019-02-01
3721267,3412.09,3412.09,3412.09,3412.09,3.35573473,00:51:00,2019-02-01
3721268,3413.52,3413.52,3413.52,3413.52,0.18724366,00:52:00,2019-02-01
3721269,3413.89,3413.89,3413.89,3413.89,0.27513473,00:53:00,2019-02-01
3721270,3412.08,3412.08,3412.08,3412.08,0.02401518,00:54:00,2019-02-01
3721271,3410.05,3410.05,3410.05,3410.05,0.21234223,00:55:00,2019-02-01
3721272,3410.05,3412.1,3410.05,3412.1,0.48272619,00:56:00,2019-02-01
3721273,3411.79,3412.14,3411.79,3412.14,3.89316212,00:57:00,2019-02-01
3721276,3411.76,3411.99,3408.61,3411.99,4.20464525,01:00:00,2019-02-01
3721278,3408.71,3410.03,3407.0,3407.0,1.47449041,01:02:00,2019-02-01
