,Open,High,Low,Close,Volume,Time,Date
3676576,3693.85,3698.79,3693.85,3698.0,5.49128865,00:00:00,2019-01-01
3676577,3694.72,3694.72,3690.65,3690.65,9.50015102,00:01:00,2019-01-01
3676578,3689.73,3689.73,3686.62,3686.62,0.965966,00:02:00,2019-01-01
3676579,3692.85,3692.85,3688.32,3692.35,0.296662,00:03:00,2019-01-01
3676580,3692.35,3692.35,3690.34,3690.34,0.111622,00:04:00,2019-01-01
3676581,3690.4,3690.85,3690.4,3690.85,2.2476759,00:05:00,2019-01-01
3676582,3688.61,3688.61,3687.08,3687.08,1.556315,00:06:00,2019-01-01
3676583,3684.59,3685.52,3684.59,3684.77,0.82300943,00:07:00,2019-01-01
3676584,3684.97,3688.79,3683.45,3683.45,4.49312139,00:08:00,2019-01-01
3676585,3685.0,3685.12,3684.58,3685.12,1.07718735,00:09:00,2019-01-01
3676586,3685.46,3694.96,3684.91,3694.96,3.58345316,00:10:00,2019-01-01
3676591,3690.83,3690.85,3690.83,3690.85,0.44381314,00:15:00,2019-01-01
3676592,3690.61,3690.61,3687.96,3687.96,0.15,00:16:00,2019-01-01
3676594,3690.15,3690.15,3690.15,3690.15,0.005,00:18:00,2019-01-01
3676596,3688.75,3688.85,3688.75,3688.85,0.92209538,00:20:00,2019-01-01
3676598,3688.35,3688.35,3688.35,3688.35,1.06300377,00:22:00,2019-01-01
3676599,3688.35,3688.35,3688.35,3688.35,0.10276953,00:23:00,2019-01-01
3676601,3684.81,3684.81,3684.81,3684.81,0.11602487,00:25:00,2019-01-01
3676602,3684.81,3688.35,3684.81,3688.35,0.16276668,00:26:00,2019-01-01
3676604,3688.85,3688.85,3688.85,3688.85,0.01816648,00:28:00,2019-01-01
3676605,3686.27,3688.85,3686.27,3688.85,0.5036,00:29:00,2019-01-01
3676606,3688.85,3688.85,3688.85,3688.85,2.33955856,00:30:00,2019-01-01
3676607,3688.85,3688.85,3688.85,3688.85,12.91291804,00:31:00,2019-01-01
3676608,3689.1,3693.98,3689.1,3693.98,4.55441824,00:32:00,2019-01-01
3676609,3693.73,3698.5,3693.73,3697.06,5.404,00:33:00,2019-01-01
3676610,3697.06,3698.49,3694.57,3698.49,0.56645434,00:34:00,2019-01-01
3676611,3697.84,3697.85,3695.58,3695.58,2.53430965,00:35:00,2019-01-01
3676612,3695.58,3696.87,3693.14,3696.87,4.18516439,00:36:00,2019-01-01
3676614,3695.26,3695.26,3695.26,3695.26,0.1979471,00:38:00,2019-01-01
3676615,3696.87,3696.87,3696.87,3696.87,0.045916000000000005,00:39:00,2019-01-01
