,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",10.69,11.18,10.39,10.44,69036400,1058940000
1,"Feb 27, 2018",9.97,11.1,9.82,10.66,97184400,986727000
2,"Feb 26, 2018",9.37,10.06,9.13,9.9,53540300,927688000
3,"Feb 25, 2018",9.15,9.49,8.94,9.35,43814500,906299000
4,"Feb 24, 2018",9.69,9.84,8.78,9.14,48709200,959200000
5,"Feb 23, 2018",8.87,9.73,8.66,9.69,53626800,878591000
6,"Feb 22, 2018",9.4,9.81,8.71,8.9,47216100,931201000
7,"Feb 21, 2018",9.88,10.19,9.15,9.38,55087600,978027000
8,"Feb 20, 2018",11.09,11.19,9.79,9.9,66512400,1098200000
9,"Feb 19, 2018",10.67,11.19,10.65,11.08,54898800,1056160000
10,"Feb 18, 2018",11.69,11.7,10.68,10.7,62044700,1157730000
11,"Feb 17, 2018",11.08,11.87,10.95,11.69,76093500,1096730000
12,"Feb 16, 2018",10.91,11.2,10.43,11.2,71131800,1080730000
13,"Feb 15, 2018",10.39,11.28,10.1,10.93,108962000,1028830000
14,"Feb 14, 2018",9.02,10.65,8.99,10.4,68781600,892701000
15,"Feb 13, 2018",9.32,9.35,8.77,8.99,41593400,922580000
16,"Feb 12, 2018",8.71,9.4,8.71,9.32,50792600,862556000
17,"Feb 11, 2018",9.2,9.35,8.14,8.7,68554600,911015000
18,"Feb 10, 2018",9.73,10.36,8.85,9.26,80123200,963676000
19,"Feb 09, 2018",8.61,9.89,8.34,9.73,9284,852180000
20,"Feb 08, 2018",8.09,8.72,8.09,8.6,82496000,801392000
21,"Feb 07, 2018",8.32,9.22,7.35,8.1,77970300,823329000
22,"Feb 06, 2018",6.81,8.56,5.59,8.29,97189900,673916000
23,"Feb 05, 2018",8.43,8.55,6.13,6.71,55276900,834443000
24,"Feb 04, 2018",9.75,9.75,8.1,8.46,49990000,964955000
25,"Feb 03, 2018",9.7,10.27,8.61,9.75,56556200,960106000
26,"Feb 02, 2018",9.41,10.46,7.22,9.65,91468200,931520000
27,"Feb 01, 2018",11.18,11.39,8.71,9.52,82984200,1106810000
28,"Jan 31, 2018",11.27,11.41,10.57,11.14,50435000,1115720000
29,"Jan 30, 2018",12.77,12.77,11.06,11.25,59389600,1264770000
30,"Jan 29, 2018",13.55,13.67,12.68,12.76,71294300,1341190000
31,"Jan 28, 2018",13.3,13.81,13.2,13.54,93871100,1317060000
32,"Jan 27, 2018",13.23,13.44,12.89,13.25,84009400,1310270000
33,"Jan 26, 2018",13.21,13.59,12.29,13.22,113429000,1308060000
34,"Jan 25, 2018",13.76,14.14,13.06,13.23,105648000,1362480000
35,"Jan 24, 2018",13.19,14.19,12.79,13.63,105736000,1306050000
36,"Jan 23, 2018",13.0,13.96,11.79,13.09,91706200,1287330000
37,"Jan 22, 2018",14.2,14.45,11.91,13.01,138026000,1405870000
38,"Jan 21, 2018",16.25,16.25,13.36,14.07,141562000,1608870000
39,"Jan 20, 2018",15.03,16.65,15.03,16.19,156745000,1488590000
40,"Jan 19, 2018",14.31,15.64,13.99,14.94,139882000,1416950000
41,"Jan 18, 2018",14.25,15.96,13.51,14.28,204899000,1411010000
42,"Jan 17, 2018",13.62,15.54,9.66,14.2,299411000,1348860000
43,"Jan 16, 2018",19.63,19.63,10.44,13.89,399951000,1944040000
44,"Jan 15, 2018",20.8,23.6,19.33,19.56,244154000,2059530000
45,"Jan 14, 2018",22.25,22.25,19.14,20.78,129239000,2203410000
46,"Jan 13, 2018",22.35,23.67,21.37,22.17,181676000,2212490000
47,"Jan 12, 2018",21.48,24.91,19.93,22.32,387538000,2126410000
48,"Jan 11, 2018",17.57,23.15,15.29,21.04,389228000,1739340000
49,"Jan 10, 2018",17.71,17.71,15.17,17.39,146582000,1753330000
50,"Jan 09, 2018",18.17,20.32,16.8,17.41,194750000,1799480000
